#NAME?	#NAME?
(1) (Japanese) maple	(1) (ஜப்பானிய) மேப்பிள்
We need to optimize the site.	நாம் தளத்தை மேம்படுத்த வேண்டும்.
We need to streamline our process.	நாம் நமது செயல்முறையை நெறிப்படுத்த வேண்டும்.
We need to synthesize the data.	நாம் தரவை ஒருங்கிணைக்க வேண்டும்.
We need to work this out.	இதை நாம் செய்ய வேண்டும்.
We often eat out.	நாங்கள் அடிக்கடி வெளியே சாப்பிடுகிறோம்.
We painted the children's room blue.	குழந்தைகள் அறைக்கு நீல வண்ணம் தீட்டினோம்.
We plan to camp here.	நாங்கள் இங்கு முகாமிட திட்டமிட்டுள்ளோம்.
We plan to travel.	நாங்கள் பயணம் செய்ய திட்டமிட்டுள்ளோம்.
We planted roses in the garden.	நாங்கள் தோட்டத்தில் ரோஜாக்களை நட்டோம்.
We postulate that heat rises.	வெப்பம் உயர்கிறது என்று நாங்கள் கூறுகிறோம்.
We prefer a cold climate.	நாங்கள் குளிர்ந்த காலநிலையை விரும்புகிறோம்.
We ran down the hill.	மலையிலிருந்து கீழே ஓடினோம்.
We reached the mountain peak.	மலை உச்சியை அடைந்தோம்.
We rented a small fishing boat.	நாங்கள் ஒரு சிறிய மீன்பிடி படகை வாடகைக்கு எடுத்தோம்.
We rested under a tree.	ஒரு மரத்தடியில் ஓய்வெடுத்தோம்.
We sat between them.	நாங்கள் அவர்களுக்கு இடையே அமர்ந்தோம்.
We sat under a large tree.	ஒரு பெரிய மரத்தடியில் அமர்ந்தோம்.
We sat under a palm tree.	ஒரு ஆலமரத்தடியில் அமர்ந்தோம்.
We saw a bear in woods.	காட்டில் ஒரு கரடியைப் பார்த்தோம்.
We saw a dolphin near the boat.	படகின் அருகே ஒரு டால்பின் பார்த்தோம்.
We saw a fox in the garden.	தோட்டத்தில் ஒரு நரியைப் பார்த்தோம்.
We saw a gradual increase in sales.	படிப்படியாக விற்பனை அதிகரிப்பதைக் கண்டோம்.
We saw a huge whale.	ஒரு பெரிய திமிங்கலத்தைப் பார்த்தோம்.
We saw a lion today.	இன்று சிங்கத்தைப் பார்த்தோம்.
We saw a play at the theater.	தியேட்டரில் நாடகம் பார்த்தோம்.
We saw a wild elephant today.	இன்று ஒரு காட்டு யானையைப் பார்த்தோம்.
We should leave right now.	நாம் இப்போதே கிளம்ப வேண்டும்.
We should recycle more at home.	நாம் வீட்டில் அதிகமாக மறுசுழற்சி செய்ய வேண்டும்.
We should work together.	நாம் இணைந்து பணியாற்ற வேண்டும்.
We shouldn't argue in public.	பொதுவெளியில் நாம் வாக்குவாதம் செய்யக்கூடாது.
We spent all our coins at the arcade.	நாங்கள் எங்கள் அனைத்து நாணயங்களையும் ஆர்கேடில் செலவழித்தோம்.
We spent the day by the sea.	நாங்கள் கடலில் பகலைக் கழித்தோம்.
We spent the day in sunshine.	நாங்கள் சூரிய ஒளியில் நாள் கழித்தோம்.
We spent the night dancing.	இரவு முழுவதும் நடனமாடினோம்.
We spent the whole day outside.	நாள் முழுவதும் வெளியில் கழித்தோம்.
We started a new school project	நாங்கள் ஒரு புதிய பள்ளி திட்டத்தை தொடங்கினோம்
We stayed at a hotel.	நாங்கள் ஒரு ஹோட்டலில் தங்கினோம்.
We stayed inside during the storm.	புயலின் போது நாங்கள் உள்ளே இருந்தோம்.
We stayed inside during the typhoon.	சூறாவளியின் போது நாங்கள் உள்ளே இருந்தோம்.
We stayed inside on rainy days	மழை நாட்களில் நாங்கள் உள்ளே தங்கினோம்
We swam in the cold river.	குளிர்ந்த நதியில் நீந்தினோம்.
We talked XKEYX the new house.	நாங்கள் XKEYX புதிய வீட்டைப் பற்றி பேசினோம்.
We talked about XKEYX in class today.	இன்று வகுப்பில் XKEYX பற்றி பேசினோம்.
We took a boat to the island.	நாங்கள் ஒரு படகில் தீவுக்கு சென்றோம்.
We took the car to the city.	காரை எடுத்துக்கொண்டு ஊருக்கு சென்றோம்.
We tried a new experiment.	நாங்கள் ஒரு புதிய பரிசோதனையை முயற்சித்தோம்.
We underestimated the magnitude.	அளவைக் குறைத்து மதிப்பிட்டோம்.
We usually walk home.	நாங்கள் வழக்கமாக வீட்டிற்கு நடந்து செல்வோம்.
We visit grandma every Sunday.	ஒவ்வொரு ஞாயிற்றுக்கிழமையும் பாட்டியை சந்திப்போம்.
We visit our grandparents every summer.	ஒவ்வொரு கோடைகாலத்திலும் நாங்கள் எங்கள் தாத்தா பாட்டிகளை சந்திப்போம்.
We visited a local photo gallery.	உள்ளூர் புகைப்படத் தொகுப்புக்குச் சென்றோம்.
We visited an ancient temple.	பழமையான கோவிலுக்கு சென்றோம்.
We visited the art museum.	கலை அருங்காட்சியகத்தைப் பார்வையிட்டோம்.
We waited for several hours.	பல மணி நேரம் காத்திருந்தோம்.
We waited for them.	அவர்களுக்காக நாங்கள் காத்திருந்தோம்.
We walked past the rice field.	நெல் வயலைக் கடந்தோம்.
We walked through the dark forest.	இருண்ட காடு வழியாக நடந்தோம்.
We walked through the forest.	நாங்கள் காடு வழியாக நடந்தோம்.
We walked to the park.	பூங்காவிற்கு நடந்தோம்.
We went home after the party.	விருந்து முடிந்து வீட்டுக்குச் சென்றோம்.
We went home.	வீட்டுக்குப் போனோம்.
We went swimming in the lake.	நாங்கள் ஏரியில் நீந்தச் சென்றோம்.
We were trapped in a blizzard.	நாங்கள் பனிப்புயலில் சிக்கிக்கொண்டோம்.
We will arrive at noon.	நாங்கள் மத்தியானம் வருவோம்.
We will be late unless we hurry.	நாங்கள் அவசரப்படாவிட்டால் தாமதமாகிவிடுவோம்.
We work in the laboratory.	நாங்கள் ஆய்வகத்தில் வேலை செய்கிறோம்.
Wear a hat if it's sunny.	வெயிலாக இருந்தால் தொப்பி அணியுங்கள்.
Wear a warm scarf outside.	வெளியே சூடான தாவணியை அணியுங்கள்.
Wear shorts in the summer.	கோடையில் ஷார்ட்ஸ் அணியுங்கள்.
Wear sunscreen to protect your skin	உங்கள் சருமத்தைப் பாதுகாக்க சன்ஸ்கிரீன் அணியுங்கள்
Wear your gloves in the snow.	பனியில் உங்கள் கையுறைகளை அணியுங்கள்.
Weather	வானிலை
Weather & Nature	வானிலை & இயற்கை
Weather & seasons	வானிலை & பருவங்கள்
Weather talk	வானிலை பேச்சு
Wednesday is my busiest day.	புதன்கிழமை எனது பரபரப்பான நாள்.
Well, I am not sure.	சரி, நான் உறுதியாக தெரியவில்லை.
Well, let's get started.	சரி, ஆரம்பிக்கலாம்.
Well, that is interesting.	சரி, அது சுவாரஸ்யமானது.
What are the criteria for this job?	இந்த வேலைக்கான அளவுகோல்கள் என்ன?
What are the salient points here?	இங்கே முக்கிய புள்ளிகள் என்ன?
What are you doing today?	இன்று என்ன செய்கிறீர்கள்?
What are your evening plans?	உங்கள் மாலை திட்டங்கள் என்ன?
What are your weekend plans?	உங்கள் வார இறுதி திட்டங்கள் என்ன?
What brought about this decision?	இந்த முடிவை எடுத்தது எது?
What causes climate change?	காலநிலை மாற்றத்திற்கு என்ன காரணம்?
What did you have for breakfast?	காலை உணவுக்கு என்ன சாப்பிட்டீர்கள்?
What did you say to him?	அவரிடம் என்ன சொன்னீர்கள்?
What did you say?	என்ன சொன்னாய்?
What do you do at work?	நீங்கள் வேலையில் என்ன செய்கிறீர்கள்?
What do you do for a living?	நீங்கள் என்ன செய்கிறீர்கள்?
What do you think about this?	இதைப் பற்றி நீங்கள் என்ன நினைக்கிறீர்கள்?
What happened then?	அப்புறம் என்ன நடந்தது?
What is for dinner tonight?	இன்று இரவு உணவிற்கு என்ன?
What is for lunch today?	இன்று மதிய உணவுக்கு என்ன?
What is the implication of that?	அதன் உட்பொருள் என்ன?
What is the main theme?	முக்கிய தீம் என்ன?
What is the population of Japan?	ஜப்பானின் மக்கள் தொகை என்ன?
What is the rationale for this?	இதற்கான நியாயம் என்ன?
What is the retail price?	சில்லறை விலை என்ன?
What is the return policy?	திரும்பக் கொள்கை என்ன?
What is your favorite sport?	உங்களுக்கு பிடித்த விளையாட்டு எது?
What is your final conclusion?	உங்கள் இறுதி முடிவு என்ன?
What is your honest opinion?	உங்கள் நேர்மையான கருத்து என்ன?
What is your main goal here?	இங்கே உங்கள் முக்கிய குறிக்கோள் என்ன?
What should I wear tonight?	இன்றிரவு நான் என்ன அணிய வேண்டும்?
What should we have for dessert?	இனிப்புக்கு நாம் என்ன சாப்பிட வேண்டும்?
What size shoe do you wear?	நீங்கள் எந்த அளவு ஷூ அணிவீர்கள்?
What time do you get up?	நீங்கள் எத்தனை மணிக்கு எழுந்திருப்பீர்கள்?
What time do you wake up?	நீங்கள் எத்தனை மணிக்கு எழுந்திருப்பீர்கள்?
What time does the train arrive?	ரயில் எத்தனை மணிக்கு வரும்?
What was the result of the game?	ஆட்டத்தின் முடிவு என்ன?
What you do for fun.	நீங்கள் வேடிக்கைக்காக என்ன செய்கிறீர்கள்.
What's on the table.	மேஜையில் என்ன இருக்கிறது.
What's the weather like tomorrow?	நாளை வானிலை எப்படி இருக்கும்?
When did the guests arrive?	விருந்தினர்கள் எப்போது வந்தார்கள்?
When did they leave home?	அவர்கள் எப்போது வீட்டை விட்டு வெளியேறினார்கள்?
When did you return home?	நீங்கள் எப்போது வீடு திரும்பினீர்கள்?
When do you get paid?	உங்களுக்கு எப்போது பணம் கிடைக்கும்?
When do you wake up?	எப்பொழுது விழிப்பீர்கள்?
When does the movie begin?	படம் எப்போது தொடங்கும்?
When is your final exam?	உங்கள் இறுதித் தேர்வு எப்போது?
When will the report broadcast?	அறிக்கை எப்போது ஒளிபரப்பப்படும்?
When will they implement the changes?	எப்போது மாற்றங்களைச் செயல்படுத்துவார்கள்?
When will you come home?	எப்போ வீட்டுக்கு வருவீங்க?
Where are my clean socks?	எனது சுத்தமான சாக்ஸ் எங்கே?
Where are my grey trousers?	என் சாம்பல் கால்சட்டை எங்கே?
Where are you now?	நீங்கள் இப்போது எங்கே இருக்கிறீர்கள்?
Where can I download the file?	கோப்பை நான் எங்கே பதிவிறக்கம் செய்யலாம்?
Where can I find the raw data?	மூலத் தரவை நான் எங்கே காணலாம்?
Where can I obtain a visa?	நான் எங்கு விசா பெற முடியும்?
Where do you stand now?	நீங்கள் இப்போது எங்கே நிற்கிறீர்கள்?
Where do you usually study?	நீங்கள் வழக்கமாக எங்கே படிக்கிறீர்கள்?
Where do you want to go?	நீங்கள் எங்கு செல்ல விரும்புகிறீர்கள்?
Where is my favorite t-shirt?	எனக்கு பிடித்த டி-ஷர்ட் எங்கே?
Where is the cough medicine?	இருமல் மருந்து எங்கே?
Where is the main entrance?	பிரதான நுழைவாயில் எங்கே?
Where is the nearest bathroom?	அருகில் குளியலறை எங்கே?
Where is the nearest hair salon?	அருகில் உள்ள சிகையலங்கார நிலையம் எங்கே?
Where is the nearest post office?	அருகில் உள்ள தபால் நிலையம் எங்கே?
Where is the nearest power outlet?	அருகில் உள்ள மின் நிலையம் எங்கே?
Where is the nearest restroom?	அருகில் உள்ள கழிவறை எங்கே?
Where is the nearest toilet?	அருகில் உள்ள கழிப்பறை எங்கே?
Where is your luggage?	உங்கள் சாமான்கள் எங்கே?
Where shall we meet?	எங்கே சந்திப்போம்?
Where things are — and how to get there.	விஷயங்கள் எங்கே உள்ளன - மற்றும் எப்படி அங்கு செல்வது.
Where you learn and work.	நீங்கள் கற்றுக்கொண்டு வேலை செய்யும் இடம்.
Whether it rains is a moot point.	மழை பெய்கிறதா என்பது ஒரு முக்கிய விஷயம்.
Which actor played the lead role?	எந்த நடிகர் முக்கிய வேடத்தில் நடித்தார்?
Which app do you use most?	எந்த ஆப்ஸை அதிகம் பயன்படுத்துகிறீர்கள்?
Which bus goes to the city?	ஊருக்குப் போகும் பேருந்து எது?
Which channel is the game on?	கேம் எந்த சேனலில் உள்ளது?
Which city are you visiting?	நீங்கள் எந்த நகரத்திற்குச் செல்கிறீர்கள்?
Which country are you from?	நீங்கள் எந்த நாட்டைச் சேர்ந்தவர்?
Which direction are we heading?	நாம் எந்த திசையில் செல்கிறோம்?
Which exhibition is the best?	எந்த கண்காட்சி சிறந்தது?
Which hotel is the best?	எந்த ஹோட்டல் சிறந்தது?
Which insect is this?	இது எந்த பூச்சி?
Which language do you speak?	நீங்கள் எந்த மொழி பேசுகிறீர்கள்?
Which mountain is the highest?	எந்த மலை உயரமானது?
Which one do you want?	உங்களுக்கு எது வேண்டும்?
Which person is in charge here?	இங்கு எந்த நபர் பொறுப்பு?
Which planet is furthest from the sun?	சூரியனில் இருந்து எந்த கிரகம் தொலைவில் உள்ளது?
Which shoe store is the best?	எந்த காலணி கடை சிறந்தது?
Which station is closest to you?	எந்த நிலையம் உங்களுக்கு அருகில் உள்ளது?
Which train goes to London?	லண்டனுக்கு செல்லும் ரயில் எது?
Which university do you attend?	நீங்கள் எந்த பல்கலைக்கழகத்தில் படிக்கிறீர்கள்?
Who are those people?	அந்த மக்கள் யார்?
Who has jurisdiction over this?	இதற்கு யார் அதிகாரம்?
Who is in the kitchen?	சமையலறையில் யார்?
Who is overseeing the construction site?	கட்டுமான தளத்தை யார் மேற்பார்வையிடுகிறார்கள்?
Who is that man?	யார் அந்த மனிதர்?
Who is the author of this book?	இந்நூலின் ஆசிரியர் யார்?
Who is the lead advocate here?	இங்கு தலைமை வழக்கறிஞர் யார்?
Who is the party host?	விருந்து நடத்துபவர் யார்?
Who is walking the dog today?	இன்று நாயைப் போல் நடப்பது யார்?
Who is your favorite singer?	உங்களுக்கு பிடித்த பாடகர் யார்?
Who told you that?	உனக்கு யார் சொன்னது?
Who wants some cake?	யாருக்கு கேக் வேண்டும்?
Who won the football game?	கால்பந்து விளையாட்டில் வென்றவர் யார்?
Whom did you meet?	நீங்கள் யாரை சந்தித்தீர்கள்?
Whose bag is this?	இது யாருடைய பை?
Whose idea was that?	அது யாருடைய யோசனை?
Why are you laughing?	ஏன் சிரிக்கிறாய்?
Why are you so angry?	உனக்கு ஏன் இவ்வளவு கோபம்?
Why did this happen?	இது ஏன் நடந்தது?
Why did you say such a thing?	ஏன் இப்படிச் சொன்னாய்?
Why do you look so sad?	நீங்கள் ஏன் மிகவும் சோகமாக இருக்கிறீர்கள்?
Wolves hunt in large packs.	ஓநாய்கள் பெரிய பொதிகளில் வேட்டையாடுகின்றன.
Words with attitude: deliberately, at least, rather.	அணுகுமுறையுடன் கூடிய வார்த்தைகள்: வேண்டுமென்றே, குறைந்தபட்சம், மாறாக.
Work & Study	வேலை & படிப்பு
Work & business	வேலை & வணிகம்
Work & career	வேலை மற்றும் தொழில்
Work is causing me a lot of stress.	வேலை எனக்கு மிகுந்த மன அழுத்தத்தை ஏற்படுத்துகிறது.
Work-related conversations	வேலை தொடர்பான உரையாடல்கள்
Working life	உழைக்கும் வாழ்க்கை
Would you help me?	நீங்கள் எனக்கு உதவுவீர்களா?
Would you like some green tea?	உங்களுக்கு கிரீன் டீ வேண்டுமா?
Would you like some more tea?	இன்னும் கொஞ்சம் தேநீர் வேண்டுமா?
Would you like something to drink?	நீங்கள் ஏதாவது குடிக்க விரும்புகிறீர்களா?
Wow, that is amazing!	ஆஹா, ஆச்சரியமாக இருக்கிறது!
Wow, what a surprise!	ஆஹா, என்ன ஆச்சரியம்!
Wow, you look great.	ஆஹா, நீங்கள் அழகாக இருக்கிறீர்கள்.
Write your name above the line.	வரிக்கு மேலே உங்கள் பெயரை எழுதுங்கள்.
XKEYX I ask a question?	XKEYX நான் ஒரு கேள்வி கேட்கிறேன்?
XKEYX is in the box.	XKEYX பெட்டியில் உள்ளது.
XKEYX seems fine to me.	XKEYX எனக்கு நன்றாகத் தெரிகிறது.
XKEYX, I didn't see that coming.	XKEYX, வருவதை நான் பார்க்கவில்லை.
XKEYX, that was unexpected.	XKEYX, அது எதிர்பாராதது.
XKEYX, what a surprise.	XKEYX, என்ன ஆச்சரியம்.
Yes, I agree.	ஆம், நான் ஒப்புக்கொள்கிறேன்.
Yes, it is raining.	ஆம், மழை பெய்கிறது.
Yes, please help me.	ஆம், தயவுசெய்து எனக்கு உதவுங்கள்.
Yesterday was a holiday.	நேற்று விடுமுறை.
Yesterday was rainy.	நேற்று மழை பெய்தது.
You XKEYX try again tomorrow.	நீங்கள் XKEYX நாளை மீண்டும் முயற்சிக்கவும்.
You are kind.	நீங்கள் அன்பானவர்.
You are right about that.	நீங்கள் சொல்வது சரிதான்.
You are very kind.	நீங்கள் மிகவும் அன்பானவர்.
You can achieve anything with hard work.	கடின உழைப்பால் எதையும் சாதிக்கலாம்.
You can claim your expenses here.	உங்கள் செலவுகளை இங்கே கோரலாம்.
You can take either bus.	எந்த பேருந்திலும் செல்லலாம்.
You can walk or take a bus.	நீங்கள் நடக்கலாம் அல்லது பஸ்ஸில் செல்லலாம்.
You cannot park your car here.	உங்கள் காரை இங்கு நிறுத்த முடியாது.
You cannot trust his word.	அவருடைய வார்த்தையை நம்ப முடியாது.
You learn fast in school.	நீங்கள் பள்ளியில் வேகமாக கற்றுக்கொள்கிறீர்கள்.
You look really tired today.	நீங்கள் இன்று மிகவும் சோர்வாக காணப்படுகிறீர்கள்.
You may leave the room.	நீங்கள் அறையை விட்டு வெளியேறலாம்.
You must assert your rights.	நீங்கள் உங்கள் உரிமைகளை உறுதிப்படுத்த வேண்டும்.
You must finish within an hour.	நீங்கள் ஒரு மணி நேரத்திற்குள் முடிக்க வேண்டும்.
You must justify the cost.	நீங்கள் செலவை நியாயப்படுத்த வேண்டும்.
You must maintain the car.	நீங்கள் காரை பராமரிக்க வேண்டும்.
You must obtain a permit.	நீங்கள் அனுமதி பெற வேண்டும்.
You need skill to play chess.	செஸ் விளையாட திறமை வேண்டும்.
You need to get some rest.	நீங்கள் கொஞ்சம் ஓய்வெடுக்க வேண்டும்.
You need to relax your shoulders.	நீங்கள் உங்கள் தோள்களை தளர்த்த வேண்டும்.
You should eat more vegetables.	காய்கறிகளை அதிகம் சாப்பிட வேண்டும்.
You should prioritize your health.	உங்கள் ஆரோக்கியத்திற்கு முன்னுரிமை கொடுக்க வேண்டும்.
You should try this.	நீங்கள் இதை முயற்சிக்க வேண்டும்.
You should wear a formal dress.	நீங்கள் ஒரு சாதாரண ஆடை அணிய வேண்டும்.
You're tired, aren't you?	நீங்கள் சோர்வாக இருக்கிறீர்கள், இல்லையா?
You/We/They + are. Negative: am not, isn't, aren't. Question: put the verb first — Am I? Is he? Are you?	நீங்கள்/நாங்கள்/அவர்கள் +. எதிர்மறை: நான் இல்லை, இல்லை, இல்லை. கேள்வி: வினைச்சொல்லை முதலில் வைக்கவும் — நான்? அவர்தானா? நீங்களா?
Your argument makes a lot of sense.	உங்கள் வாதம் மிகவும் அர்த்தமுள்ளதாக இருக்கிறது.
Your day from morning to night.	காலை முதல் இரவு வரை உங்கள் நாள்.
Your idea is great.	உங்கள் யோசனை அருமை.
Your password must be eight characters.	உங்கள் கடவுச்சொல் எட்டு எழுத்துகளாக இருக்க வேண்டும்.
Yours is better than mine.	என்னுடையதை விட உன்னுடையது சிறந்தது.
\s+	\s+
a / an / the — articles	a / an / the — கட்டுரைகள்
achira e douzo	achira e douzo
adj + enough	adj + போதும்
aete ureshii desu.	ஏதே உரேஷி தேசு.
aimu fain	aimu fain
aimu soorii	ஐமு சூரி
aisukuriimu ga suki desu.	aisukuriimu ga சுகி தேசு.
aisukuriimu wo futatsu kudasai.	aisukuriimu wo futatsu kudasai.
akai fuku wo kite imasu.	அகாய் ஃபுகு வோ கிட்டே இமாசு.
akai hana ga suki desu.	அகை ஹன கா சுகி தேசு.
akai no to shiroi no, dochira ga suki desu ka	அகாய் நோ டு ஷிரோய் நோ, டோசிரா கா சுகி தேசு கா
akemashite omedetou gozaimasu.	akemashite omedetou gozaimasu.
aki wa suzushii desu.	அகி வா சுசுஷி தேசு.
akiraka ni	அகிராக நி
albeit + phrase (although); notwithstanding + noun (despite); much as + clause.	என்றாலும் + சொற்றொடர் (இருப்பினும்); இருந்தாலும் + பெயர்ச்சொல் (இருந்தாலும்); மிகவும் + உட்பிரிவு.
am / is / are — the verb 'be'	am / is / are — வினைச்சொல் 'be'
am / is / are — the verb 'to be'	am / is / are — வினைச்சொல் 'இருக்க வேண்டும்'
amari neraremasen deshita.	அமரி நேரரேமசென் தேஷிதா.
amari+ negative	அமரி+ எதிர்மறை
ame ga fureba, sanpo shimasen	அமே கா ஃபுரேபா, சன்போ ஷிமாசென்
ame ga furisou desu	அமே கா ஃபுரிஸௌ தேசு
ame ga furisou desu ne.	ame ga furisou desu ne.
ame ga furu mae ni kaerimasu.	அமே கா ஃபுரு மே நி கெய்ரிமாசு.
ame ga furu to, kasa o sashimasu	அமே கா ஃபுரு தோ, கசா ஓ சஷிமாசு
ame ga futtara, uchi ni imasu	அமே கா ஃபுத்தாரா, உச்சி நி இமாசு
ame ga futte imasu	அமே கா ஃபுட்டே இமாசு
ame ga futte imasu.	அமே கா ஃபுட்டே இமாசு.
ame ni furaremashita	அமே நி ஃபுராரேமாஷிதா
ame no hi wa kaeru ga suki desu.	அமே நோ ஹாய் வா கேரு கா சுகி தேசு.
an happii	ஒரு மகிழ்ச்சி
anata no kuruma wa naniiro desu ka	அனாதா நோ குருமா வா நனியிரோ தேசு கா
anata no namae wa nan desu ka.	அனாதா நோ நமே வா நான் தேசு கா.
anata no wa dore desu ka	அனாதா நோ வா டோர் தேசு கா
anata wa dochira kara desu ka	அனாதா வா தோச்சிரா கர தேசு கா
anata wa doko no hito desu ka.	அனாதா வா டோகோ நோ ஹிட்டோ தேசு கா.
anata wa nani ga hoshii desu ka	அனாதா வா நானி கா ஹோஷி தேசு கா
anata wa nani ga suki desu ka	அனாதா வா நானி கா சுகி தேசு கா
anata wa nihongo ga jouzu desu.	அனாடா வா நிஹோங்கோ கா ஜோசு தேசு.
ane ga keeki o tsukutte, motte kimashita	அனே கா கீகி ஓ சுகுட்டே, மொட்டே கிமாஷிதா
ane no kodomo ga futari imasu	அனே நோ கோடோமோ கா ஃபுடாரி இமாசு
ane to hana o sodatemasu	அனே டூ ஹனா ஓ சோடடேமாசு
ane to kaimono ni ikimashita.	அனே தோ கைமோனோ நி இகிமாஷிதா.
ane wa daigakusei desu.	அனே வ டைககுசெய் தேசு.
ane wa indo ni sunde imasu	அனே வா இந்தோ நி சுண்டே இமாசு
ane wa piano wo hikimasu.	அனே வா பியானோ வோ ஹிகிமாசு.
ani ga imasu.	அனி கா இமாசு.
ani ga takoyaki wo tsukutte kuremashita.	அனி கா டகோயாகி வோ சுகுட்டே குரேமாஷிதா.
ani to issho ni sunde imasu	அனி டு இஷோ நி சுண்டே இமாசு
ani wa hantou de benkyou shite imasu	அனி வா ஹாண்டௌ டி பென்கியூ ஷிடே இமாசு
ani wa nihon ni sunde imasu.	அனி வா நிஹோன் நி சுண்டே இமாசு.
ani wa watashi yori toshi ue desu.	அனி வா வதாஷி யோரி தோஷி யூ தேசு.
ano gakusei wa majime desu.	அனோ ககுசேய் வா மஜிமே தேசு.
ano hito wa dare desu ka.	அனோ ஹிட்டோ வா டேரே தேசு கா.
ano hito wa furansu jin desu	அனோ ஹிட்டோ வா ஃபுரான்சு ஜின் தேசு
ano hito wa indo jin ja arimasen	அனோ ஹிட்டோ வா இந்தோ ஜின் ஜா அரிமசென்
ano hon wa akai desu	அனோ ஹொன் வா அகாய் தேசு
ano inu wa kawaii desu.	அனோ இனு வா கவாய் தேசு.
ano kata wa sensei desu ka	அனோ கதா வா சென்சீ தேசு கா
ano kuma wa ookii desu.	அனோ குமா வா ஓகி தேசு.
ano onna no hito wa isha desu.	அனோ ஒன்னா நோ ஹிட்டோ வா இஷா தேசு.
ano otoko no hito wa sensei desu.	அனோ ஓட்டோகோ நோ ஹிட்டோ வா சென்சீ தேசு.
ano resutoran wa oishii desu	அனோ ரெசுடோரன் வா ஓஷியி தேசு
ano sensei wa oshieru no ga jouzu na bakari ka, yasashii desu	அனோ சென்சீ வா ஓஷியேரு நோ கா ஜூசு நா பக்காரி கா, யாசாஷி தேசு
ano tesuto wa muzukashikatta desu	அனோ டெசுடோ வா முசுகாஷிகட்டா தேசு
ano tori wa shiroi desu.	அனோ டோரி வா ஷிரோய் தேசு.
anshin shimashita.	அன்ஷின் ஷிமாஷிதா.
anshou bangou	அன்ஷௌ பாங்கோ
anzen na basho wa doko desu ka.	அஞ்சேன் நா பாஷோ வா டோகோ தேசு கா.
aoi pen wo kudasai.	aoi pen wo kudasai.
arashi ga kimasu.	அராஷி கா கிமாசு.
are wa dare no kaban desu ka.	ஆர் வா டேர் நோ கபன் தேசு கா.
are wa denwa desu	வா டென்வா தேசு
are wa kuruma desu	வா குருமா தேசு
are wa nan desu ka.	அவை வ நன் தேசு கா.
are wa yama desu.	வா யமா தேசு.
arigatou gozaimashita.	அரிகடௌ கோசைமாஷிதா.
arigatou gozaimasu	அரிகடோ கோசைமாசு
arigatou gozaimasu.	அரிகடோ கோசைமாசு.
aruite gofun kurai desu.	aruite gofun kurai desu.
aruite imasu	aruite இமாசு
arukinagara hanashimashou	அருகிநகர ஹனஷிமாஷௌ
asa gohan wo tabemasu.	அசா கோஹன் வோ தபேமாசு.
asa hi ga agaru to, tsumetai desu	அசா ஹி கா அகரு தோ, சுமேதை தேசு
asa kara ban made hatarakimasu	asa kara ban செய்து hatarakimasu
asa ni koohii wo nomimasu.	ஆசா நி கூஹி வோ நோமிமாசு.
asa ni okimasu.	அசா நி ஒகிமாசு.
asa ni pan wo tabemasu.	அச நி பண் வொ தபெமாசு.
asa no rokuji ni okimasu.	ஆசா நோ ரோகுஜி நி ஒகிமாசு.
asa no shichiji ni okimasu.	ஆசா நோ ஷிச்சிஜி நி ஓகிமாசு.
asa pan to tamago o tabemasu	அஸ பான் டு தமகோ ஓ தபேமசு
asa wa suzushii desu.	அசா வா சுசுஷி தேசு.
asa, koohii wo nomimasu.	ஆசா, கூஹி வோ நோமிமாசு.
asagohan o tabemashita	அசகோஹன் ஓ தபேமஷிதா
asagohan o tabete, gakkou ni ikimasu	அசகோஹன் ஓ தபேட், கக்கௌ நி இகிமாசு
asagohan wa tabemashita.	அஸகோஹன் வா தபேமாஷிதா.
ashi de arukimasu.	ஆஷி டி அருகிமாசு.
ashi ga itai desu.	ashi ga itai desu.
ashi no yubi	ஆஷி நோ யூபி
ashi wo nobashimasu.	ashi wo nobashimasu.
ashita biichi ni ikimasu.	ashita biichi ni ikimasu.
ashita eiga wo mimasu	அஷிதா இைக வோ மீமாசு
ashita haretara, kouen ni ikimasu	அஷிதா ஹரேதரா, குயென் நி இகிமாசு
ashita hayaku okite kudasai	ashita hayaku okite kudasai
ashita kaisha ni ikimasu.	அஷிதா கைஷா நி இகிமாசு.
ashita kite kudasai	ashita kite kudasai
ashita koremasu ka	அஷிதா கோரேமாசு கா
ashita kyouto e dekakemasu	அஷிதா கியூடோ இ டெககேமாசு
ashita mata aimashou	அஷிதா மாதா ஐமாஷௌ
ashita mata aimashou.	அஷிதா மாதா ஐமாஷௌ.
ashita mo hare deshou.	அஷித மோ ஹரே தேஷௌ.
ashita nara, ikemasu	அஷிதா நாரா, இகேமாசு
ashita ni nobosemasu	ashita ni nobosemasu
ashita no asa hiroimashou	அஷிதா நோ ஆசா ஹிரோயிமாஷௌ
ashita no asa ni dekakemasu	அஷிதா நோ ஆசா நி தேககேமாசு
ashita no gogo ni machiawase masu	அஷிதா நோ கோகோ நி மச்சியாவாசே மாசு
ashita wa ame da to omoimasu	அஷிதா வா அமே டா டு ஓமோய்மாசு
ashita wa ikimasen	அஷிதா வா இகிமாசென்
ashita wa ikimasu	அஷிதா வா இகிமாசு
ashita wa konakute mo ii desu ka	அஷிதா வா கோனகுதே மோ ஐ தேசு கா
ashita wa nani wo shimasu ka.	அஷிதா வா நானி வோ ஷிமாசு கா.
