வணக்கம் நண்பரே	Hello friend
அவரது பதில் தெளிவற்றதாக இருந்தது	His answer was ambiguous
இது தெளிவற்ற செய்தி	This is an ambiguous news
அவருக்கு ஆழமான அறிவு உள்ளது	He has profound knowledge
இது ஒரு ஆழமான சிந்தனை	This is a profound thought
அவர் ஒரு பேச்சாற்றல் மிக்கவர்	He is an eloquent person
எனது நண்பர் பேச்சாற்றல் மிக்கவர்	My friend is an eloquent person
இது நடைமுறை சார்ந்த அணுகுமுறை	This is a pragmatic approach
நாம் நடைமுறை சார்ந்ததாக யோசிப்போம்	Let us think pragmatically
அவர் முழுமையாக ஆய்வு செய்தார்	He researched thoroughly
அதை முழுமையாக சரிபாருங்கள்	Check it thoroughly
அங்கு விரிவான வசதிகள் உள்ளன	There are extensive facilities there
அவர் விரிவான தேடல் செய்தார்	He did an extensive search
இது ஒரு அதிநவீன இயந்திரம்	This is a sophisticated machine
அவர்கள் அதிநவீன தொழில்நுட்பம் பயன்படுத்துகின்றனர்	They use sophisticated technology
அங்கு செல்வது கட்டாயம்	Going there is compelling
அவர் கட்டாயம் வர வேண்டும்	He must compellingly come
இது நம்ப வைக்கும் சான்று	This is a convincing evidence
அவரது பதில் நம்ப வைக்கும் வகையில் உள்ளது	His answer is convincing
அவர் வற்புறுத்தும் பேச்சு பேசினார்	He gave a persuasive speech
அவர் வற்புறுத்தும் அணுகுமுறை கொண்டிருந்தார்	He had a persuasive approach
அவர் ஒரு நம்பகமான மனிதர்	He is a credible man
இது ஒரு நம்பகமான செய்தி	This is a credible news
இது நம்பத்தகுந்த காரணம்	This is a plausible reason
அவரது பதில் நம்பத்தகுந்ததாக உள்ளது	His answer is plausible
இது சாத்தியமான திட்டம்	This is a feasible plan
இந்த வேலை சாத்தியமானதா	Is this work feasible
இது சாத்தியமான வழி	This is a viable way
அங்கு சாத்தியமான வாய்ப்புகள் உள்ளன	There are viable opportunities there
இது விவாதத்திற்குரிய விஷயம்	This is a debatable matter
அவரது கருத்து விவாதத்திற்குரியது	His opinion is debatable
இது சர்ச்சைக்குரிய செய்தி	This is a contentious news
அவர்கள் சர்ச்சைக்குரிய முடிவு எடுத்தார்கள்	They took a contentious decision
இது சர்ச்சைக்குரிய விவாதம்	This is a controversial debate
அவர் சர்ச்சைக்குரிய பதில் சொன்னார்	He said a controversial answer
அவரது உணர்திறன் அதிகம்	His sensitivity is high
இது ஒரு உணர்திறன் கருவி	This is a sensitive instrument
இது மென்மையானது	This is delicate
அவளுடைய கை மென்மையானது	Her hand is delicate
அவர் நுட்பமான மாற்றம் செய்தார்	He made a subtle change
இது ஒரு நுட்பமான வேறுபாடு	This is a subtle difference
அவர் நுணுக்கமான விளக்கம் அளித்தார்	He gave a nuanced explanation
இது நுணுக்கமான வேலை	This is nuanced work
அவர் துல்லியமான அளவு எடுத்தார்	He took a precise measurement
இது துல்லியமான பதில்	This is a precise answer
பதில் துல்லியமானது	The answer is accurate
இது துல்லியமானது தகவல்கள்	These are accurate information
அவர் நம்பகமான சாட்சி	He is a reliable witness
இது நம்பகமான ஆதாரம்	This is a reliable source
அவரது வேகம் சீரானதாக உள்ளது	His speed is consistent
அவர் சீரான முன்னேற்றம் கண்டார்	He saw consistent progress
அவரது பதில் சீரற்றதாக இருந்தது	His answer was inconsistent
அவர் சீரற்ற செயல்பாடுகளைக் கொண்டிருந்தார்	He had inconsistent actions
உண்மை வெளிப்படையானது	The truth is apparent
அவரது கோபம் வெளிப்படையானது	His anger is apparent
இது தெளிவற்ற பழைய வரலாறு	This is an obscure old history
அந்த வழி தெளிவற்றதாக உள்ளது	That path is obscure
இது ஒரு சுருக்கம் படம்	This is an abstract picture
அவர் சுருக்கம் விளக்கம் கொடுத்தார்	He gave an abstract explanation
சுவர் கான்கிரீட் செய்யப்பட்டுள்ளது	The wall is made of concrete
கான்கிரீட் தளம் உறுதியானது	The concrete floor is strong
அவர் வெளிப்படையான பதில் சொன்னார்	He gave an explicit answer
அவரது உத்தரவு வெளிப்படையானது	His order is explicit
அது மறைமுகமாக இருந்தது	That was implicit.
அன்பு முதன்மையானது	Love is predominant.
இது முதன்மையானது	This is predominant.
அவர்கள் உண்மையை வாதிடுகின்றனர்	They contend the truth
இரு தரப்பினர் வாதிடுகின்றனர்	Two sides contend
அரசு இதை வலியுறுத்துகின்றனர்	The government asserts this
ஆதாரங்கள் அதை மறுக்கின்றன	The evidences refute it
உண்மைகள் அதை மறுக்கின்றன	The facts refute it
உண்மையை ஆதாரப்படுத்த முயற்சி	Attempt to substantiate the truth
அதை ஆதாரப்படுத்த வேண்டும்	Must substantiate that
அவர் அதை ஒப்புக்கொள்	He concede it
ஒப்பந்தத்தில் ஒரு நிபந்தனை	A stipulation in the contract
இந்த நிபந்தனை கடினம்	This stipulation is difficult
அவர் ஒரு கருதுகோள் வைத்தார்	He made a hypothesize
அவர்கள் கல்வியை வலியுறுத்துகின்றன	They emphasize education
அவர் அன்பை வலியுறுத்துகின்றன	He emphasize love
உண்மையை தெளிவுபடுத்துங்கள்	Clarify the truth
இயந்திரத்தை பராமரிக்க வேண்டும்	Must maintain the machine
அரசை பராமரிக்க வேண்டும்	Must maintain the government
அவர்கள் சட்டப்படி வாதிடுகின்றனர்	They argue by law
அவர்கள் உரக்க வாதிடுகின்றனர்	They argue loudly
இதுவே சரியான காரணம்	This is the right reason
உன் காரணம் என்ன	What is your reason
புதிய திட்டத்தை முன்மொழியுங்கள்	Propose a new plan
அவர்கள் வழியை முன்மொழியுங்கள்	Propose the way
புத்தகங்கள் இதை பரிந்துரைக்கின்றன	Books suggest this
ஆராய்ச்சிகள் அதை பரிந்துரைக்கின்றன	Researches suggest that
அவருடைய கூற்று உண்மை	His claim is true
இந்த கூற்று தவறு	This claim is wrong
இயற்கையை பாதுகாக்க வேண்டும்	Must defend nature
உரிமையை பாதுகாக்க வேண்டும்	Must defend the right
எனக்கு உங்கள் ஆதரவு தேவை	I need your support
அவர் எனக்கு ஆதரவு அளித்தார்	He gave me support
அவர்கள் திட்டத்தை எதிர்க்க	They oppose the plan
அரசு இதை எதிர்க்க	Government oppose this
இது ஒரு பெரிய சவால்	This is a big challenge
அவர் எனக்கு சவால் விடுத்தார்	He issued a challenge to me
இது ஒரு நல்ல கேள்வி	This is a good question
உன் கேள்வி என்ன	What is your question
அவருக்கு சந்தேகம் இருக்கிறது	He has a doubt
இது ஒரு நீண்ட சர்ச்சை	This is a long dispute
நில சர்ச்சை தொடர்கிறது	Land dispute continues
அவை முரண்படுகின்றன	They contradict
கருத்துக்கள் முரண்படுகின்றன	Opinions contradict
அவர் கோரிக்கையை நிராகரிக்க	He reject the request
அவர்கள் திட்டத்தை நிராகரிக்க	They reject the plan
உதவியை ஏற்றுக்கொள்	Accept the help
அவர் உண்மையை ஏற்றுக்கொள்	He accept the truth
தவறை ஒப்புக்கொள்	Acknowledge the mistake
அவர் குற்றத்தை ஒப்புக்கொள்	He admit the crime
விவாதம் முடிவுக்கு வந்தது	The debate came to a conclude
அவர் உண்மையை அனுமானிக்க	He infer the truth
அவர் இதை குறிக்கும்	He imply this
வார்த்தைகள் உண்மையை குறிக்கும்	Words imply the truth
அவர் அதை குறிப்பிடு	He allude that
அவர் அவரை குறிப்பிடு	He allude him
உதாரணங்கள் அதை விளக்குகின்றன	Examples illustrate that
படங்கள் அதை விளக்குகின்றன	Pictures illustrate that
இது ஒரு எடுத்துக்காட்டு	This is an exemplify
சிறந்த எடுத்துக்காட்டு இது	This is a best exemplify
விளக்கம் விரிவான உள்ளது	The explanation is elaborate
அவர் விரிவான பதில் சொன்னார்	He gave an elaborate answer
நகரம் விரிவடையும்	The city expand
பெயரை சரிபார்க்க	Verify the name
தேதியை உறுதி செய்	Confirm the date
அவர் வருகையை உறுதி	He confirm the arrival
இந்த மாற்றம் குறிப்பிடத்தக்கது	This change is significant
அவர் ஒரு குறிப்பிடத்தக்கது மனிதர்	He is a significant man
அவர் கணிசமான பணம் வைத்திருக்கிறார்	He has substantial money
இது ஒரு கணிசமான முன்னேற்றம்	This is a substantial improvement
அவர்களுக்கு கணிசமான நேரம் தேவை	They need considerable time
இது ஒரு கணிசமான அளவு	This is a considerable amount
அவர் விளிம்புநிலை சமூகத்தைச் சேர்ந்தவர்	He belongs to a marginal community
இது ஒரு விளிம்புநிலை மாற்றம்	This is a marginal change
விலை படிப்படியாக உயர்ந்தது	The price rose gradually
நாம் படிப்படியாக முன்னேற வேண்டும்	We must progress gradually
விலையில் ஏற்ற இறக்கம் உள்ளது	There is a fluctuate in price
சந்தையில் ஏற்ற இறக்கம் நடக்கிறது	Fluctuate happens in the market
இது மலையின் உச்சம்	This is the peak of the mountain
அவர் தனது உச்சத்தில் இருந்தார்	He was at his peak
இது ஒரு பீடபூமி பகுதி	This is a plateau area
அவர்கள் பீடபூமிக்கு சென்றார்கள்	They went to the plateau
விலையில் சரிவு ஏற்பட்டது	There was a decline in price
இந்த சரிவு மிகவும் மோசமானது	This decline is very bad
புதிய போக்கு தொடங்கியது	A new trend started
இந்த போக்கு சரியானது	This trend is correct
விலையில் உயர்வு உள்ளது	There is a rise in price
பெரிய உயர்வு தெரிந்தது	A big rise was seen
தண்ணீரின் வீழ்ச்சி வேகமானது	The fall of water is fast
பெரிய வீழ்ச்சி ஏற்பட்டது	A big fall occurred
விலை அதிகரிக்கும் வாய்ப்பு உள்ளது	Price will increase likely
தேவை குறையும் என்று நினைக்கிறேன்	I think demand will decrease
ஆளவு குறையும்	The quantity will decrease
புதிய எழுச்சி ஏற்பட்டது	A new surge occurred
இந்த எழுச்சி நல்லது	This surge is good
விலை சரிவு ஏற்பட்டது	Price plummet occurred
அவர்கள் சரிவு கண்டார்கள்	They saw a plummet
பறவைகள் உயரும்	Birds will soar
விலை மீண்டும் உயரும்	Price will soar again
ராக்கெட் வானத்தில் சென்றது	The rocket went into the sky
அவர் ஒரு ராக்கெட் போல ஓடினார்	He ran like a rocket
விலையை நிலைப்படுத்த வேண்டும்	Price must stabilize
நாம் இதை நிலைப்படுத்த வேண்டும்	We must stabilize this
அவர் நிலை ஆஃப் செய்தார்	He level off it
இது நிலை ஆஃப் ஆனது	It level off
விலையில் ஒரு டிப் ஏற்பட்டது	There was a dip in price
அவர் ஒரு டிப் கொடுத்தார்	He gave a tip
இந்தக் கூர்முனை கூர்மையாக உள்ளது	This spike is sharp
அங்கு ஒரு கூர்முனை இருந்தது	There was a spike there
பெண்கள் எண்ணிக்கையை மிஞ்சும்	Women outnumber
அவர்கள் எண்ணிக்கையை மிஞ்சும்	They outnumber
இது சரியான விகிதம்	This is the correct proportion
இந்த விகிதம் அதிகம்	This proportion is high
இது நூறு சதவீதம்	This is one hundred percentage
சதவீதம் குறைகிறது	Percentage is decreasing
அவர் ஒரு உருவம் வரைந்தார்	He drew a figure
இந்த உருவம் அழகானது	This figure is beautiful
புள்ளிவிவரங்கள் உண்மையானவை	Statistics are true
புள்ளிவிவரங்கள் அவசியம்	Statistics are necessary
இது ஒரு ஒப்பீடு	This is a comparison
ஒப்பீடு செய்வது நல்லது	Comparing is good
இது ஒரு தோராயமான மதிப்பீடு	This is an approximate estimate
மதிப்பீடு சரியாக உள்ளது	The estimate is correct
விலை தோராயமாக நூறு ரூபாய்	Price is approximately hundred rupees
தூரம் தோராயமாக பத்து கிலோமீட்டர்	Distance is approximately ten kilometers
நேரம் தோராயமாக ஒரு மணி	Time is roughly one hour
எண்ணிக்கை தோராயமாக ஐம்பது	The count is roughly fifty
அவர் எல்லையை மீறுகிறது	He exceeds the limit
விலை எல்லையை மீறுகிறது	Price exceeds the limit
இதில் பல பொருட்கள் அடங்கும்	Many things comprise in this
குழுவில் ஐந்து பேர் அடங்கும்	Five people comprise in the group
அவர் கணக்கு பார்த்தார்	He account for it
கணக்கு சரியாக உள்ளது	The account is correct
அவர் படிப்படியாக கற்றார்	He learned gradually
விலை சீராக உயர்ந்தது	Price rose steadily
அவர் சீராக நடந்தார்	He walked steadily
விலை கூர்மையாக உயர்ந்தது	Price rose sharply
அவர் கூர்மையாகப் பார்த்தார்	He looked sharply
விலை வியத்தகு முறையில் உயர்ந்தது	Price rose dramatically
அவர் வியத்தகு முறையில் மாறினார்	He changed dramatically
விலை குறிப்பிடத்தக்க வகையில் உயர்ந்தது	Price rose noticeably
அவர் குறிப்பிடத்தக்க வகையில் வளர்ந்தார்	He grew noticeably
ஒட்டுமொத்த லாபம் அதிகம்	Overall profit is high
ஒட்டுமொத்த முடிவு இதுதான்	Overall this is the decision
அவன் படித்தான் அதேசமயம் அவள் விளையாடினாள்	He studied whereas she played
அவள் வந்தாள் அதேசமயம் அவன் சென்றான்	She came whilst he left
அது கடினமாக இருந்தாலும் எனக்கு பிடித்திருந்தது	It was difficult albeit I liked it
மழை பெய்தாலும் இருந்தாலும் அவன் சென்றான்	Notwithstanding the rain he went
இந்த திட்டம் இதன் மூலம் வெற்றி பெற்றது	The project succeeded whereby this happened
மழை வந்தது எனவே நான் வீட்டிற்கு சென்றேன்	It rained hence I went home
அவன் தவறு செய்தான் இதனால் தண்டனை பெற்றான்	He made a mistake thus he was punished
நீ படி அதேபோல் நானும் படிப்பேன்	You study likewise I will study
அவன் சிரித்தான் மாறாக அவள் அழுதாள்	He laughed conversely she cried
இது விவாதிக்கக்கூடிய வகையில் சிறந்த படம்	This is arguably the best movie
அவன் முயன்றான் இருப்பினும் தோற்றுவிட்டான்	He tried nevertheless he lost
நேரம் இல்லை ஆயினும்கூட நான் வருவேன்	There is no time nonetheless I will come
அவள் பாடினாள் மேலும் ஆடினாள்	She sang furthermore she danced
அவன் வந்தார் மேலும் அவரோடு நண்பர்களும் வந்தார்கள்	He came moreover his friends came
நீ தாமதமாக வந்தாய் எனவே நீ காத்திருக்க வேண்டும்	You came late therefore you must wait
அவன் படிக்கவில்லை அதன் விளைவாக தோல்வியடைந்தான்	He did not study consequently he failed
அவன் சொன்னான் அதன்படி நான் செய்தேன்	He said and accordingly I did
அவள் அழகாக இருக்கிறாள் இதேபோல் அவளுடைய மகளும்	She is beautiful similarly her daughter
இருவருக்கும் சமமாக பிரித்துக் கொடுத்தேன்	I divided it equally for both
வெள்ளை நிறம் மாறாக கருப்பு நிறம்	White color in contrast black color
அவன் நல்லவன் மாறாக அவன் கெட்டவன்	He is good on the contrary he is bad
ஒருவர் சொன்னார் மறுபுறம் மற்றொருவர் மறுத்தார்	One person said on the other hand another denied
அவன் ஓடினான் இதன் விளைவாக விழுந்தான்	He ran as a result he fell
பல பழங்கள் உள்ளன உதாரணமாக ஆப்பிள்	There are many fruits for instance apple
பல விலங்குகள் உள்ளன உதாரணமாக சிங்கம்	There are many animals for example lion
அவனுக்கு வீடு உள்ளது கூடுதலாக ஒரு கார்	He has a house in addition a car
தொடங்குவதற்கு நாம் அனைவரும் அமர வேண்டும்	To begin with we all must sit
சுருக்கமாக இந்த கதை முடிந்தது	To sum up this story ended
முடிவில் உண்மை வெற்றி பெற்றது	In conclusion the truth won
இறுதியில் அவன் ஒப்புக்கொண்டான்	Ultimately he admitted
அவன் கோபமாக இருப்பது வெளிப்படையாக தெரிகிறது	He is evidently angry
நான் தவறு செய்தேன் என்று ஒப்புக்கொண்டபடி சொல்கிறேன்	Admittedly I say that I made a mistake
அவன் திறமையானவன் என்பது மறுக்கமுடியாது	He is undeniably talented
வெளித்தோற்றத்தில் இது எளிதாக 보인다	Seemingly it looks easy
அவன் மறைமுகமாக உதவக்கூடும்	Presumably he might help
ஆதாரங்கள் உறுதிப்படுத்துகின்றன	The evidence corroborates
தகவல்கள் உறுதிப்படுத்துகின்றன	The facts corroborate
தரவுகளை புறம்போக்கு	Extrapolate the data
முடிவுகளை புறம்போக்கு	Extrapolate the results
தகவல்களை ஒருங்கிணைக்க	Synthesize the information
கருத்துக்களை ஒருங்கிணைக்க	Synthesize the concepts
எல்லைகளை வரையறு	Delineate the boundaries
திட்டத்தை வரையறு	Delineate the plan
வேதியியல் வீழ்படிவு	Chemical precipitate
உப்பு வீழ்படிவு	Salt precipitate
வலியை தணிக்க	To mitigate the pain
பயத்தை தணிக்க	To mitigate the fear
வலிகள் அதிகப்படுத்துகின்றன	The pains exacerbate
பிரச்சனைகள் அதிகப்படுத்துகின்றன	The problems exacerbate
உண்மை உறுதி	Truth is certain
விலை உறுதி	Price is certain
விதியை முன்வைக்க	To postulate the rule
கோட்பாட்டை முன்வைக்க	To postulate the theory
வழக்கில் தீர்ப்பளிக்கவும்	Adjudicate the case
தவறை தீர்ப்பளிக்கவும்	Adjudicate the mistake
குழுக்களை ஒன்றிணைக்க	To amalgamate the groups
நிறுவனங்களை ஒன்றிணைக்க	To amalgamate the companies
வேதியியல் வினையூக்கி	Chemical catalyst
உணர்வு வினையூக்கி	Emotional catalyst
தவறுகளை தவிர்க்க	Avoid the mistakes
நெரிசலை தவிர்க்க	Avoid the congestion
கருத்துக்களை ஒன்றிணைக்க	To conflate the ideas
விஷயங்களை ஒன்றிணைக்க	To conflate the matters
வார்த்தைகளை அர்த்தப்படுத்துகின்றன	They construe the words
செயல்களை அர்த்தப்படுத்துகின்றன	They construe the actions
ரகசியத்தை புரிந்துகொள்பவர்	The one who deciphers the secret
குறியீட்டை புரிந்துகொள்பவர்	The one who deciphers the code
ஆழமான ஆய்வு	Deep scrutinize
துல்லியமான ஆய்வு	Precise scrutinize
செயலை கண்டிக்க	To denounce the action
குற்றத்தை கண்டிக்க	To denounce the crime
கருத்தை நிராகரிக்கவும்	Reject the idea
முயற்சியை நிராகரிக்கவும்	Reject the attempt
அவரை இழிவு	Insult him
அதை இழிவு	Insult that
செய்தியை பரப்பு	Spread the news
அறிவை பரப்பு	Spread the knowledge
தகவல் உறை	Information capsule
உயிரி உறை	Biological capsule
அதை தவிர்க்கவும்	Avoid that
பிழையை தவிர்க்கவும்	Avoid the error
வேலையை துரிதப்படுத்து	Expite the work
செயல்முறையை துரிதப்படுத்து	Expedite the process
அதை ஆழமாக	Fathom it deeply
உணர்வை ஆழமாக	Fathom the emotion deeply
அனைத்தையும் உட்படுத்துகின்றன	They implicate everything
காரணங்களை உட்படுத்துகின்றன	They implicate the reasons
ஒத்திசைவு தேவை	Juxtapose is needed
ஒத்திசைவு உள்ளது	There is juxtapose
அதை சட்டப்பூர்வமாக்க	To legitimize it
உரிமையை சட்டப்பூர்வமாக்க	To legitimize the right
நினைவுகள் நிலைத்திருக்கும்	Memories will perpetuate
உண்மைகள் நிலைத்திருக்கும்	Truths will perpetuate
அதை தடுக்கும்	It will preclude
தவறை தடுக்கும்	It will preclude the mistake
அதை மீண்டும் வலியுறுத்துகின்றன	They reiterate it
விதிமுறையை மீண்டும் வலியுறுத்துகின்றன	They reiterate the rule
ஒரு நிபந்தனை	One stipulate
புதிய நிபந்தனை	New stipulate
உண்மையை யூகிக்கவும்	Surmise the truth
காரணத்தை யூகிக்கவும்	Surmise the reason
எல்லைகளை மீறுகின்றன	They transcend the boundaries
விதிமுறையை மீறுகின்றன	They transcend the rule
முக்கியத்தை அடிக்கோடிட்டு	Underscore the importance
தேவையை அடிக்கோடிட்டு	Underscore the need
முடிச்சை அவிழ்	Unravel the knot
நூலை அவிழ்	Unravel the thread
அவரை கொச்சைப்படுத்து	Vilify him
அதை கொச்சைப்படுத்து	Vilify that
அவரை நியாயப்படுத்து	Vindicate him
செயலை நியாயப்படுத்து	Vindicate the action
அரசியல் இரட்டை முனைகள் கொண்ட வாள்	Politics is a double-edged sword
இந்த இரட்டை முனைகள் கொண்ட வாள் ஆபத்தானது	This double-edged sword is dangerous
விஷயத்தின் முக்கிய அம்சம் இதுதான்	This is the crux of the matter
அவர்கள் விஷயத்தின் முக்கிய அம்சம் பற்றி பேசினர்	They spoke about the crux of the matter
அது ஒரு முக்கிய புள்ளி	That is a moot point
இந்த ஒரு முக்கிய புள்ளி விவாதிக்கப்பட்டது	This moot point was discussed
நீண்ட காலமாக அவர் வேலை செய்தார்	He worked for a long run
நீண்ட காலமாக இது நடக்கும்	This will happen in the long run
புதிய வெளிச்சத்தில் உண்மை தெரிந்தது	The truth appeared in light of new info
வெளிச்சத்தில் எல்லாம் தெளிவாக உள்ளது	Everything is clear in light of it
அதே டோக்கன் மூலம் அவர் வந்தார்	He came by the same token
அதே டோக்கன் மூலம் இதை செய்யவும்	Do this by the same token
அவர் தனது செலவில் இதை வாங்கினார்	He bought this at the expense of his money
அவளுடைய செலவில் வீடு கட்டப்பட்டது	The house was built at her expense
அவன் நீலம் வெளியே வந்தார்	He came out of the blue
நீலம் வெளியே திடீரென நடந்தது	It happened out of the blue
அதை ஒரு சிட்டிகை உப்புடன் எடுத்துக்கொள்	Take it with a pinch of salt
ஒரு சிட்டிகை உப்புடன் கதை சொல்லுங்கள்	Tell the story with a pinch of salt
அவன் விளிம்பில் நின்றிருந்தான்	He stood on the verge of it
நாம் விளிம்பில் இருக்கிறோம்	We are on the verge of it
அவன் பிசாசின் வக்கீலாக நடிக்க விரும்பினான்	He wanted to play devil's advocate
பிசாசின் வக்கீலாக நடிக்க வேண்டாம்	Don't play devil's advocate
நாம் ஒரே பக்கத்தில் இருக்க வேண்டும்	We should be on the same page
அவர்கள் ஒரே பக்கத்தில் இருக்க வேண்டும்	They should be on the same page
அவன் புல்லட்டைக் கடிக்க முடிவு செய்தான்	He decided to bite the bullet
இப்போது புல்லட்டைக் கடிக்க நேரம்	Now is the time to bite the bullet
அவள் நள்ளிரவு எண்ணெய் எரிக்க உழைத்தாள்	She worked to burn the midnight oil
நள்ளிரவு எண்ணெய் எரிக்க வேண்டும்	Must burn the midnight oil
இங்கு கோடு வரைவதற்கு நேரம் வந்தது	Time to draw the line here
கோடு வரைவதற்கு அவன் முயன்றான்	He tried to draw the line
அவன் குழந்தையை கண்காணிக்க வேண்டும்	He should keep an eye on the child
எல்லாரையும் கண்காணிக்க வேண்டும்	Should keep an eye on everyone
பூனையை பையிலிருந்து வெளியே விட வேண்டும்	Should let the cat out of the bag
அவன் பூனையை பையிலிருந்து வெளியே விட வேண்டும்	He should let the cat out of the bag
அதை சாதாரணமாக எடுத்துக்கொள்ள வேண்டும்	Should take it for granted
அவள் அதை சாதாரணமாக எடுத்துக்கொள்ள வேண்டும்	She should take it for granted
அவன் கண்ணை மூடிக் கொள்ள விரும்பினான்	He wanted to turn a blind eye
அவர்கள் கண்ணை மூடிக் கொள்ள வேண்டும்	They should turn a blind eye
அவள் மெல்லிய பனியில் இருக்க வேண்டும்	She should be on thin ice
அவன் மெல்லிய பனியில் இருக்க வேண்டும்	He should be on thin ice
ஒரு கை மற்றும் ஒரு கால் செலவாகும்	It will cost an arm and a leg
இந்த கார் ஒரு கை மற்றும் ஒரு கால் செலவாகும்	This car will cost an arm and a leg
அவன் மனம் மாற வேண்டும்	He should have a change of heart
அவளுடைய மனம் மாற வேண்டும்	Her heart should change
அவள் சந்திரனுக்கு மேல் இருக்க வேண்டும்	She should be over the moon
அவன் சந்திரனுக்கு மேல் இருக்க வேண்டும்	He should be over the moon
அவர்கள் கண்ணால் பார்க்க வேண்டும்	They should see eye to eye
நாம் கண்ணால் பார்க்க வேண்டும்	We should see eye to eye
அவன் வேலியில் உட்கார வேண்டும்	He should sit on the fence
அவள் வேலியில் உட்கார வேண்டும்	She should sit on the fence
அவன் பீன்ஸ் கொட்ட திட்டமிட்டான்	He planned to spill the beans
உண்மையை பீன்ஸ் கொட்ட வேண்டும்	Should spill the beans of truth
அவன் வானிலை கீழ் இருக்க வேண்டும்	He should be under the weather
அவள் வானிலை கீழ் இருக்க வேண்டும்	She should be under the weather
அவர்கள் பனியை உடைக்க முயன்றனர்	They tried to break the ice
பனியை உடைக்க ஒரு கதை சொல்லு	Tell a story to break the ice
அவன் தலையில் ஆணி அடிக்க சொன்னான்	He told to hit the nail on the head
அவள் தலையில் ஆணி அடிக்க வேண்டும்	She should hit the nail on the head
அவன் ஒருவரின் காலை இழுக்க விரும்பினான்	He wanted to pull someone's leg
ஒருவரின் காலை இழுக்க வேண்டாம்	Don't pull someone's
முடிவில் அவர் சிரித்தார்	In conclusion he laughed
கதை முடிவில் மகிழ்ச்சியாக இருந்தது	The story was happy in conclusion
நான் இதை சுருக்கமாக எழுதினேன்	I wrote this to sum up
சமநிலையில் வைத்துப் பாருங்கள்	Keep it on balance
அங்கு அனைத்தும் சமநிலையில் இருந்தது	Everything was on balance there
சாராம்சத்தில் இது உண்மை	In essence this is true
அவர் சாராம்சத்தில் சொன்னது சரி	What he said in essence was correct
கூடுதலாக ஒரு பேனா கொடு	Give a pen in addition
எனக்கு கூடுதலாக நேரம் வேண்டும்	I need more time in addition
மாறாக அவர் அழுதார்	In contrast he cried
இந்த நிறம் மாறாக இருக்கிறது	This color is in contrast
மாறாக உண்மை வேறு	On the contrary the truth is different
அவர் மாறாக சொன்னார்	He said on the contrary
வேறு வார்த்தைகளில் கூறுவதானால் இது கடினம்	In other words this is difficult
அதை வேறு வார்த்தைகளில் கூறுவதானால் புரியும்	It will be understood if said in other words
உதாரணமாக ஆப்பிள் ஒரு பழம்	For instance apple is a fruit
உதாரணமாக இதை பாருங்கள்	Look at this for instance
இதன் விளைவாக மழை வந்தது	As a result rain came
இதன் விளைவாக அவர் வென்றார்	As a result he won
முதல் இடத்தில் நீங்கள் இருக்கிறீர்கள்	You are in the first place
முதல் இடத்தில் யார் இருந்தார்கள்	Who was in the first place
தொடங்குவதற்கு இது நல்ல நேரம்	To begin with this is a good time
தொடங்குவதற்கு தயார் செய்யுங்கள்	Get ready to begin with
இரண்டாவது இடத்தில் அவர் வந்தார்	He came in the second place
இரண்டாவது இடத்தில் என்ன இருக்கிறது	What is in the second place
மூன்றாவதாக அவர் பேசினார்	Thirdly he spoke
மூன்றாவதாக இதைச் செய்யுங்கள்	Do this thirdly
கடைசியாக дверь மூடியது	Lastly the door closed
கடைசியாக அவர் வந்தார்	Lastly he came
இறுதியாக பதில் கிடைத்தது	Finally the answer was found
இறுதியாக ரயில் வந்தது	Finally the train came
முதலில் இங்கே வாருங்கள்	Firstly come here
முதலில் இதை படியுங்கள்	Firstly read this
இரண்டாவதாக இதைச் செய்	Secondly do this
இரண்டாவதாக அவர் வந்தார்	Secondly he came
மூன்றாவதாக இதை எழுது	Thirdly write this
மூன்றாவதாக அவர் சொன்னார்	Thirdly he said
இதையொட்டி அவர் சிரித்தார்	He laughed in turn
நாங்கள் இதையொட்டி பேசினோம்	We spoke in turn
மாறாக இது பெரியது	By contrast this is big
மாறாக அவர் அமைதியாக இருந்தார்	By contrast he was quiet
ஒப்பிடுகையில் இது சிறந்தது	In comparison this is better
ஒப்பிடுகையில் அது சிறியது	In comparison that is small
ஒருபுறம் அவர் சொன்னார்	On the one hand he said
ஒருபுறம் மழை பெய்தது	On the one hand it rained
மறுபுறம் அவர் அழுதார்	On the other hand he cried
மறுபுறம் காற்று வீசியது	On the other hand the wind blew
மாறாக இதை எடு	Rather take this
மாறாக அவர் சென்றார்	Rather he went
மாற்றாக இதைச் செய்யுங்கள்	Alternatively do this
மாற்றாக அங்கு செல்லுங்கள்	Alternatively go there
எனவே நான் சென்றேன்	Therefore I went
எனவே இதைச் செய்	Therefore do this
அதன் விளைவாக அவர் தோற்றார்	Consequently he lost
அதன் விளைவாக மழை நின்றது	Consequently the rain stopped
இதனால் எனக்குத் தெரியும்	Thus I know
இதனால் அவர் வென்றார்	Thus he won
எனவே நாம் போகலாம்	Hence we can go
எனவே இதை நம்புங்கள்	Hence believe this
அதன் மூலம் அவர் வந்தார்	Thereby he came
அதன் மூலம் இது நடந்தது	Thereby this happened
அதன்பின் அவர் சென்றார்	Thereafter he left
அதன்பின் மழை வந்தது	Thereafter rain came
அதன்பின் கதவு திறந்தது	Thereupon the door opened
அதன்பின் அவர் பேசினார்	Thereupon he spoke
