Geh.	Go.
Du musst Tom fragen.	You'll have to ask Tom.
Du bist gut in Form.	You're in a good shape.
Sie nerven wirklich.	You're really annoying.
Deine Garage brennt.	Your garage is on fire.
Laufen die Kameras?	Are the cameras rolling?
Werden wir das tun?	Are we going to do that?
Bist du Archäologe?	Are you an archeologist?
Bist du dazu fähig?	Are you capable of that?
Spielst du mit mir?	Are you playing with me?
Wartest du auf Tom?	Are you waiting for Tom?
Atmen Sie ganz aus.	Breathe all the way out.
Wolltest du Pommes?	Did you want some fries?
Wolltet ihr Pommes?	Did you want some fries?
Wollten Sie Pommes?	Did you want some fries?
Tu’s, wo du willst!	Do it wherever you want.
Gehst du oft jagen?	Do you go hunting a lot?
Geht ihr oft jagen?	Do you go hunting a lot?
Habt ihr einen Fön?	Do you have a hairdryer?
Seid ihr tätowiert?	Do you have any tattoos?
Hast du genug Zeit?	Do you have enough time?
Haben Sie es dabei?	Do you have it with you?
Haben Sie das Bild?	Do you have the picture?
Können Sie tauchen?	Do you know how to dive?
Kennst du die drei?	Do you know those three?
Kennt ihr die drei?	Do you know those three?
Magst du Obstsalat?	Do you like fruit salad?
Möchtest du da hin?	Do you want to go there?
Glaubt Tom an Gott?	Does Tom believe in God?
Mag Tom Schokolade?	Does Tom like chocolate?
Gärtnert Tom gerne?	Does Tom like gardening?
Hat Tom noch einen?	Does Tom still have one?
Will Tom austreten?	Does Tom want to resign?
Bedeutet das etwas?	Does that mean anything?
Stell keine Fragen!	Don't ask any questions.
Vermisst du nichts?	Don't you miss anything?
Jeder macht Fehler.	Everyone makes mistakes.
Alle stürmten raus.	Everyone rushed outside.
Das sagen dir alle.	Everyone tells you that.
Alle schlafen noch.	Everyone's still asleep.
Gib mir das, bitte.	Give that to me, please.
Er blieb immer arm.	He always remained poor.
Er mag kein Tennis.	He does not like tennis.
Er ist überhöflich.	He is polite to a fault.
Er sprach von sich.	He talked about himself.
Hey, was machst du?	Hey, what are you doing?
Wie oft duschst du?	How often do you shower?
Wie erkenne ich es?	How will I recognize it?
Ich verstehe alles.	I understand everything.
Tom soll das lesen.	I want Tom to read this.
Ich will studieren.	I want to go to college.
Ich tue schon viel.	I'm already doing a lot.
Ich bin bärenstark.	I'm as strong as a bear.
Ich sehe es mir an.	I'm having a look at it.
Ich suche jemanden.	I'm looking for someone.
Ich nehme es ernst.	I'm taking it seriously.
Wird Tom hier sein?	Is Tom going to be here?
Ist Ihr Vater Arzt?	Is your father a doctor?
Es war Privatsache.	It was a private matter.
Es ist Ihre Schuld.	It's you who's to blame.
Trinken wir Scotch!	Let's drink some Scotch.
Schau, was sie tun.	Look what they're doing.
Niemand weiß alles.	No one knows everything.
Bitte Strom sparen!	Please save electricity.
Schmink dir das ab.	Put it out of your mind.
Sie mag kein Sushi.	She does not like sushi.
Sie badet das Baby.	She is bathing the baby.
Erzähl Tom von dir!	Tell Tom about yourself.
Danke fürs Zuhören.	Thank you for listening.
So läuft das nicht.	That isn't how it works.
Das wäre anzuraten.	That would be advisable.
Das ist Nebensache.	That's beside the point.
Darum geht's nicht.	That's beside the point.
Das gilt als Sünde.	That's considered a sin.
Dort arbeitete Tom.	That's where Tom worked.
Da gehören Sie hin.	That's where you belong.
Da liegt viel Geld.	There is a lot of money.
Es gab viel Schnee.	There was a lot of snow.
Sie ziehen sich an.	They're getting dressed.
Sie warten auf Sie.	They're waiting for you.
Sie warten draußen.	They're waiting outside.
Das läuft sehr gut.	This is going very well.
Tom kann das schon.	Tom can already do that.
Tom holte Mary ein.	Tom caught up with Mary.
Tom hat keine Frau.	Tom doesn't have a wife.
Tom isst viel Obst.	Tom eats a lot of fruit.
Tom muß zur Schule.	Tom has to go to school.
Tom hört nicht gut.	Tom has trouble hearing.
Tom wird hier sein.	Tom is going to be here.
Tom wird es lieben.	Tom is going to love it.
Tom verbirgt etwas.	Tom is hiding something.
Tom lernt Englisch.	Tom is learning English.
Tom hat heute frei.	Tom is off duty tonight.
Tom hat echt Glück.	Tom is really fortunate.
Tom ist noch unten.	Tom is still downstairs.
Tom lehrt Englisch.	Tom is teaching English.
Tom sagt nie etwas.	Tom never says anything.
Tom blieb im Hotel.	Tom stayed in the hotel.
Tom war gestern da.	Tom was there yesterday.
Toms Mutter weinte.	Tom's mother was crying.
Bist du unten, Tom?	Tom, are you downstairs?
Lass das sein, Tom!	Tom, will you stop that?
Warte kurz im Auto.	Wait a while in the car.
Heute ist Feiertag.	We have a holiday today.
Wir grillen gerade.	We're having a barbecue.
Wir sind Komplizen.	We're partners in crime.
Worauf trinken wir?	What are we drinking to?
Auf was sitzen Sie?	What are you sitting on?
Was will er machen?	What does he want to do?
Wonach schmeckt es?	What does it taste like?
Wonach schmeckt er?	What does it taste like?
Was macht das Ding?	What does that thing do?
Wann fährt Ihr Zug?	What time is your train?
Wie hieß er gleich?	What was his name again?
Wie hieß der Junge?	What was the boy called?
Was werden Sie tun?	What're you going to do?
Wo wohnt Tom jetzt?	Where does Tom live now?
Wo wohnt sie jetzt?	Where does she live now?
Wo ist der Bassist?	Where's the bass player?
Welchen wählen Sie?	Which one do you choose?
Welches wählen Sie?	Which one do you choose?
Wen suchst du hier?	Who are you looking for?
Auf wen wartest du?	Who are you waiting for?
Wer kocht bei euch?	Who cooks in your house?
Wer gibt die Feier?	Who will host the party?
Warum lächeln alle?	Why is everyone smiling?
Wieso lächeln alle?	Why is everyone smiling?
Möchten Sie tanzen?	Would you like to dance?
Du bist brav, oder?	You're good, aren't you?
Du bist hier, oder?	You're here, aren't you?
Du verbirgst etwas.	You're hiding something.
Da hast du unrecht.	You're wrong about that.
Deine Gäste warten.	Your guests are waiting.
Bewegen wir etwas?	Are we making any impact?
Mögt ihr Baseball?	Are you fond of baseball?
Wirst du aufgeben?	Are you going to give up?
Passt du auch auf?	Are you paying attention?
Bring Bargeld mit!	Bring some cash with you.
Können Sie tanzen?	Do you know how to dance?
Singst du im Chor?	Do you sing in the choir?
Singt ihr im Chor?	Do you sing in the choir?
Will Tom das noch?	Does Tom still want this?
Liest noch jemand?	Does anyone read anymore?
Beglückt euch das?	Does that make you happy?
Beglückt dich das?	Does that make you happy?
Tu das nie wieder!	Don't ever do that again.
Hier nicht parken!	Don't park your car here.
Hast du kein Geld?	Don't you have any money?
Magst du kein Eis?	Don't you like ice cream?
Mögt ihr kein Eis?	Don't you like ice cream?
Alle empfinden so.	Everybody feels that way.
Grüßt ihn von mir!	Give him my best regards.
Hilf mir mal kurz!	Give me a hand, will you?
Musik mag er sehr.	He is very fond of music.
Ich musste lachen.	I couldn't help laughing.
Ich finde Tom süß.	I think that Tom is cute.
Ich spielte Geige.	I was playing the violin.
Ich bin mehr wert.	I'm worth more than this.
Das besagt nichts.	It doesn't mean anything.
Mary erpresst Tom.	Mary is blackmailing Tom.
Keiner kann alles.	No one can do everything.
Nichts ändert das.	Nothing will change that.
Sie winkte uns zu.	She waved her hand to us.
Danke für neulich.	Thanks for the other day.
Das erklärt alles!	That explains everything.
Das war echt toll.	That was totally amazing.
Das tut Tom nicht.	That's not what Tom does.
Der Ölpreis stieg.	The price of oil went up.
Das Klo ist unten.	The toilet is downstairs.
Die arbeiten oben.	They're working upstairs.
Es sah düster aus.	Things were looking grim.
So kocht man Reis.	This is how to cook rice.
Tom bat um Wasser.	Tom asked for some water.
Tom gestand alles.	Tom confessed everything.
Tom biss nicht an.	Tom didn't take the bait.
Tom wollte nichts.	Tom didn't want anything.
Tom ist jähzornig.	Tom has a violent temper.
Tom wird erpresst.	Tom is being blackmailed.
Tom sammelt Dinge.	Tom is collecting things.
Tom ist umgezogen.	Tom moved to a new place.
Tom muss abnehmen.	Tom needs to lose weight.
Tom spielte krank.	Tom pretended to be sick.
Tom lief ums Haus.	Tom ran around the house.
Tom saß vor Maria.	Tom sat in front of Mary.
Tom stand vor mir.	Tom stood in front of me.
Tom will heiraten.	Tom wants to get married.
Tom fuhr zu Maria.	Tom went to Mary's house.
Leider regnete es.	Unfortunately, it rained.
Wir verstehen uns.	We have an understanding.
Wir ändern nichts.	We won't change anything.
Was verlangen sie?	What are they asking for?
Worüber lacht ihr?	What are you laughing at?
Wonach suchen Sie?	What are you looking for?
Was tut euch leid?	What are you sorry about?
Worauf wartet ihr?	What are you waiting for?
Was will man mehr?	What more could you want?
Was hast du da an?	What's that your wearing?
Mit wem reist Tom?	Who's Tom traveling with?
Wer geigt denn da?	Who's playing the violin?
Du mußt mehr üben.	You must practice harder.
Ihr habt nie Geld.	You never have any money.
Ihre Stirn blutet.	Your forehead's bleeding.
Rufen Sie Tom an?	Are you going to call Tom?
Fährst du allein?	Are you going to go alone?
Gehen Sie allein?	Are you going to go alone?
Suchst du Arbeit?	Are you looking for a job?
Tut dir Tom leid?	Do you feel sorry for Tom?
Hast du Bauchweh?	Do you have a stomachache?
Habt ihr Töchter?	Do you have any daughters?
Haben Sie Fragen?	Do you have any questions?
Spielen Sie gern?	Do you like to play games?
Muss Tom da sein?	Does Tom have to be there?
Behindere keinen!	Don't get in anyone's way.
Er isst nur Obst.	He eats nothing but fruit.
Er weiß zu lügen.	He knows how to tell lies.
Ich werde Ärztin.	I am going to be a doctor.
Ich lerne fahren.	I'm learning how to drive.
Ich mache Rührei.	I'm making scrambled eggs.
Darf Tom das tun?	Is Tom allowed to do that?
So geht es nicht.	It doesn't work like that.
Es kommt bald an.	It'll be here before long.
Mach es aber, ja?	Make sure you do that, OK?
Das leuchtet ein.	That makes a lot of sense.
Ebenda irren Sie.	That's where you're wrong.
Sie gehen barfuß.	They are walking barefoot.
Das muss ich tun.	This is what I have to do.
Tom ist Logopäde.	Tom is a speech therapist.
Tom wartet unten.	Tom is waiting downstairs.
Tom holt mich ab.	Tom will be picking me up.
Wir hören Mozart.	We're listening to Mozart.
Worauf hören wir?	What are we listening for?
Was macht ihr so?	What are you people doing?
Ihr müßt duschen.	You have to take a shower.
Du suchst Streit.	You're asking for trouble.
Er saß aufrecht.	He was sitting up straight.
Eßt schnell auf!	Hurry up and finish eating.
Ich warte unten.	I'll be waiting downstairs.
Das geht nur so.	It's the only way to do it.
Sie hörte Musik.	She was listening to music.
Tom hörte Musik.	Tom was listening to music.
Wofür sparst du?	What are you saving up for?
Wofür spart ihr?	What are you saving up for?
Kommt ihr klar?	Are you guys going to be OK?
Was stört euch?	What is it that bothers you?
Eßt doch etwas!	Why don't you eat something?
Du musst fegen.	You have to sweep the floor.
Los! Noch mal!	Come on, let's do that again.
Toi, toi, toi.	I'll keep my fingers crossed.
Tom hört iPod.	Tom is listening to his iPod.
Es macht mir in der Tat etwas aus.	I do mind.
Fangen Sie noch mal von vorne an.	Start over.
Setz dich mit Tom in Verbindung.	Contact Tom.
Ich bin anderer Meinung gewesen.	I disagreed.
Ich bin auch siebzehn Jahre alt.	I'm 17, too.
Kannst du springschnurspringen?	Can you skip?
Er hat mit mir Schluss gemacht.	He dumped me.
Ich kann mich nicht verstecken.	I can't hide.
Ich habe schon wieder verloren.	I lost again.
Ich habe mich sehr angestrengt.	I tried hard.
Ich bin künstlerisch veranlagt.	I'm artistic.
Kannst du Schlittschuh laufen?	Can you skate?
Ich bin nicht zu Fuß gegangen.	I didn't walk.
Ich habe eine Arbeit gefunden.	I found a job.
Ich habe eine Hausangestellte.	I have a maid.
Mir gefällt es, Ski zu fahren.	I like skiing.
Ich habe meinen Hund verloren.	I lost my dog.
Ich habe ein Flugzeug gesehen.	I saw a plane.
Ich bin mit dem Auto gefahren.	I went by car.
Ich werde Tom ausrufen lassen.	I'll page Tom.
Kontrollieren Sie ihn einfach.	Just check it.
Kontrollieren Sie sie einfach.	Just check it.
Die haben sie nicht mehr alle!	They're crazy.
Tom schloss die Hochschule ab.	Tom graduated.
Wir haben dich schon vermisst.	We missed you.
Wir haben uns dagegengestellt.	We opposed it.
Sie belieben wohl zu scherzen!	You're joking!
Bin ich ein schlechter Vater?	Am I a bad dad?
Kann ich mich jetzt ausruhen?	Can I rest now?
Kommen Sie zurück nach Hause.	Come back home.
Machen Sie es auf Ihre Weise.	Do it your way.
Steig in den Lieferwagen ein!	Get in the van.
Hast du schon etwas gegessen?	Have you eaten?
Er scheint verärgert zu sein.	He seems angry.
Wie schnell die Zeit vergeht!	How time flies!
Ich nehme Geschenke entgegen.	I accept gifts.
Ich bin deinetwegen gekommen.	I came for you.
Ich kann es nicht gebrauchen.	I can't use it.
Das habe ich dir mitgebracht.	I got you this.
Ich hatte einen Schlaganfall.	I had a stroke.
Ich hatte eine Nietenhose an.	I had jeans on.
Ich bin gerade wach geworden.	I just woke up.
Ich vermisse die Universität.	I miss college.
Ich brauche etwas zu trinken.	I need a drink.
Ich bin mit dem Rad gefahren.	I rode my bike.
Ich habe einen Otter gesehen.	I saw an otter.
Ich habe mich so gelangweilt.	I was so bored.
Ich habe das Rennen gewonnen.	I won the race.
Ich werde nicht wiederkommen.	I won't return.
Ich werde gleich dazu kommen.	I'll get to it.
Ich werde mich darum kümmern.	I'll see to it.
So leicht gebe ich nicht auf.	I'm no quitter.
Ich bin nicht voreingenommen.	I'm not biased.
Ich bin ziemlich beschäftigt.	I'm quite busy.
Das ist von großer Bedeutung.	It means a lot.
Halte mich auf dem Laufenden.	Keep me posted.
Lass mich mich darum kümmern.	Leave it to me.
Kann ich mich hier hinsetzen?	May I sit here?
Jetzt schuldest du mir etwas.	Now you owe me.
Mache dich bereit zu sterben!	Prepare to die.
Sie ist ganz wild auf Kuchen.	She loves cake.
Singen Sie mir mal etwas vor!	Sing me a song.
Sie konnten Tom nicht leiden.	They hated Tom.
Tom kann Katzen nicht leiden.	Tom hates cats.
Tom kann Ratten nicht leiden.	Tom hates rats.
Tom ist ganz wild auf Kuchen.	Tom loves cake.
Ich soll dich von Tom grüßen.	Tom says hello.
Tom scheint verloren zu sein.	Tom seems lost.
Tom scheint gescheit zu sein.	Tom seems wise.
Tom hat mich niedergestochen.	Tom stabbed me.
Ein Spaziergang macht Freude.	Walking is fun.
Wir sind Ski fahren gegangen.	We went skiing.
Wir werden es herausbekommen.	We'll find out.
Wir sind jetzt in Sicherheit.	We're safe now.
Wer weiß sonst noch Bescheid?	Who else knows?
Sie brauchen einen Schlüssel.	You need a key.
Du scheinst bestürzt zu sein.	You seem upset.
Ihr scheint bestürzt zu sein.	You seem upset.
Rufen Sie meinen Ehemann an.	Call my husband.
Nun kommen Sie schon herein!	Come in already.
Ist Tom nach Hause gegangen?	Did Tom go home?
Ist Tom nach Hause gefahren?	Did Tom go home?
Verliere nicht die Hoffnung!	Don't lose hope.
Bist du nicht einverstanden?	Don't you agree?
Lassen Sie sich's schmecken!	Enjoy your food.
Fahr diesem Wagen hinterher.	Follow that car.
Geben Sie mir den Schlüssel.	Give me the key.
Er fühlte sich wie zu Hause.	He felt at home.
Er ließ die Hoffnung fahren.	He gave up hope.
Er hatte einen Schlaganfall.	He had a stroke.
Er schien glücklich zu sein.	He seemed happy.
Ihr Gesicht hellte sich auf.	Her face lit up.
Wie wäre es so um 12.45 Uhr?	How about 12:45?
Den Apfel habe ich gegessen.	I ate the apple.
Ich wette, das hat wehgetan.	I bet that hurt.
Ich kann jetzt nichts essen.	I can't eat now.
Ich kann das nicht erklären.	I can't explain.
Ich kann nicht zurückkehren.	I can't go back.
Ich kann es nicht riskieren.	I can't risk it.
Ich kann es nicht aufhalten.	I can't stop it.
Ich habe Tom nicht gehorcht.	I disobeyed Tom.
Ich habe es heruntergeladen.	I downloaded it.
Ich habe mein Buch gefunden.	I found my book.
Ich hatte meine Anweisungen.	I had my orders.
Ich hoffe, dass Tom gewinnt.	I hope Tom wins.
Ich habe es gerade gefunden.	I just found it.
Ich weiß, dass ich faul bin.	I know I'm lazy.
Ich weiß, dass du das weißt.	I know you know.
Ich bin jetzt hier zu Hause.	I live here now.
Ich habe meine Uhr verloren.	I lost my watch.
Die Wette habe ich verloren.	I lost that bet.
Ich habe das Spiel verloren.	I lost the game.
Ich habe die Liste verloren.	I lost the list.
Vielleicht gewinne ich noch.	I may still win.
Ich habe das selbst gesehen.	I myself saw it.
Ich brauche ein Taschentuch.	I need a tissue.
Ich muss mich konzentrieren.	I need to focus.
Ich habe Tom nie geschlagen.	I never hit Tom.
Ich habe sie wieder gesehen.	I saw her again.
Ich habe ihn wieder gesehen.	I saw him again.
Ich habe ihn zuerst gesehen.	I saw him first.
Ich habe ein Tor geschossen.	I scored a goal.
Ich habe versucht zu helfen.	I tried to help.
Ich will eine Familie haben.	I want a family.
Ich will einen Freund haben.	I want a friend.
Ich bin mit Tom mitgegangen.	I went with Tom.
Ich werde pünktlich da sein.	I'll be on time.
Ich werde einen Ford kaufen.	I'll buy a Ford.
Ich werde mein Bestes geben.	I'll do my best.
Ich bestelle etwas zu essen.	I'll order food.
Ich bin Rettungsschwimmerin.	I'm a lifeguard.
Ich bin jetzt nicht traurig.	I'm not sad now.
Ich bin immer noch benommen.	I'm still dazed.
Ich bin der Geschäftsführer.	I'm the manager.
Ich bin dein Stellvertreter.	I'm your deputy.
Es ist nicht kaputtgegangen.	It didn't break.
Es funktioniert tatsächlich.	It really works.
Es wird keine Rolle spielen.	It won't matter.
Das ist alles, was ich habe.	It's all I have.
Das ist alles, was ich will.	It's all I want.
Es ist Zeit fürs Abendessen.	It's dinnertime.
Es ist Zeit zum Mittagessen.	It's lunch time.
Es ist an der Zeit zu gehen.	It's time to go.
Machen Sie einfach Tom nach.	Just follow Tom.
Probiere es einfach mal aus!	Just try it out.
Halte uns auf dem Laufenden.	Keep us updated.
Gebt mir einen Abschiedskuß!	Kiss me goodbye.
Lassen Sie den Fernseher an!	Leave the TV on.
Lassen Sie mich Tom anrufen.	Let me call Tom.
Lass uns zuerst etwas essen!	Let's eat first.
Das Leben ist schon seltsam.	Life is strange.
Das Leben ist nicht gerecht.	Life isn't fair.
Darf ich es mal anprobieren?	May I try it on?
Jetzt bist du in Sicherheit.	Now you're safe.
Das hat sie perfekt gemacht.	She was perfect.
Die Katze ist in Sicherheit.	The cat is safe.
Sie scheren sich nicht drum.	They don't care.
Sie haben das hier gefunden.	They found this.
Sie werden schon klarkommen.	They'll be fine.
Tom biss sich auf die Lippe.	Tom bit his lip.
Tom fühlte sich unbehaglich.	Tom felt uneasy.
Tom wurde übers Ohr gehauen.	Tom got scammed.
Tom hat sie nicht mehr alle.	Tom is a psycho.
Der Tom ist auch schüchtern.	Tom is shy, too.
Tom ist selbstmordgefährdet.	Tom is suicidal.
Tom ist zu sehr beschäftigt.	Tom is too busy.
Tom schaut mit kaltem Blick.	Tom looked cold.
Tom brachte mich zum Weinen.	Tom made me cry.
Tom ist vielleicht zu Hause.	Tom may be home.
Tom sagt möglicherweise aus.	Tom may testify.
Tom brauchte etwas zu essen.	Tom needed food.
Tom schien verletzt zu sein.	Tom seemed hurt.
Tom schien verloren zu sein.	Tom seemed lost.
Tom scheint stoisch zu sein.	Tom seems stoic.
Tom meldete sich freiwillig.	Tom volunteered.
Tom wünscht sich eine Katze.	Tom wants a cat.
Tom nässte sich im Bett ein.	Tom wet the bed.
Tom wird sich nicht bewegen.	Tom won't budge.
Wir haben zusammen gegessen.	We ate together.
Wir versteckten uns vor Tom.	We hid from Tom.
Wir brachten ihn zum Weinen.	We made him cry.
Wer meldete sich freiwillig?	Who volunteered?
Du hast meinen Tag gerettet.	You made my day.
Ihr habt es mir versprochen.	You promised me.
Sie sind dabei zu entkommen.	You're escaping.
Ihr seid dabei zu entkommen.	You're escaping.
Dein Hund hat mich gebissen.	Your dog bit me.
Euer Hund hat mich gebissen.	Your dog bit me.
Dein Hosenstall steht offen.	Your fly's open.
Dir laufen die Pferde davon!	Your fly's open.
Ein Polizist wurde getötet.	A cop was killed.
Alle Hoffnung ist verloren.	All hope is gone.
Bist du gerade beschäftigt?	Are you busy now?
Frage sie nach ihrem Namen!	Ask her her name.
Frag ihn nach seinem Namen.	Ask him his name.
Fassen Sie sich bitte kurz.	Be brief, please.
Können Kaninchen schwimmen?	Can rabbits swim?
Können wir uns das leisten?	Can we afford it?
Können wir Ihnen vertrauen?	Can we trust you?
Können Sie es herausfinden?	Can you find out?
Kannst du es buchstabieren?	Can you spell it?
Der Unterricht ist zu Ende.	Classes are over.
Ist Tom allein hingegangen?	Did Tom go alone?
Hat es euch Freude gemacht?	Did you enjoy it?
Hast du es jemals versucht?	Did you ever try?
Machen Sie, was Sie wollen.	Do what you like.
Sei dir da nicht so sicher!	Don't be so sure.
Lasst euch nicht erwischen.	Don't get caught.
Lass dich nicht entmutigen.	Don't lose heart.
Zwinge mich nicht zu gehen.	Don't make me go.
Benutze nicht meinen Stift.	Don't use my pen.
Benutzt nicht meinen Stift.	Don't use my pen.
Der Sprit ist jetzt billig.	Gas is cheap now.
Geben Sie mir einen Hammer.	Give me a hammer.
Trink doch noch eine Tasse.	Have another cup.
Er ist plötzlich gestorben.	He died suddenly.
Er fiel rückwärts zu Boden.	He fell backward.
Er hat ein Geräusch gehört.	He heard a noise.
Er ist ein höflicher Junge.	He is a kind boy.
Er ist gerade heimgekommen.	He just got home.
Er trägt einen Schlafanzug.	He wears pajamas.
Hier ist meine Brieftasche.	Here's my wallet.
Hier ist dein Schreibtisch.	Here's your desk.
Wie wäre es mit einem Lied?	How about a song?
Wie geht es deinen Kindern?	How are the kids?
Wie die Zeiten sich ändern.	How times change.
Ich bin eine Frau geworden.	I became a woman.
Ich bin ängstlich geworden.	I became anxious.
Ich verbeugte mich höflich.	I bowed politely.
Ich kann euch nicht folgen.	I can follow you.
Ich kann dich nicht hassen.	I can't hate you.
Ich kann euch nicht helfen.	I can't help you.
Ich kann jetzt nicht beten.	I can't pray now.
Ich kann es nicht beweisen.	I can't prove it.
Ich kann dich nicht retten.	I can't save you.
Ich kann es nicht ertragen.	I can't stand it.
Ich kann jetzt nicht reden.	I can't talk now.
Das habe ich schon gemerkt.	I could see that.
Ich habe das nicht gekonnt.	I couldn't do it.
Ich habe es für dich getan.	I did it for you.
Ich habe Tom nicht gefragt.	I didn't ask Tom.
Ich habe sie nicht gefragt.	I didn't ask her.
Ich habe ihn nicht gefragt.	I didn't ask him.
Ich habe Tom nicht bezahlt.	I didn't pay Tom.
Ich habe Tom nicht gesehen.	I didn't see Tom.
Tom habe ich nicht gesehen.	I didn't see Tom.
Ich habe sie nicht gesehen.	I didn't see her.
Ich habe ihn nicht gesehen.	I didn't see him.
Ich habe zu viel getrunken.	I drank too much.
Hier fühle ich mich sicher.	I feel safe here.
Ich fühle mich hier sicher.	I feel safe here.
Ich bestellte Tom ein Taxi.	I got Tom a taxi.
Ich hasse die Vorschriften.	I hate the rules.
Ich habe einen großen Hund.	I have a big dog.
Ich habe eine Heckenschere.	I have a hacksaw.
Ich habe meine Anweisungen.	I have my orders.
Ich kam auf einen Gedanken.	I hit on an idea.
Ich hoffe, es geht Tom gut.	I hope Tom is OK.
Ich wurde soeben entlassen.	I just got fired.
Ich habe das Geld behalten.	I kept the money.
Die Risiken waren mir klar.	I knew the risks.
Ich weiß, dass Tom es weiß.	I know Tom knows.
Ich weiß, dass es kalt ist.	I know it's cold.
Ich wohne hier in der Nähe.	I live near here.
Ich liebe die Sternenkunde.	I love astronomy.
Ich liebe die Gartenarbeit.	I love gardening.
Ich habe es selber gemacht.	I made it myself.
Ich vermisse meine Familie.	I miss my family.
Ich brauche ein Brecheisen.	I need a crowbar.
Ich brauche ein neues Auto.	I need a new car.
Ich brauche einen Klempner.	I need a plumber.
Ich brauche eine neue Hose.	I need new pants.
Ich habe deine Hilfe nötig.	I need your help.
Ich hatte eine Pause nötig.	I needed a break.
Ich habe es Tom nie gesagt.	I never told Tom.
Ich besitze einen Computer.	I own a computer.
Ich setzte mich wieder hin.	I sat down again.
Ich habe dich weinen sehen.	I saw you crying.
Ich räumte mein Zimmer auf.	I tidied my room.
Ich gehe zu Fuß zur Schule.	I walk to school.
Ich will einen großen Hund.	I want a big dog.
Ich war nicht in der Stadt.	I wasn't in town.
Ich war nicht eifersüchtig.	I wasn't jealous.
Ich werde keine Ruhe geben.	I won't be quiet.
Ich werde das nicht kaufen.	I won't buy that.
Ich werde dir nicht helfen.	I won't help you.
Ich arbeite bei einer Bank.	I work at a bank.
Das würde ich nicht machen.	I wouldn't do it.
Ich würde mich sehr freuen.	I'd be delighted.
Ich werde Sie unterstützen.	I'll back you up.
Ich bringe Mittagessen mit.	I'll bring lunch.
Ich werde am Montag kommen.	I'll come Monday.
Ich werde nach Kioto gehen.	I'll go to Kyoto.
Ich halte jetzt die Klappe.	I'll shut up now.
Ich werde mit Tom sprechen.	I'll talk to Tom.
Ich bin der Cousin von Tom.	I'm Tom's cousin.
Ich bin ein gefragter Mann.	I'm a wanted man.
Ich bin hier, um zu helfen.	I'm here to help.
Ich stehe in deiner Schuld.	I'm in your debt.
Noch bin ich quicklebendig!	I'm not dead yet.
Ich habe immer noch Hunger.	I'm still hungry.
Jetzt bin ich sehr traurig.	I'm very sad now.
Ich habe einen Riesendurst.	I'm very thirsty.
Ich habe dir unrecht getan.	I've wronged you.
Es war eine gute Nachricht.	It was good news.
Das wird nicht leicht sein.	It won't be easy.
Es dauert nicht mehr lange.	It won't be long.
Es wird mir noch einfallen.	It'll come to me.
Es ist eine verrückte Welt.	It's a mad world.
Es ist bloß eine Erkältung.	It's just a cold.
Es ist ganz schön hässlich.	It's pretty ugly.
Er ist ganz schön hässlich.	It's pretty ugly.
Es ist so unwahrscheinlich.	It's so unlikely.
Das ist einen Versuch wert.	It's worth a try.
Mach einfach, was ich sage!	Just do as I say.
Mach dich einfach ans Werk!	Just get to work.
Lassen Sie mich nur machen.	Leave this to me.
Lassen Sie mich das regeln!	Let me handle it.
Setzen wir uns in Bewegung!	Let's get moving.
Schaut euch diesen Mann an.	Look at that man.
Vielleicht kann ich helfen.	Maybe I can help.
Meine Augen sind entzündet.	My eyes are sore.
Keines von beiden war wahr.	Neither was true.
Niemand hat mich angerufen.	Nobody called me.
Niemand brachte es mir bei.	Nobody taught me.
Niemand unterrichtete mich.	Nobody taught me.
Kein Mensch ist vollkommen.	Nobody's perfect.
Wo bin ich stehengeblieben?	Now, where was I?
Okay, lass uns jetzt gehen.	OK, let's go now.
O nein! Nicht schon wieder!	Oh no, not again!
Bitte geh näher darauf ein!	Please elaborate.
Legen Sie die Waffe nieder!	Put the gun down.
Kaninchen können schwimmen.	Rabbits can swim.
Sie ist vom Weg abgekommen.	She lost her way.
Sie brachte ihn zum Weinen.	She made him cry.
Sie kommt vielleicht nicht.	She may not come.
Vielleicht kommt sie nicht.	She may not come.
Sie hat ihn zurückgewiesen.	She rejected him.
Wollen wir’s mal versuchen?	Should we try it?
Setz dich näher zu mir hin.	Sit closer to me.
Die Größe ist doch wichtig.	Size does matter.
Bleiben Sie in Ihrem Wagen!	Stay in your car.
Unterlass die Tagträumerei!	Stop daydreaming.
Hör auf, dich einzumischen!	Stop interfering.
Das hat nicht funktioniert.	That didn't work.
Das ist einfach nur gemein.	That's just mean.
Der Mond ist untergegangen.	The moon has set.
Sie haben alle geschummelt.	They all cheated.
Sie sind sich nicht sicher.	They're not sure.
Diesmal haben wir gewonnen.	This time we won.
Dieses Oberteil ist so süß!	This top is cute.
Tom hat mit Ja geantwortet.	Tom answered yes.
Tom ging Maria aus dem Weg.	Tom avoided Mary.
Tom kaufte sich einen Hund.	Tom bought a dog.
Tom kann nicht Auto fahren.	Tom cannot drive.
Tom hat mir nicht gehorcht.	Tom disobeyed me.
Tom hat sich gut angezogen.	Tom dressed well.
Tom wandte seinen Blick ab.	Tom glanced away.
Tom kam ganz durcheinander.	Tom got confused.
Tom hat die Rolle bekommen.	Tom got the part.
Tom ist sehr dick geworden.	Tom got very fat.
Tom hat die Schule gehasst.	Tom hated school.
Tom ließ Mary links liegen.	Tom ignored Mary.
