హాయ్, మీరు ఎలా ఉన్నారు?	Hi, how are you?
రాజకీయగాళ్లు వాదిస్తారు	Politicians argue
కొత్త పథకాన్ని ప్రతిపాదించండి	Propose a new scheme
ఒక మార్గాన్ని ప్రతిపాదించండి	Propose a way
ఒక పరిష్కారాన్ని సూచించండి	Suggest a solution
మంచి పుస్తకాన్ని సూచించండి	Suggest a good book
ఇది నా దావా	This is my claim
ఆ ఆస్తిపై దావా ఉంది	There is a claim on that property
తనను రక్షించు	Defend him
తన గౌరవాన్ని రక్షించు	Defend his honor
నాకు మద్దతు ఇవ్వండి	Give me support
అందరూ మద్దతు ఇచ్చారు	Everyone gave support
అన్యాయాన్ని వ్యతిరేకించండి	Oppose the injustice
ఆ నిర్ణయాన్ని వ్యతిరేకించండి	Oppose that decision
ఇది పెద్ద సవాలు	This is a big challenge
నాకు సవాలు విసిరింది	He threw a challenge to me
నాకు చిన్న సందేహం ఉంది	I have a small doubt
అక్కడ చాలా సందేహం ఉంది	There is much doubt there
భూమిపై వివాదం ఉంది	There is a dispute over the land
కుటుంబంలో వివాదం వచ్చింది	A dispute arose in the family
ఈ మాటలు విరుద్ధంగా ఉంటాయి	These words are contradictory
ఆ విషయాలు విరుద్ధంగా ఉంటాయి	Those things are contradictory
ఆ ప్రతిపాదనను తిరస్కరించండి	Reject that proposal
అతని అభ్యర్థనను తిరస్కరించండి	Reject his request
ఆ ఆహ్వానాన్ని అంగీకరించు	Accept that invitation
నా సలహాను అంగీకరించు	Accept my advice
వారితో గుర్తించండి	Acknowledge them
అతను నిజం ఒప్పుకుంటారు	He concedes the truth
సమావేశం ముగించారు	They concluded the meeting
చర్చలు ముగించారు	They concluded the discussions
అర్థాన్ని ఊహించు	Infer the meaning
అతని చూపు సూచిస్తుంది	His look implies
ఆ మాట సూచిస్తుంది	That word implies
ఖర్చును తగ్గించు	Deduce the expense
బరువును తగ్గించు	Deduce the weight
ఆ పుస్తకాన్ని సూచించు	Allude to that book
ఆ వ్యక్తిని సూచించు	Allude to that person
ఉదాహరణతో వర్ణించండి	Illustrate with an example
చిత్రంతో వర్ణించండి	Illustrate with a picture
ఉదాహరణను ఉదహరించండి	Exemplify the example
నిజాలను ఉదహరించండి	Exemplify the truths
ఇది విస్తృతమైన అంశం	This is an elaborate topic
విస్తృతమైన పరిశోధన చేయండి	Do an elaborate research
వ్యాపారాన్ని విస్తరించండి	Expand the business
ఆ పరిధిని విస్తరించండి	Expand that range
వివరాలను ధృవీకరించండి	Verify the details
సమాచారాన్ని ధృవీకరించండి	Verify the information
తేదీని నిర్ధారించండి	Confirm the date
సమయాన్ని నిర్ధారించండి	Confirm the time
ఆ పత్రాన్ని చెల్లుబాటు చేయండి	Validate that document
టిక్కెట్‌ను చెల్లుబాటు చేయండి	Validate the ticket
ఇది చాలా ముఖ్యమైనది	This is very significant
ఆ విషయం ముఖ్యమైనది	That matter is significant
అక్కడ గణనీయమైన మార్పు ఉంది	There is a substantial change there
గణనీయమైన లాభం వచ్చింది	A substantial profit was made
అక్కడ గణనీయమైన తేడా ఉంది	There is a considerable difference there
అతనికి గణనీయమైన అనుభవం ఉంది	He has considerable experience
ఇది ఒక ఉపాంత మార్పు	This is a marginal change
ఉపాంత లాభం వచ్చింది	A marginal profit was made
మార్పు క్రమంగా జరుగుతుంది	The change happens gradually
అతను క్రమంగా నేర్చుకున్నాడు	He learned gradually
ధరలు హెచ్చుతగ్గులు ఉంటాయి	Prices will fluctuate
వాతావరణంలో హెచ్చుతగ్గులు ఉన్నాయి	There are fluctuations in the weather
మేము శిఖరం చేరుకున్నాము	We reached the peak
ఆ శిఖరం చాలా ఎత్తైనది	That peak is very high
ఆ పీఠభూమి చాలా పెద్దది	That plateau is very large
పీఠభూమి మీద గడ్డి ఉంది	There is grass on the plateau
అక్కడ భారీ తగ్గుదల ఉంది	There is a huge decline there
ధరలో తగ్గుదల వచ్చింది	There was a decline in price
ప్రస్తుత ధోరణి బాగుంది	The current trend is good
కొత్త ధోరణి వచ్చింది	A new trend has come
ధరలు పెరుగుతాయి	Prices will rise
అక్కడ సంఖ్య పెరుగుతాయి	Numbers will rise there
ఆదాయం పెరుగుతుంది	Income increases
సముద్రంలో ఉప్పెన వచ్చింది	A surge came in the sea
ఉప్పెన వల్ల నష్టం జరిగింది	Damage happened due to the surge
ఆయన పతనం తప్పదు	His fall is inevitable
ఆ కంపెనీ పతనం అయ్యింది	That company plummeted
పక్షి ఎగురుతుంది	The bird soars
విమానం ఎగురుతుంది	The plane soars
రాకెట్ ఆకాశంలోకి వెళ్ళింది	The rocket went into the sky
అది ఒక పెద్ద రాకెట్	That is a big rocket
ధరలను స్థిరీకరించు	Stabilize the prices
స్థితిని స్థిరీకరించు	Stabilize the situation
అక్కడ స్థాయి ఆఫ్ అయింది	It leveled off there
అతను స్థాయి ఆఫ్ చేశాడు	He leveled off
నీటిలో ముంచుట ప్రమాదకరం	Sinking in water is dangerous
అతను లోతుగా ముంచుట చూశాడు	He saw deep dipping
ధరలో స్పైక్ వచ్చింది	There was a spike in price
అక్కడ ఒక స్పైక్ ఉంది	There is a spike there
స్త్రీలు సంఖ్య కంటే ఎక్కువ	Women outnumber
అక్కడ సంఖ్య కంటే ఎక్కువ ఉన్నారు	There are more in number there
ఇది సరైన నిష్పత్తి	This is the correct proportion
నిష్పత్తి సరిగా లేదు	The proportion is not correct
అక్కడ పది శాతం ఉంది	There is ten percentage there
శాతం పెరిగింది	The percentage increased
పుస్తకంలో బొమ్మ ఉంది	There is a figure in the book
ఈ బొమ్మ బాగుంది	This figure is good
గణాంకాలు నిజం చెబుతాయి	Statistics tell the truth
ఇవి సరైన గణాంకాలు	These are correct statistics
ఇది ఒక పోలిక	This is a comparison
పోలిక చేయడం కష్టం	Making a comparison is difficult
అది నా అంచనా	That is my estimate
అంచనా సరిగా లేదు	The estimate is not correct
అక్కడ సుమారుగా వంద మంది ఉన్నారు	There are approximately hundred people there
దూరం సుమారుగా పది కిలోమీటర్లు	The distance is approximately ten kilometers
అక్కడ సుమారుగా పది మంది ఉన్నారు	There are roughly ten people there
సమయం సుమారుగా గంట	The time is roughly an hour
అవి పరిమితిని మించిపోతాయి	They exceed the limit
అవి గీతను మించిపోతాయి	They exceed the line
వారు బహుమతులను కలిగి ఉంటాయి	They comprise gifts
అతను దీని కోసం ఖాతా తెరిచాడు	He opened an account for this
అతను డబ్బు కోసం ఖాతా చేశాడు	He accounted for the money
మార్పు క్రమంగా వచ్చింది	The change came gradually
అతను క్రమంగా నడిచాడు	He walked gradually
అతను స్థిరంగా పని చేస్తున్నాడు	He is working steadily
స్థిరంగా ఉండటం ముఖ్యం	Staying steadily is important
ధరలు పదునుగా పెరిగాయి	Prices rose sharply
అతను పదునుగా తిరిగాడు	He turned sharply
అతని మార్పు గమనించదగినది	His change is noticeable.
అక్కడి రంగు గమనించదగినది	The color there is noticeable.
మొత్తం ధర ఎంత?	What is the total price?
మొత్తం పని పూర్తయింది	The whole work is finished.
అతను చదువుకున్నాడు కాగా ఆమె చదవలేదు	He studied whereas she did not
రాము వచ్చాడు కాగా కృష్ణుడు రాలేదు	Ramu came whereas Krishna did not
నేను వెళ్తున్నాను అయితే అతను ఉండాలి	I am going whilst he should stay
ఆమెకు తెలుసు అయితే నాకు తెలియదు	She knows whilst I do not
అది కష్టంగా ఉంది అయినప్పటికీ నేను చేశాను	It was difficult albeit I did it
అతను చిన్నవాడు అయినప్పటికీ తెలివైనవాడు	He is young albeit he is clever
వర్షం పడింది అయినప్పటికీ మేము వెళ్ళాము	It rained notwithstanding we went
ఆమెకు కోపం అయినప్పటికీ సహాయం చేసింది	She was angry notwithstanding she helped
దీని ద్వారా మనం గెలుస్తాము	We will win whereby this
దీని ద్వారా డబ్బు వస్తుంది	Money comes whereby this
అతను ఆలస్యంగా వచ్చాడు అందుకే శిక్ష పడింది	He came late hence he was punished
ఆమెకు జ్వరం అందుకే రాలేదు	She has a fever hence she didn't come
అతను చదివాడు అందువలన పాస్ అయ్యాడు	He studied thus he passed
అది నిజం అందువలన నమ్మండి	It is true thus believe it
అతను బాగా పాడాడు అదేవిధంగా డ్యాన్స్ చేశాడు	He sang well likewise he danced
ఆమెకు చిత్రలేఖనం తెలుసు అదేవిధంగా సంగీతం తెలుసు	She knows painting likewise music
అతను ఇక్కడ ఉన్నాడు అందువలన మనం వెళ్లాలి	He is here thus we must go
ఆమెకు కోపం వచ్చింది అందువలన ఊరుకుంది	She got angry thus she stayed silent
ఆమెకు ఇష్టం అదేవిధంగా అతనికి ఇష్టం	She likes it likewise he likes it
అతను వేగంగా నడిచాడు అదేవిధంగా పరిగెత్తాడు	He walked fast likewise he ran
అతను మంచివాడు దీనికి విరుద్ధంగా ఆమె చెడ్డది	He is good conversely she is bad
ఇది సరైనది నిస్సందేహంగా నిజం	This is correct arguably true
అతను గొప్ప ఆటగాడు నిస్సందేహంగా	He is a great player arguably
చాలా కష్టం అయినప్పటికీ నేను ప్రయత్నించాను	It was very hard nevertheless I tried
అతను ఓడిపోయాడు అయినప్పటికీ సంతోషంగా ఉన్నాడు	He lost nevertheless he is happy
ఆమెకు ఇష్టం లేదు అయినప్పటికీ వచ్చింది	She didn't like it nonetheless she came
అతను అలసిపోయాడు అయినప్పటికీ పని చేశాడు	He was tired nonetheless he worked
అతను తెలివైనవాడు పైగా వినయస్థుడు	He is clever moreover he is humble
ఆమెకు వంట తెలుసు పైగా కుట్టు పని తెలుసు	She knows cooking moreover sewing
అతను చదువుకున్నాడు అందువలన ఉద్యోగం వచ్చింది	He studied therefore he got a job
ఆమెకు జ్వరం అందువలన రాలేదు	She has a fever therefore she didn't come
అతను అబద్ధం చెప్పాడు తత్ఫలితంగా అందరూ తిట్టారు	He lied consequently everyone scolded him
వర్షం పడింది తత్ఫలితంగా రోడ్లన్నీ నీటితో నిండాయి	It rained consequently the roads filled with water
అతను చెప్పారు తదనుగుణంగా నేను చేశాను	He told me accordingly I did it
ఆమె ఆదేశాల ప్రకారం తదనుగుణంగా నడచుకోము	We behave accordingly as per her orders
ఆమెకు కోపం వచ్చింది అదేవిధంగా అతనికి కూడా	She got angry similarly he did too
అతను రాశాడు అదేవిధంగా ఆమె రాసింది	He wrote similarly she wrote
అతను సమానంగా పంచుకున్నాడు	He shared equally
మీరు ఇద్దరూ సమానంగా ఉండాలి	You both should be equally
అతను ధనవంతుడు విరుద్ధంగా ఆమె పేదది	He is rich in contrast she is poor
పగలు వేడి విరుద్ధంగా రాత్రి చల్లనిది	Day is hot in contrast night is cold
అతను అవునన్నాడు విరుద్దంగా ఆమె కాదన్నది	He said yes on the contrary she said no
అది నిజం విరుద్దంగా అబద్ధం కాదు	It is true on the contrary not a lie
అతను మంచివాడు మరోవైపు ఆమె చెడ్డది	He is good on the other hand she is bad
నేను వెళ్తాను మరోవైపు నువ్వు రావచ్చు	I will go on the other hand you may come
అతను చదవలేదు ఫలితంగా ఫెయిల్ అయ్యాడు	He didn't study as a result
ఉదాహరణకు ఒక పండు తీసుకోండి	For instance, take a fruit
ఉదాహరణకు మీరు దీన్ని చూడండి	For instance, you look at this
ఉదాహరణకు ఆమె ఒక కథ చెప్పింది	For example, she told a story
ఉదాహరణకు ఇక్కడ ఒక పుస్తకం ఉంది	For example, there is a book here
అదనంగా నాకు ఇంకొకటి కావాలి	In addition, I want one more
అదనంగా మీరు సహాయం చేయండి	In addition, please help
ప్రారంభించడానికి మనం ఇక్కడికి రాము	To begin with, let us come here
ప్రారంభించడానికి ఒక పాట పాడండి	To begin with, sing a song
సంగ్రహించడానికి మీరు ప్రయత్నించండి	To sum up, you try
సంగ్రహించడానికి సమయం లేదు	To sum up, there is no time
ముగింపులో అందరూ చప్పట్లు కొట్టారు	In conclusion, everyone clapped
ముగింపులో అతను నిజం చెప్పాడు	In conclusion, he told the truth
అతను తన తప్పు ఒప్పుకున్నాడు	Admittedly, he admitted his mistake
అతను నిజంగా ఒప్పుకున్నాడు	Admittedly, he admitted
ఇది కాదనలేని విధంగా నిజం	Undeniably, this is true
ఆమె అందం కాదనలేని విధంగా ఉంది	Undeniably, her beauty is there
అది అకారణంగా వింతగా ఉంది	Seemingly, it is strangely weird
బహుశా రేపు వర్షం పడవచ్చు	Presumably, it might rain tomorrow
బహుశా అతను రేపు రావచ్చు	Presumably, he might come tomorrow
దయచేసి దీన్ని విశదీకరించు	Please elucidate this.
అతను విషయాన్ని విశదీకరించు	He elucidates the matter.
అతను నిజాలను ధృవీకరించు	He corroborates the facts.
నేను సమాచారాన్ని ధృవీకరించు	I corroborate the information.
డేట నుండి ఎక్స్ట్రాపోలేట్ చేయండి	Extrapolate from the data.
అతను ఫలితాలను ఎక్స్ట్రాపోలేట్ చేస్తాడు	He extrapolates the results.
రసాయనాల సంశ్లేషణ జరిగింది	The synthesis of chemicals happened.
వివిధ అంశాల సంశ్లేషణ అవసరం	Synthesis of various points is needed.
మీకు వివరాలను వివరించండి	Delineate the details to you.
సమస్యలను స్పష్టంగా వివరించండి	Delineate the problems clearly.
పొటాషియం అవక్షేపం ఏర్పడింది	Potassium precipitate formed.
పొడి రూపంలో అవక్షేపం ఉంది	The precipitate is in powder form.
నొప్పిని తగ్గించు	Mitigate the pain.
నష్టాన్ని తగ్గించు	Mitigate the loss.
వనరులు సమస్యను తీవ్రతరం చేస్తాయి	Resources exacerbate the problem.
తప్పులు పరిస్థితిని తీవ్రతరం చేస్తాయి	Mistakes exacerbate the situation.
వివరాలను నిర్ధారించండి	Ascertain the details.
నిజానిజాలను నిర్ధారించండి	Ascertain the truth.
కొత్త సిద్ధాంతాన్ని ప్రతిపాదించు	Postulate a new theory.
అతను ఒక ఆలోచనను ప్రతిపాదిస్తాడు	He postulates an idea.
న్యాయమూర్తి తీర్పు ఇచ్చారు	The judge gave the verdict.
అతను గొప్ప న్యాయమూర్తి	He is a great judge.
రెండు కంపెనీల సమ్మేళనం జరిగింది	The amalgamation of two companies happened.
లోహాల సమ్మేళనం కఠినంగా ఉంది	The amalgam of metals is hard.
ఇది ఒక ఉత్ప్రేరకము	This is a catalyst.
ఉత్ప్రేరకము చర్యను వేగవంతం చేస్తుంది	The catalyst speeds up the reaction.
అతను సమస్యను తప్పించుకొనుట ప్రయత్నించాడు	He tried to circumvent the problem.
కఠినమైన నియమాలను తప్పించుకొనుట కష్టం	It is hard to circumvent strict rules.
రెండు రంగులు కలుస్తాయి	Two colors conflate.
అన్ని భావాలు కలుస్తాయి	All emotions conflate.
వారు మాటలను అర్థం చేసుకుంటాయి	They construe the words.
వారు సంకేతాలను అర్థం చేసుకుంటాయి	They construe the signals.
అతను రహస్య కోడ్ అర్థాన్ని విడదీసేవాడు	He is the one who deciphers the secret code.
అతను ప్రాచీన లిపి అర్థాన్ని విడదీసేవాడు	He is the one who deciphers the ancient script.
పత్రాన్ని నిశితంగా పరిశీలించండి	Scrutinize the document.
ఆ ఆధారాలను నిశితంగా పరిశీలించండి	Scrutinize those evidences.
అతని ప్రవర్తనను ఖండించండి	Denounce his behavior.
అన్యాయాన్ని ఖండించండి	Denounce the injustice.
అతని పాత పద్ధతులను తిరస్కరించు	Deprecate his old methods.
అనవసరమైన ఖర్చులను తిరస్కరించు	Deprecate unnecessary expenses.
అతనికి అవమానం జరిగింది	He faced humiliation.
అది పెద్ద అవమానం	That is a big humiliation.
సమాచార వ్యాప్తి వేగంగా ఉంది	The dissemination of information is fast.
వ్యాప్తి చెందిన వార్త నిజం	The disseminated news is true.
విషయాన్ని చిన్నగా కప్పి ఉంచు	Encapsulate the matter small.
ముఖ్య అంశాలను కప్పి ఉంచు	Encapsulate the main points.
వస్తువులను ఒక్కొక్కటిగా లెక్కించు	Enumerate the objects one by one.
పేర్లను లెక్కించు	Enumerate the names.
చెడు అలవాట్లను విడిచిపెట్టు	Eschew bad habits.
అబద్ధాలను విడిచిపెట్టు	Eschew lies.
పనిని వేగవంతం చేయండి	Expedite the work.
ప్రక్రియను వేగవంతం చేయండి	Expedite the process.
విషయం లోతుగా అర్థం చేసుకున్నాడు	He understood the matter deeply.
అతను కేసులో చిక్కుముడి పడ్డాడు	He got implicated in the case.
ఈ చిక్కుముడి విప్పాలి	This complication must be solved.
రెండు చిత్రాలను జతపరచు	Juxtapose two pictures
వస్తువులను సరిగ్గా జతపరచు	Juxtapose the objects correctly
దీన్ని చట్టబద్ధం చేయండి	Legitimize this
పద్ధతిని చట్టబద్ధం చేయండి	Legitimize the method
ఆ జ్ఞాపకం శాశ్వతం	That memory is perpetual
ప్రేమ ఎప్పుడూ శాశ్వతం	Love is always perpetual
అవరోధాలను నిరోధించు	Preclude the obstacles
తప్పులను నిరోధించు	Preclude the mistakes
ఒకసారి పునరుద్ఘాటించు	Reiterate once
నిజాలను పునరుద్ఘాటించు	Reiterate the truths
ఒక షరతు పెట్టండి	Stipulate a condition
కొత్త షరతు పెట్టండి	Stipulate a new condition
అతను నిజం ఊహించు	He surmise the truth
కాలాన్ని ఊహించు	Surmise the time
కష్టాలను అధిగమిస్తాయి	They transcend hardships
అందరినీ అధిగమిస్తాయి	They transcend everyone
పేరు కింద అండర్ స్కోర్	Under score below the name
పదాన్ని అండర్ స్కోర్	Under score the word
దారాన్ని విప్పు	Unravel the thread
పజిల్‌ను విప్పు	Unravel the puzzle
అతన్ని దూషించు	Vilify him
అబద్ధాలను దూషించు	Vilify the lies
నిజాయితీని సమర్థించు	Vindicate the honesty
అధికారం ఒక రెండంచుల కత్తి	Power is a double-edged sword
ఈ నిర్ణయం ఒక రెండంచుల కత్తి	This decision is a double-edged sword
విషయం యొక్క ముఖ్యాంశం ఇది కాదు	This is not the crux of the matter
అతను విషయం యొక్క ముఖ్యాంశం చెప్పాడు	He told the crux of the matter
అది ఒక ముఖ్యమైన అంశం	That is a moot point
మనం ఒక ముఖ్యమైన అంశం చర్చించాలి	We must discuss a moot point
దీర్ఘకాలంలో ఇది మంచిది	In the long run this is good
దీర్ఘకాలంలో లాభం ఉంటుంది	There will be profit in the long run
కొత్త వెలుగులో విషయాలు మారాయి	Things changed in light of the new
అతను వెలుగులో నిజం చెప్పాడు	He told the truth in light of it
అదే టోకెన్ ద్వారా సాధ్యమవుతుంది	It is possible by the same token
అదే టోకెన్ ద్వారా మనం గెలుస్తాము	We win by the same token
అతను ఖర్చుతో విజయం సాధించాడు	He achieved success at the expense of
నా ఖర్చుతో ఇది జరిగింది	This happened at my expense of
అతను నీలం నుండి వచ్చాడు	He came out of the blue
ఆ వార్త నీలం నుండి వచ్చింది	That news came out of the blue
ఒక చిటికెడు ఉప్పుతో తినండి	Eat it with a pinch of salt
అతను ఒక చిటికెడు ఉప్పుతో చెప్పాడు	He said it with a pinch of salt
అతను అంచున ఉన్నాడు	He is on the verge of
ఆ నగరం అంచున ఉంది	That city is on the verge of
అతను డెవిల్స్ అడ్వకేట్ ఆడటానికి ఇష్టపడ్డాడు	He liked to play devil's advocate
మనం డెవిల్స్ అడ్వకేట్ ఆడటానికి సిద్ధంగా ఉన్నాము	We are ready to play devil's advocate
మనం ఒకే పేజీలో ఉండాలి	We must be on the same page
మీరు ఒకే పేజీలో ఉండాలి	You must be on the same page
బుల్లెట్ కాటు వేయడానికి సమయం వచ్చింది	Time to bite the bullet
అతను బుల్లెట్ కాటు వేయడానికి నిర్ణయించుకున్నాడు	He decided to bite the bullet
అతను అర్ధరాత్రి నూనె కాల్చడానికి కష్టపడ్డాడు	He worked hard to burn the midnight oil
పరీక్ష కోసం అర్ధరాత్రి నూనె కాల్చడానికి సిద్ధంగా ఉండు	Be ready to burn the midnight oil for exams
గీతను గీయడానికి సమయం అయింది	Time to draw the line
మనం గీతను గీయడానికి నిర్ణయించుకున్నాము	We decided to draw the line
పిల్లలపై ఒక కన్ను వేసి ఉంచడానికి ప్రయత్నించు	Try to keep an eye on children
అతను ఒక కన్ను వేసి ఉంచడానికి చూస్తున్నాడు	He is trying to keep an eye on
సంచిలో నుండి పిల్లిని బయటకు పంపడానికి ప్రయత్నించు	Try to let the cat out of the bag
అతను సంచిలో నుండి పిల్లిని బయటకు పంపడానికి కారణమయ్యాడు	He caused to let the cat out of the bag
దానిని సహజంగా తీసుకోవడానికి వీలు లేదు	No way to take it for granted
మీరు దానిని సహజంగా తీసుకోవడానికి అలవాటు పడ్డారు	You are used to take it for granted
అతను కన్నుమూయడానికి నిర్ణయించుకున్నాడు	He decided to turn a blind eye
నేను కన్నుమూయడానికి సిద్ధంగా లేను	I am not ready to turn a blind eye
మీరు సన్నని మంచు మీద ఉండాలి	You must be on thin ice
అతను సన్నని మంచు మీద ఉండాలి అని భావించాడు	He felt he must be on thin thin ice
ఇది ఒక చేయి మరియు కాలు ఖర్చు	This is a cost of an arm and a leg
ఆ కారు ఒక చేయి మరియు కాలు ఖర్చు	That car is a cost of an arm and a leg
హృదయ మార్పు కలిగి ఉండాలి అని కోరుకుంటున్నాను	I wish to have a change of heart
అతను హృదయ మార్పు కలిగి ఉండాలి అని చెప్పారు	They said he must have a change of heart
అతను చంద్రునిపై ఉండాలి అని అనుకున్నాడు	He thought he must be over the moon
చంద్రునిపై ఉండాలి అని నాకు అనిపించింది	I felt I must be over the moon
కంటికి కన్ను చూడటానికి ప్రయత్నించాము	We tried to see eye to eye
మనం కంటికి కన్ను చూడటానికి సిద్ధంగా ఉన్నాము	We are ready to see eye to
కంచె మీద కూర్చోవడానికి అతనికి ఇష్టం లేదు	He doesn't like to sit on the fence.
కంచె మీద కూర్చోవడానికి ప్రయత్నించకు	Don't try to sit on the fence.
బీన్స్ చిందించడానికి ఆమె వచ్చింది	She came to spill the beans.
బీన్స్ చిందించడానికి సిద్ధంగా ఉండండి	Be ready to spill the beans.
వాతావరణం కింద ఉండాలి అని అనుకున్నాను	I thought I should be under the weather.
మీరు వాతావరణం కింద ఉండాలి అని చెప్పారు	You said you should be under the weather.
మంచును విచ్ఛిన్నం చేయడానికి జోక్ చెప్పారు	He told a joke to break the ice.
మంచును విచ్ఛిన్నం చేయడానికి ప్రయత్నించండి	Try to break the ice.
తలపై గోరు కొట్టడానికి అతను వచ్చాడు	He came to hit the nail on the head.
తలపై గోరు కొట్టడానికి సమయం అయింది	It is time to hit the nail on the head.
ఒకరి కాలు లాగడానికి అతనికి అలవాటు ఉంది	He has a habit of pulling someone's leg.
ఒకరి కాలు లాగడానికి ప్రయత్నించద్దు	Do not try to pull someone's leg.
ముగింపులో కథాంశం బాగుంది	In conclusion the story plot is good
మీరు దీన్ని సంగ్రహించడానికి ప్రయత్నించండి	You try to sum this up
సంతులనం మీద దృష్టి పెట్టండి	Focus on the balance
సంతులనం మీద ఆధారపడి ఉంటుంది	It depends on the balance
సారాంశంలో ఇది సరైనది	In essence this is correct
సారాంశంలో విషయం చిన్నది	In essence the matter is small
అదనంగా నాకు డబ్బు కావాలి	In addition I need money
అదనంగా ఒక పుస్తకం తెచ్చాను	In addition I brought a book
విరుద్ధంగా ఆమె చాలా నెమ్మదిగా ఉంది	In contrast she is very slow
విరుద్ధంగా ఫలితాలు వచ్చాయి	In contrast the results came
విరుద్దంగా అతను ఒప్పుకున్నాడు	On the contrary he agreed
విరుద్దంగా ఆమె నవ్వింది	On the contrary she laughed
ఇతర మాటలలో ఇది కష్టం	In other words this is difficult
ఇతర మాటలలో చెప్పండి	Tell it in other words
ఉదాహరణకు ఈ పండు చూడండి	For instance look at this fruit
ఉదాహరణకు ఒక కథ చెప్పండి	For instance tell a story
ఫలితంగా వర్షం పడింది	As a result it rained
ఫలితంగా అతను గెలిచాడు	As a result he won
మొదటి స్థానంలో అతను ఉన్నాడు	He is in the first place
మొదటి స్థానంలో ఉండటం గర్వంగా ఉంది	It is proud to be in the first place
ప్రారంభించడానికి సిద్ధంగా ఉన్నారా	Are you ready to begin with
మనం ఇక్కడి నుండి ప్రారంభించడానికి సిద్ధం	We are ready to begin with from here
రెండవ స్థానంలో ఉంది మీ పేరు	Your name is in the second place
ఆమె రెండవ స్థానంలో ఉంది	She is in the second place
చివరగా ఒక మాట చెప్పండి	Lastly say one word
చివరగా అతను వచ్చాడు	Lastly he came
చివరకు నిజం తెలిసింది	Finally the truth was known
చివరకు అందరూ కలిశారు	Finally everyone met
ముందుగా మీరు రండి	Firstly you come
ముందుగా పని పూర్తి చేయండి	Firstly complete the work
రెండవది మీ పేరు చెప్పండి	Secondly tell your name
రెండవది ఈ పుస్తకం చదవండి	Secondly read this book
మూడవది అతను మాట్లాడాడు	Thirdly he spoke
మూడవది ఇది చూడండి	Thirdly look at this
క్రమంగా అందరూ వచ్చారు	In turn everyone came
క్రమంగా పని పూర్తయ్యింది	In turn the work was completed
దీనికి విరుద్ధంగా అది ఉంది	By contrast that is there
దీనికి విరుద్ధంగా ఇది చిన్నది	By contrast this is small
పోల్చి చూస్తే ఇది బాగుంది	In comparison this is good
పోల్చి చూస్తే ఆమె తెలివైనది	In comparison she is clever
ఒకవైపు లాభం ఉంది	On the one hand there is profit
ఒకవైపు అందం ఉంది	On the one hand there is beauty
మరోవైపు నష్టం ఉంది	On the other hand there is loss
మరోవైపు ఆమె బాధపడింది	On the other hand she felt sad
కాకుండా నిజం చెప్పండి	Rather tell the truth
కాకుండా ఇక్కడికి రండి	Rather come here
బదులుగా కాఫీ తాగండి	Instead drink coffee
బదులుగా మీరు రండి	Instead you come
ప్రత్యామ్నాయంగా దీనిని వాడండి	Alternatively use this
ప్రత్యామ్నాయంగా అక్కడ చూడండి	Alternatively look there
అందువలన మేము వెళ్తున్నాము	Therefore we are going
అందువలన అతను బాధపడ్డాడు	Therefore he felt sad
తత్ఫలితంగా సమస్య పెరిగింది	Consequently the problem increased
తత్ఫలితంగా అతను ఓడిపోయాడు	Consequently he lost
అందువలన ఇది జరిగింది	Thus this happened
అందువలన మీరు గెలిచారు	Thus you won
అందుకే నాకు కోపం వచ్చింది	Hence I got angry
అందుకే ఆమె రాలేదు	Hence she did not come
తద్వారా అతను గెలిచాడు	Thereby he won
తద్వారా పని పూర్తయ్యింది	Thereby the work was completed
ఆ తర్వాత మనం వెళ్దాం	Thereafter we will go
ఆ తర్వాత అతను వచ్చాడు	Thereafter he came
ఆ తరువాత ఆమె మాట్లాడింది	Thereupon she spoke
ఆ తరువాత వారు వెళ్ళారు	Thereupon they left
ముఖ్యంగా ఇది గుర్తుంచుకోండి	Notably remember this
ముఖ్యంగా ఆమెకు తెలుసు	Notably she knows
ఆమె సమాధానం నిస్సందేహంగా ఉంది	Her answer is unequivocal.
ఇది నిస్సందేహంగా నిజం	This is unequivocally true.
అది తిరస్కరించలేని సాక్ష్యం	That is irrefutable evidence.
ఆమె వాదన తిరస్కరించలేనిది	Her argument is irrefutable.
అది పల్చని దారం	That is a tenuous thread.
వారి సంబంధం చాలా పల్చనిది	Their relationship is very tenuous.
ఇవి ముఖ్యమైన అంశాలు	These are salient points.
ముఖ్యమైన విషయాలను గమనించండి	Notice the salient points.
అది స్వాభావికమైనది గుణం	That is an inherent quality.
ప్రతి వ్యక్తికి స్వాభావికమైనది శక్తి ఉంది	Every person has inherent power.
దేవుడు సర్వవ్యాప్తి అని నమ్ముతారు	They believe God is ubiquitous.
గాలి సర్వవ్యాప్తి గా ఉంటుంది	Air is ubiquitous.
ఇది కీలకమైన నిర్ణయం	This is a pivotal decision.
ఆమె పాత్ర కీలకమైనది	Her role is pivotal.
ఆరోగ్యమే ప్రధానమైనది	Health is paramount.
విజయం కోసం క్రమశిక్షణ ప్రధానమైనది	Discipline is paramount for success.
అక్కడ అతితక్కువ అవకాశం ఉంది	There is a negligible chance there.
ఆ నష్టం అతితక్కువ	That loss is negligible.
ఆ మార్గం ఆచరణీయమైనది	That path is viable.
అతను తెలివిగల నాయకుడు	He is an astute leader.
ఆమె చాలా తెలివిగల వ్యక్తి	She is a very astute person.
