#NAME?	#NAME؟
(1) (Japanese) maple	(1) (جاپانی) میپل
korekara mo yoroshiku onegai shimasu.	korekara mo yoroshiku onegai shimasu.
kotae ga wakarimasu.	kotae ga wakarimasu.
kotchi e kite kudasai	kotchi e kite kudasai
koucha ni satou wo iremasu.	koucha ni satou wo iremasu.
koucha wa aji ga ii desu.	کوچہ وا اجی گا آئی ڈیسو۔
koucha wo ippai kudasai.	koucha wo ippai kudasai.
kouen de asobimasu	kouen de asobimasu
kouen de asobimasu.	kouen de asobimasu.
kouen de sakkaa wo shimasu	kouen de sakkaa wo shimasu
kouen ni ki ga takusan arimasu.	kouen ni ki ga takusan arimasu.
kouen ni kodomo ga imasu	kouen ni kodomo ga imasu
kouen ni kodomo ga nannin imasu ka	kouen ni kodomo ga nanin imasu ka
kouen no kusa wa midori desu.	کوئن کوئی کوسا وا مڈوری دیسو۔
kouen wo sanpo shimasu.	کوئن وو سانپو شیماسو۔
koujou de hataraku hito ga ooi desu	koujou de hataraku hito ga ooi desu
koukan suru	کوکان سورو
kousoku douro	کوسوکو ڈورو
kowai desu.	kowai desu.
kowasanaide kudasai	kowasanaide kudasai
kuchi no naka ni ame ga arimasu.	کچھی کوئی ناکا نی ہم گا ارماسو۔
kuchi wo akete kudasai.	کچھی وو اکتے کداسائی۔
kuchi wo susugimasu.	kuchi wo susugimasu.
kudamono ga suki desu.	kudamono ga suki desu.
kugatsu juugonichi desu.	kugatsu juugonichi desu.
kuji kara desu.	kuji kara desu.
kuji kara goji made	kuji kara goji بنایا
kuji kara goji made desu.	kuji kara goji بنایا desu.
kuji ni okimasu	کوجی نی اوکیماسو
kuma wa doubutsuen ni imasu.	kuma wa doubutsuen ni imasu.
kuma wa hachimitsu ga suki desu.	kuma wa hachimitsu ga suki desu.
kumori desu.	kumori desu.
kuni e kaerimasu	kuni e kaerimasu
kurasu de ichiban se ga takai no wa dare desu ka	kurasu de Ichiban se ga takai no wa dare desu ka
kurejitto kaado	kurejitto kaado
kurejitto kaado wa tsukaemasu ka.	kurejitto kaado wa tsukaemasu ka.
kurisumasu wa dou deshita ka.	kurisumasu wa dou deshita ka.
kuroi kaban wo motte imasu.	kuroi kaban wo motte imasu.
kuruma de ikimasu.	kuruma de ikimasu.
kuruma o ichidai mochitai desu	kuruma o ichidai mochitai desu
kuruma wa jitensha yori hayai desu	کروما وا جیتنشا یوری ہائے دیسو
kuruma wo koko ni tomete ii desu ka.	کوروما وو کوکو نی ٹومیٹے آئی ڈیسو کا۔
kuruma wo unten shimasu.	kuruma wo unten shimasu.
kusa ga nobimashita.	kusa ga nobimashita.
kusa no ue ni suwarimasu.	kusa no ue ni suwarimasu.
kusuri ga kikimasen.	kusuri ga kikimasen.
kusuri wo nonde kudasai.	کسوری وو نونڈے قدسائی۔
kusuriya wa doko desu ka.	کسوریا وا دوکو دیسو کا۔
kutsu o issoku kudasai	kutsu o issoku kudasai
kutsu o nugimasu	kutsu یا nugimasu
kutsu to boushi o erabimasu	کٹسو سے بوشی یا ایرابیماسو
kutsu wo hakimasu.	kutsu wo hakimasu.
kutsu wo nugimasu.	kutsu wo nugimasu.
kutsushita o nisoku kaimashita	kutsushita o nisoku kaimashita
kutsuya de kutsu o kaimasu	kutsuya de kutsu o kaimasu
kuukou e mukatte imasu	kuukou e mukatte imasu
kuukou made takushii de ikimasu.	kuukou نے takushii de ikimasu بنایا۔
kuukou made takushii wo onegaishimasu.	kuukou نے takushii wo onegaishimasu کو بنایا۔
kuukou ni hikouki ga tsukimashita.	kuukou ni hikouki ga tsukimashita.
kuukou ni tsukimashita	kuukou ni tsukimashita
kuukou wa tooi desu.	kuukou wa toi desu.
kuuzen zetsugo	kuuzen Zetsugo
kyonen ni kekkon shimashita	کیونن نی کیکون شیماشیتا
kyou no kion wa nando desu ka.	کیو کوئی کیون وا نندو دیسو کا۔
kyou no tenki wa ii desu	kyou no tenki wa ii desu
kyou no tenki wa ii desu ne	kyou no tenki wa ii desu ne
kyou wa ame desu	kyou wa ame desu
kyou wa ame desu.	kyou wa ame desu.
kyou wa atsui desu ne.	kyou wa atsui desu ne.
kyou wa atsui desu.	kyou wa atsui desu.
kyou wa hare desu	kyou wa har desu
kyou wa hare desu.	kyou wa har desu.
kyou wa hatarakimasen	kyou wa hatarakimasen
kyou wa ii tenki desu ne.	kyou wa ii tenki desu ne.
kyou wa ii tenki desu.	kyou wa ii tenki desu.
kyou wa isogashii desu.	kyou wa isogashii desu.
kyou wa kaimono ni ikimasu.	kyou wa kaimono ni ikimasu.
kyou wa kaze ga fuite imasu.	kyou wa kaze ga fuite imasu.
kyou wa kinou yori isogashii desu	kyou wa kinou yori isogashii desu
kyou wa kinou yori samui desu	kyou wa kinou yori samui desu
kyou wa koko de owarimashou	kyou wa koko de owarimashou
kyou wa nan youbi desu ka.	کیو وا نان یوبی دیسو کا۔
kyou wa nan'youbi desu ka.	kyou wa Nan'youbi desu ka.
kyou wa nangatsu desu ka.	kyou wa nangatsu desu ka.
kyou wa nani wo shimasu ka.	کیو وا نانی وو شیماسو کا۔
kyou wa nannichi desu ka	kyou wa Nannichi desu ka
kyou wa nanyoubi desu ka	kyou wa Nanyoubi desu ka
kyou wa neru tsumori desu	کیو وا نیرو سونموری دیسو
kyou wa samui desu.	kyou wa samui desu.
kyou wa shigoto ga yasumi desu.	کیو وا شیگوتو گا یاسومی ڈیسو۔
kyou wa shigoto ni ikanakute mo ii desu	kyou wa shigoto ni ikanakute mo ii desu
kyou wa sugoku atsui desu ne.	kyou wa sugoku atsui desu ne.
kyou wa tanoshikatta desu.	kyou wa tanoshikatta desu.
kyou wa tsukaremashita.	kyou wa tsukaremashita.
kyou wa tsukareta desu	kyou wa tsukareta desu
kyou wa tsukarete imasen	kyou wa tsukarete imasen
kyou wa ureshii desu.	kyou wa ureshii desu.
kyou wa warui tenki desu.	kyou wa warui tenki desu.
kyou wa yasunde kudasai.	کیو وا یاسندے قدسائی۔
kyoumi ga aru	kyoumi ga aru
kyoushuku desu	کیوشوکو ڈیسو
kyouto ni sunde imasu	kyouto ni sunde imasu
kyuu;ku	kyuu;ku
kyuuka shinseisho	kyuuka shinseisho
kyuukyuusha wo yonde kudasai.	kyuukyuusha wo yonde kudasai.
kyuuryou wa ikura desu ka.	kyuuryou wa ikura desu ka.
linking verb	لنک کرنے والا فعل
machi e kaimono ni ikimasu	machi e kaimono ni ikimasu
machigaete shimatta	machigaete shimatta
mada mita koto ga arimasen	mada mita koto ga arimasen
mada tabete imasen	mada tabete imasen
mada tabete imasen.	mada tabete imasen.
mado ga aite imasu	mado ga aite imasu
mado o akemasen	mado o akemasen
mado o akemashou ka	mado o akemashou ka
mado o akemasu	mado یا akemasu
mado o akete kudasai	mado o akete kudasai
mado wo akeru	mado wo akeru
mae e susumimasu	mae e susumimasu
mae ni	mae ni
maiasa hayaku okimashita	maiasa hayaku okimashita
maiasa koohii o nonde imasu	maiasa koohii o node imasu
maiasa no sanpo ga suki desu	maiasa no sanpo ga suki desu
maiban osoku made hataraku bakari ka, shuumatsu mo kinmu shimasu	Maiban osoku made hataraku bakari ka, shuumatsu mo kinmu shimasu
maiku ja nai desu	maiku ja nai desu
mainichi densha de kayoimasu.	mainichi densha de kayoimasu.
mainichi hachiji ni nemasu	مینیچی ہاچیجی نی نیماسو
mainichi kudamono wo tabemasu.	مینیچی کدامونو وو تبیماسو۔
mainichi nanji ni nemasu ka.	مینیچی نانجی نی نیماسو کا۔
mainichi nihongo o benkyou shite imasu	مینیچی نیہونگو او بینکیو شائٹ اماسو
mainichi nihongo wo benkyou suru koto ni shite imasu	مینیچی نیہونگو وو بینکیو سورو کوٹو نی شیٹے امامو
mainichi ocha wo nomimasu.	مینیچی اوچا وو نومیماسو۔
mainichi renshuu shinakute mo ii desu	مینیچی رینشو شیناکوٹے مو آئی ڈیسو
mainichi sanpo o shimasu	مینیچی سانپو اے شیماسو
mainichi sanpo shimasu.	مینیچی سانپو شیماسو۔
mainichi suupaa ni ikimasu.	mainichi suupaa ni ikimasu.
mainichi undou shimasen	مینیچی انڈو شیماسن
mainichi undou shimasu	مینیچی انڈو شیماسو
mainichi undou shite imasu	مینیچی انڈو شیٹ آئماسو
mainichi undou suru you ni shite imasu	مینیچی انڈو سورو یو نی شیٹے امامو
maitsuki ikura tsukaimasu ka.	maitsuki ikura tsukaimasu ka.
makoto ni	makoto ni
manjou itchi	منجو خارش
massugu itte kudasai.	massugu itte kudasai.
mata aimashou	ماتا ایماشو
mata ashita	ماتا اشیتا
mata ashita ne	mata ashita ne
mata ashita.	ماتا اشیتا
mata denwa shimasu.	ماتا دینوا شیماسو۔
mata kite kudasai	ماتا پتنگ کداسائی
mata ne	mata ne
mata raishuu.	mata raishuu.
matte kudasai	دھندلا kudasai
may / might — possibility	ہو سکتا ہے - امکان
mazui to omoimasen ka.	mazui to omoimasen ka.
me ga tsukaremashita.	me ga tsukaremashita.
me wo tojite kudasai.	می وو توجیتے کداسائی۔
meeru ga kimashita.	میرو گا کماشیتا
meeru o okutte kudasai	meeru o okutte kudasai
meeru wo okuru	میرو وو اوکورو
meeru wo okutte kudasai.	میرو وو اوکٹے قدسائی۔
menyuu o kudasai	menyuu o kudasai
menyuu o misete kudasai	menyuu o misete kudasai
menyuu wo misete kudasai.	menyuu wo misete kudasai.
merii kurisumasu	merii kurisumasu
messeiji wo nokoshimashita.	میسیجی وو نوکوشیماشیتا۔
metta ni	metta ni
mezamashi wo kakemashita.	mezamashi wo kakemashita.
michi wo kiku	michi wo kiku
midorii yama ga kirei desu.	midorii yama ga kirei desu.
miemasu ka	miemasu ka
migi e magarimasu	migi e magarimasu
migi ni magatte kudasai.	مگی نی ماگتے کداسائی۔
migi to hidari, dochira desu ka	مگی سے حیدری، دوچیرا دیسو کا
mijikai shi wo kakimashita.	mijikai shi wo kakimashita.
mikan no jyuusu wo kudasai.	mikan no jyuusu wo kudasai.
mikan wa suppai desu.	mikan wa suppai desu.
mikan wo mukimasu.	mikan wo mukimasu.
mimi de oto wo kikimasu.	mimi de oto wo kikimasu.
mimi ga itai desu.	mimi ga itai desu.
mimi wo araimasu.	mimi wo araimasu.
minna de kanpai shimashou!	مننا دے کانپائی شیماشو!
minna de tabetai desu	minna de tabetai desu
mireba, wakarimasu	mireba، wakarimasu
miruku wa shiroi desu.	میروکو و شیروئی دیسو۔
miruku wo koohii ni iremasu.	miruku wo koohii ni iremasu.
mise no hito ga shinsetsu deshita.	mise no hito ga shinsetsu deshita.
mise wa nanji ni akimasu ka.	مس و نانجی نی اکیماسو کا۔
mittsu no ringo ga arimasu.	mittsu no ringo ga arimasu.
mizu ga hoshii desu	mizu ga hoshii desu
mizu ga nomitai desu	mizu ga nomitai desu
mizu o ippai kudasai	mizu o ippai kudasai
mizu o kudasai	mizu o kudasai
mizu o nonde, yasumimashita	mizu o node, yasumimashita
mizu wa nodo ga kawaita toki ni nomimasu.	میزو وا نوڈو گا کویتا ٹوکی نی نومیماسو۔
mizu wa tsumetai desu	mizu wa tsumetai desu
mizu wo kudasai	mizu wo kudasai
mizu wo kudasai.	mizu wo kudasai.
mizu wo nomemasu	mizu wo nomemasu
mizu wo nomimasu	mizu wo nomimasu
mizu wo nomimasu.	mizu wo nomimasu.
mizu wo takusan nonde kudasai.	میزو وو تاکوسن نونڈے قدسائی۔
mizu wo yaru	میزو وو یارو
mochiron desu.	mochiron desu.
modal verb	موڈل فعل
mokuyoubi ni soto de tabemasu.	mokuyoubi ni soto de tabemasu.
mokuyoubi ni tegami wo kakimasu.	mokuyoubi ni tegami wo kakimasu.
mokuyoubi no yoru wa hima desu.	mokuyoubi no yoru wa Hima desu.
momo no ki ga arimasu.	momo no ki ga arimasu.
momo wa amai desu.	momo wa amai desu.
momo wo tabetai desu.	momo wo tabetai desu.
more + long adj + than. Spelling: big→bigger (double consonant), easy→easier (y→ier). Irregular: good→better, bad→worse, far→farther.	زیادہ + طویل adj + سے۔ ہجے: بڑا → بڑا (ڈبل کنسوننٹ)، آسان → آسان (y → زیادہ)۔ فاسد: اچھا → بہتر، برا → بدتر، دور → دور۔
more/most + adjective.\nTIP: use 'than' after a comparative (taller than), and 'the' before a superlative (the tallest).	زیادہ/سب سے زیادہ + صفت۔\nٹپ: تقابلی (اس سے لمبا) کے بعد 'than' استعمال کریں اور اعلیٰ (سب سے اونچا) سے پہلے 'the' استعمال کریں۔
moshi moshi	موشی موشی
moshika suru to	moshika suru کرنے کے لئے
motte itte ii desu ka.	motte itte ii desu ka.
motto benkyou shitai desu	موٹو بنکیو شیٹائی ڈیسو
mou gohan wo tabemashita ka.	مو گوہان وو تبمشیتا کا۔
mou ichido itte kudasai	mou ichido itte kudasai
mou ichido itte kudasai.	mou ichido itte kudasai.
mou ichido onegai shimasu	mou ichido onegai shimasu
mou ichido onegaishimasu	mou ichido onegaishimasu
mou ichido onegaishimasu.	mou ichido onegaishimasu.
mou ii desu	mou ii desu
mou owarimashita ka	mou owarimashita ka
mou shigoto ga owarimashita ka	مو شیگوتو گا اواریماشیتا کا
mou shukudai o shimashita ka	mou shukudai o shimashita ka
mou sukoshi yukkuri onegaishimasu	mou sukoshi yukkuri onegaishimasu
mou tabemashita	mou tabemashita
moushitsuke kudasai	moushitsuke kudasai
much / many / a lot of — quantity	زیادہ / بہت سے / بہت زیادہ - مقدار
mudan kekkin	mudan kekkin
muga muchuu	muga muchuu
mune ga itai	mune ga itai
muri nara, yamemashou	موری نارا، یامیماشو
muryou desu ka.	muryou desu ka.
mushi ga hana ni imasu.	مشی گا ہانا نی امامو۔
mushi no koe ga kikoemasu.	mushi no koe ga kikoemasu.
must / have to — obligation	لازمی / ہونا - ذمہ داری
musume san ni purezento o agemasu	musume san ni purezento o agemasu
muzukashii to omoimasu.	muzukashii to omoimasu.
my / your / his / her — possessives	میرا / آپ کا / اس کا / اس کا - ملکیت
naifu de pan o kirimasu	naifu de pan o kirimasu
naisu tsuu michuu	naisu tsuu michuu
namae o kaite kudasai	Namae o kaite kudasai
namae wa nan desu ka	Namae wa Nan Desu Ka
nana korobi ya oki	نانا کوربی یا اوکی
nana;shichi	نانا؛ شیچی
nani ga suki desu ka.	نانی گا سوکی دیسو کا۔
nani ga tabetai desu ka	نانی گا تبتائی دیسو کا
nani o tabemashita ka	نانی یا تبماشیتا کا
nani o tabemasu ka	نانی یا تبیماسو کا
nani wo shimashou ka.	نانی وو شیماشو کا۔
nanji kara nanji made shigoto desu ka.	نانجی کارا نانجی نے شیگوٹو دیسو کا بنایا۔
nanji ni aimashou ka.	نانجی نی اماشو کا۔
naoshite moraemasu ka.	naoshite moraemasu ka.
natsu wa aisukuriimu ga oishii desu.	natsu wa aisukuriimu ga oishii desu.
natsu wa atsui desu.	natsu wa atsui desu.
natsu wa fuyu yori atsui desu	natsu wa fuyu yori atsui desu
naze ka wakarimasen.	naze ka wakarimasen.
naze kanashii no desu ka.	naze kanashii no desu ka.
naze nihongo wo benkyou shite imasu ka.	نازے نہنگو وو بنکیو شتے امامو کا۔
naze okurete imasu ka.	naze okurete imasu ka.
nedan wa ikura desu ka.	نیدن وا اکورا دیسو کا۔
negative statement + positive tag. Use the same auxiliary: is/are/was/were, do/does/did, have/has, can, will, should.	منفی بیان + مثبت ٹیگ۔ ایک ہی معاون استعمال کریں: is/are/was/were، do/does/did، have/has، can، will، should.
neko dewa arimasen	neko dewa arimasen
neko ga imasu	neko ga imasu
neko ga sanbiki imasu	neko ga sanbiki imasu
neko ga suki desu	neko ga suki desu
neko ga suki janai desu	neko ga suki janai desu
neko to asobimasu.	neko to asobimasu.
neko wa ausagi yori ookii desu	نیکو وا آسگی یوری اوکی ڈیسو
neko wa doko ni imasu ka.	neko wa doko ni imasu ka.
neko wa kawaii desu	neko wa kawaii desu
neko wa suki desu	neko wa suki desu
neko yori inu no hou ga kawaii desu	neko yori inu no hou ga kawaii desu
nemui desu, netai desu	nemui desu، netai desu
nemui desu.	nemui desu.
nenakereba narimasen	nenakereba narimasen
nenrei wo towazu, oubo dekimasu	نینری وو توازو، اوبو ڈیکیماسو
neru jikan	neru jikan
nete imasu	nete imasu
netsu ga arimasu.	netsu ga arimasu.
netsu ga aru	netsu ga aru
ni hanshite	ni hanshite
ni ji ni aimashou.	نی جی نی اماشو۔
ni kagirazu	ni kagirazu
ni kagitte	ni kagitte
ni kawatte	ni kawatte
ni motozuite	ni motozuite
ni oujite	ni oujite
ni shitagatte	ni shitagatte
ni sotte	ni sotte
ni taishite	ni taishite
ni tomonatte	ni tomonatte
ni tsurete	ni tsurete
ni yoru	نہیں یورو
ni yotte	یہ نہیں ہے
nichiyoubi ni kouen ni ikimasu	nichiyoubi ni kouen ni ikimasu
nihon de ichiban takai yama wa fujisan desu	نیہون دے اچیبان تاکائی یاما وا فجیسن دیسو
nihon e ikimasu	nihon e ikimasu
nihon e ryokou shimasu	نیہون ای ریوکو شیماسو
nihon ni ikemasu	nihon ni ikemasu
nihon ni ikitai desu	nihon ni ikitai desu
nihon ni itta koto ga arimasu	nihon ni Itta Koto ga arimasu
nihon ni itta koto ga arimasu ka	nihon ni Itta Koto ga arimasu ka
nihon ni ittara, sushi o tabemasu	نیہون نی اتارا، سوشی یا تبیماسو
nihon no kuruma wa yuumei desu	nihon no kuruma wa yuumei desu
nihon no ryokou wa tanoshii desu.	nihon no ryokou wa tanoshii desu.
nihon no ryouri o tsukurimashita	nihon no ryouri o tsukurimashita
nihon no shumi wa nan desu ka	نہون نہ شومی و نان دیسو کا
nihon no tabemono ga suki desu.	nihon no tabemono ga suki desu.
nihon no tabemono o tabetai desu	nihon no tabemono o tabetai desu
nihon no tabemono wa oishii desu	nihon no tabemono wa oishii desu
nihon no uta ga utaemasu	nihon no uta ga utaemasu
nihongo de hanashimasu	nihongo de hanashimasu
nihongo de hanasu koto ga dekimasu	nihongo de hanasu Koto ga dekimasu
nihongo de nan to iimasu ka.	nihongo de Nan to iimasu ka.
nihongo ga dekimasu	nihongo ga dekimasu
nihongo ga dekireba, ii desu ne	nihongo ga dekireba, ii desu ne
nihongo ga hanasemasu	nihongo ga hanasemasu
nihongo ga hanasemasu ka.	nihongo ga hanasemasu ka.
nihongo ga hanaseru you ni narimashita	نیہنگو گا ہنسیرو تم نی نرماشیتا
nihongo ga mada jouzu ni dekimasen	nihongo ga mada jouzu ni dekimasen
nihongo ga suki desu	nihongo ga suki desu
nihongo ga sukoshi wakarimasu	nihongo ga sukoshi wakarimasu
nihongo ga wakarimasu	nihongo ga wakarimasu
nihongo ga wakatte imasu	nihongo ga wakatte imasu
nihongo nara, sukoshi wakarimasu	nihongo nara, sukoshi wakarimasu
nihongo no jugyou wa tanoshii desu.	nihongo no jugyou wa tanoshii desu.
nihongo no sensei ni naritai desu	nihongo no sensei ni naritai desu
nihongo no shiidii wo kikimasu.	nihongo no shiidii wo kikimasu.
nihongo o benkyou shimashita	نیہونگو او بینکیو شیماشیتا
nihongo o benkyou shimashou	نیہونگو او بینکیو شیماشو
nihongo o benkyou shimasu	نیہونگو او بینکیو شیماسو
nihongo o benkyou shitai desu	nihongo o benkyou shitai desu
nihongo o benkyou shite imasu	nihongo o benkyou shite imasu
nihongo o benkyou shiteimasu	nihongo o benkyou shiteimasu
nihongo o hanasu koto ga dekimasu	nihongo o hanasu Koto ga dekimasu
nihongo wa eigo yori muzukashii desu	nihongo wa eigo yori muzukashii desu
nihongo wa hanasu no ga muzukashii desu ga, kikiyasui desu	nihongo wa hanasu no ga muzukashii desu ga, kikiyasui desu
nihongo wa muzukashii desu ga, omoshiroi desu	nihongo wa muzukashii desu ga, omoshiroi desu
nihongo wa tanoshii desu.	نیہونگو وا تنوشی دیسو۔
nihongo wo benkyou shite imasu	nihongo wo benkyou shite imasu
nihongo wo benkyou shite imasu.	nihongo wo benkyou shite imasu.
nihongo wo benkyou suru tame ni, nihon e ikimasu	نیہونگو وو بنکیو سورو تم نی، نیہون ای اکیماسو
niji ga dete imasu.	niji ga dete imasu.
niji ni kaigi ga arimasu	niji ni kaigi ga arimasu
nijuu yokka	nijuu yokka
nijuurokudo desu.	nijuurokudo desu.
niku o tabemasen	niku o tabemasen
niku wa amari tabemasen.	نیکو و عماری تبسم۔
niku wo tabemasu ka.	niku wo tabemasu ka.
niku wo yaite tabemasu.	niku wo yaite tabemasu.
nimo kakawarazu	نیمو کاکاوارازو
nimotsu wo azukatte mo ii desu ka.	nimotsu wo azukate mo ii desu ka.
ninen mae no shashin desu	ننن مے کوئی ششین دیسو
niwa ni kusa ga arimasu.	niwa ni kusa ga arimasu.
nodo ga itai	nodo ga itai
nodo ga itai desu.	nodo ga itai desu.
nodo ga kawaita	nodo ga kawaita
nodo ga kawaiteiru	nodo ga kawaiteiru
nodo ga kawakimashita	nodo ga kawakimashita
nodo ga kawakimashita.	nodo ga kawakimashita.
nodo ga kawaku	nodo ga kawaku
nooto wo torimasu.	nooto wo Torimasu.
nou puroburemu	nou puroburemu
nouka de ushi wo katte imasu.	نوکا دے اوشی وو کٹے امسو۔
oai ni naru	اوئی نی نارو
oaruki ni naru	اوروکی نی نارو
oazukari suru	oazukari suru
oazuke ni naru	اوزوک نی نارو
obaasan wa hana ga suki desu.	اوباساں وا ہانا گا سکھی دیسو۔
obaasan wa niwa de hana wo sodatete imasu.	obaasan wa niwa de hana wo sodatete imasu.
obaasan wa yasashii desu.	obasan wa yasashii desu.
obentou wo motte kimashita.	obentou wo motte kimashita.
ocha o iremashou ka	ocha o iremashou ka
ocha wa atsui desu.	ocha wa atsui desu.
ocha wo nomimasu ka.	ocha wo nomimasu ka.
ocha wo nominasen ka.	ocha wo nominasen ka.
odaiji ni	odaiji ni
odoroita koto ni, kare wa jitsu wa nihonjin deshita	odoroita Koto ni، Kare wajitsu wa nihonjin deshita
odotte imasu	odotte imasu
ofuro ni hairu	آفورو نی ہیئرو
ofuro ni haitte kara, nemasu	آفورو نی ہیتے کارا، نیماسو
ogenki desu ka	ogenki desu ka
ogenki desu ka.	ogenki desu ka.
ogenki desu ka. genki desu.	ogenki desu ka. genki desu.
ohanashi ni naru	اوہانشی نی نارو
ohayou gozaimasu	ohayou gozaimasu
ohayou gozaimasu.	ohayou gozaimasu.
ohayou gozaimasu. kyou mo ganbarimashou.	ohayou gozaimasu. kyou mo ganbarimashou.
ohayou. ii tenki desu ne.	اوہ آپ ii tenki desu ne.
ohikiuke suru	ohikiuke suru
oide ni naru	Oide ni naru
oikutsu desu ka	oikutsu desu ka
oishii desu	oishii desu
oishii mono wo tabetai desu.	oishii mono wo tabetai desu.
ojama shimasu	اوجاما شیماسو
ojiisan ni ai ni ikimasu.	ojiisan ni ai ni ikimasu.
ojiisan wa ocha ga suki desu.	اوجیسن وا اوچا گا سوکی دیسو۔
ojiisan wa shinbun wo yonde imasu.	اوجیسن وا شنبون وو یونڈے اماسو۔
okaasan ni denwa wo shimasu.	اوکاسن نی دنوا وو شیماسو۔
okaasan wa ima uchi ni imasu.	اوکاسن و آئیما اچی نی امامو۔
okaasan wa ryouri ga jouzu desu.	اوکاسن وا ریوری گا جوزو دیسو۔
okaeri ni naru	اوکیری نی نارو
okagesama de	okagesama de
okaikei wo onegaishimasu.	okaikei wo onegaishimasu.
okaki ni naru	اوکاکی نی نارو
okane ga arimasen	okane ga arimasen
okane ga arimasu ka	okane ga arimasu ka
okane ga attara, kuruma o kaimasu	اوکانے گا عطارا، کوروما او کیماسو
okane o haraimasu	اوکانے اے حریمسو
okangae ni naru	اوکانگے نی نارو
okanjou wo onegaishimasu	okanjou wo onegaishimasu
okari suru	اوکاری سورو
okiki ni naru	اوکیکی نی نارو
okime ni naru	اوکیم نی نارو
okiru jikan	اوکیرو جیکن
okodukai wo tamete imasu.	okodukai wo tamete imasu.
okoe gake kudasai	okoe gake kudasai
okoshi kudasai	اوکوشی کداسائی
okoshi ni naru	اوکوشی نی نارو
okotae ni narimasu	okotae ni narimasu
okotte imasu.	اوکوٹے اماسو۔
omachi itadaku	omachi itadaku
omachi ni naru	اوماچی نی نارو
omatase shimashita	اوماٹیس شیماشیتا
ome ni kakaru	ome ni kakaru
ome ni kakeru	ome ni kakeru
omedetou gozaimasu	omedetou gozaimasu
omedetou gozaimasu!	omedetou gozaimasu!
omeshi ni naru	اومیشی نی نارو
ometooshi itadaku	ometooshi itadaku
omizu o kudasai	omizu o kudasai
omo ni	omo ni
omochi ni naru	اوموچی نی نارو
omotome ni naru	omotome ni naru
on + day/date	+ دن/تاریخ پر
onaka ga ippai desu.	onaka ga ippai desu.
onaka ga itai	onaka ga itai
onaka ga itai desu.	onaka ga itai desu.
onaka ga suita	onaka ga suita
onaka ga suitara, pan o tabemasu	onaka ga suitara, pan o tabemasu
onaka ga suiteiru	onaka ga suiteiru
onaka ga sukimashita	اوناکا گا سوکیماشیتا
onaka ga sukimashita.	اوناکا گا سوکیماشیتا۔
onaka ga suku	اوناکا گا سوکو
onamae wa nan desu ka.	onamae wa Nan desu ka.
one book, two books	ایک کتاب، دو کتابیں۔
one hundred	ایک سو
onegai dekimasu ka	onegai dekimasu ka
onegai dekimasu ka.	onegai dekimasu ka.
onegai suru	onegai suru
ongaku o kiite kara, benkyou shimasu	اونگاکو او کیتے کارا، بینکیو شیماسو
ongaku o kikimasu	اونگاکو یا کیکیماسو
ongaku o kikinagara benkyou shimasu	اونگاکو او کیکی نگرا بینکیو شیماسو
ongaku o kikitai desu	اونگاکو یا کیکیٹائی ڈیسو
ongaku wo kikinagara benkyou shimasu	اونگاکو وو کیکی نگرا بینکیو شیماسو
ongaku wo kiku	اونگاکو وو کیکو
onko chishin	اونکو چشین
onna no hito	اونا کوئی ہٹو
onna no ko ga suki desu.	اونا کوئی گا سوکی ڈیسو۔
onomi ni naru	اونومی نی نارو
onrii chairudo	onrii chairudo
onryou wo agete kudasai.	onry you wo agete kudasai.
ookii neko ga imasu.	ookii neko ga imasu.
oordaa burazaa	oordaa burazaa
oordaa shisutaa	اوردا شیسوتا
ordinal number	عام نمبر
orei wo moushiageru	orei wo moushiageru
osagashi ni naru	اوساگاشی نی نارو
osake ga nomemasu	osake ga nomemasu
osake wa nomanai koto ni shite imasu	اوسکے وا نعمائی کوتو نی شتے امامو
osake wo nomisugimashita.	osake wo nomisugimashita.
osaki ni	osaki ni
osaki ni shitsurei shimasu	اوساکی نی شٹسوری شیماسو
osewa ni naru	osewa ni naru
osewa suru	osewa suru
oshiete kudasai	oshiete kudasai
oshigoto ganbatte kudasai. yoroshiku desu.	oshigoto ganbatte kudasai. yoroshiku desu.
oshigoto wa nan desu ka.	اوشیگوٹو وا نان دیسو کا۔
oshirabe suru	oshirabe suru
oshiri ni naru	اوشیری نی نارو
osoku konaide kudasai	osoku konaide kudasai
osoku natte sumimasen.	osoku natte sumimasen.
osoku natte wa ikemasen yo	osoku natte wa ikemasen yo
osugoshi ni naru	اوسوگوشی نی نارو
osumai ni naru	osumai ni naru
osushi ga tabetai desu	osushi ga tabetai desu
osushi wa nihon no tabemono desu.	اوسوشی وا نیہون نو تبیمونو دیسو۔
osusume wa nan desu ka	osusume wa nan desu ka
osuwari ni naru	اوسواری نی نارو
otazune itadaku	otazune itadaku
otazune ni naru	otazune ni naru
otesuu wo okake shimasu	اوٹسو وو اوکاکے شیماسو
otodoke ni naru	otodoke ni naru
otodoke suru	otodoke suru
otoko no hito	otoko no hito
otoko no ko ga futari imasu.	otoko no ko ga futari imasu.
otousan to tenisu wo shimasu.	otousan to tenisu wo shimasu.
otousan wa kaisha ni ikimasu.	otousan wa kaisha ni ikimasu.
otousan wa se ga takai desu.	otousan wa se ga takai desu.
otouto to sakkaa wo shimasu.	otouto to sakkaa wo shimasu.
otouto wa chuugakusei desu.	otouto wa chuugakusei desu.
otouto wa genki desu.	otouto wa genki desu.
