ನಮಸ್ಕಾರ, ನೀವು ಹೇಗಿದ್ದೀರಾ?	Hello, how are you?
ಕ್ಷೇತ್ರವು ದೊಡ್ಡದಾಗಿದೆ	The constituency is large
ಕ್ಷೇತ್ರದ ಅಭಿವೃದ್ಧಿ ಬೇಕು	The constituency needs development
ಪ್ರಜಾಪ್ರಭುತ್ವವು ಉತ್ತಮವಾಗಿದೆ	Democracy
ನಮಗೆ ನೀತಿಶಾಸ್ತ್ರ ಕಲಿಯಬೇಕು	We must learn ethics.
ಅವನು ನೀತಿಶಾಸ್ತ್ರ ಓದುತ್ತಾನೆ	He reads ethics.
ನೈತಿಕತೆ ಜೀವನದಲ್ಲಿ ಮುಖ್ಯ	Morality is important in life.
ಅವಳ ನೈತಿಕತೆ ಮೆಚ್ಚುಕೊಂಡೆ	I admired her morality.
ಅವನಿಗೆ ಪ್ರಜ್ಞೆ ಇಲ್ಲ	He has no consciousness.
ಈ ಪ್ರಜ್ಞೆ ಹೊಸದು	This consciousness is new.
ನಿನ್ನ ಗ್ರಹಿಕೆ ಸರಿಯಾಗಿದೆ	Your perception is correct.
ಅವನ ಗ್ರಹಿಕೆ ವಿಭಿನ್ನವಾಗಿದೆ	His perception is different.
ಸತ್ಯವದ ಸದ್ಗುಣ ದೊಡ್ಡದು	The virtue of truth is great.
ಅವಳಲ್ಲಿ ಸದ್ಗುಣವಿದೆ	She has virtue.
ಈ ಸಿದ್ಧಾಂತ ಹಳೆಯದು	This doctrine is old.
ಹೊಸ ಸಿದ್ಧಾಂತ ಬಂದಿದೆ	A new doctrine has come.
ಅವನ ಸಿದ್ಧಾಂತ ವಿಚಿತ್ರವಾಗಿದೆ	His ideology is strange.
ನನ್ನ ಸಿದ್ಧಾಂತ ಸರಳವಾಗಿದೆ	My ideology is simple.
ಅವನಿಗೆ ಸಂದೇಹವಾದವಿದೆ	He has skepticism.
ಸಂದೇಹವಾದ ಒಂದು ದಾರಿ	Skepticism is a way.
ಅಸ್ತಿತ್ವವಾದ ಒಂದು ಅಧ್ಯಯನ	Existential is a study.
ಅವನ ಅಸ್ತಿತ್ವವಾದ ಚಿಂತನೆ	His existential thought.
ಇದು ಒಂದು ವಿರೋಧಾಭಾಸ	This is a paradox.
ಆ ವಿರೋಧಾಭಾಸ ವಿಚಿತ್ರ	That paradox is strange.
ತಾರ್ಕಿಕ ಉತ್ತರ ಬೇಕು	A reasoning answer is needed.
ನಿನ್ನ ತಾರ್ಕಿಕ ರೀತಿ ಚೆನ್ನಾಗಿದೆ	Your reasoning way is good.
ಬುದ್ಧಿವಂತಿಕೆ ಶಾಂತಿಯನ್ನು ನೀಡುತ್ತದೆ	Wisdom gives peace.
ಅವನ ಬುದ್ಧಿವಂತಿಕೆ ಹೆಚ್ಚು	His wisdom is more.
ಜೀವನದ ಮೌಲ್ಯ ತಿಳಿಯಿರಿ	Know the value of life.
ಈ ಮೌಲ್ಯ ದೊಡ್ಡದು	This value is great.
ನನ್ನ ತತ್ವ ಸರಳವಾಗಿದೆ	My principle is simple.
ಅವನ ತತ್ವ ಸರಿಯಾಗಿದೆ	His principle is correct.
ಇದು ಒಂದು ಹೊಸ ಕಲ್ಪನೆ	This is a new notion.
ನಿನ್ನ ಕಲ್ಪನೆ ತಪ್ಪಾಗಿದೆ	Your notion is wrong.
ಈ ಪರಿಕಲ್ಪನೆ ಅರ್ಥವಾಯಿತು	This concept was understood.
ಆ ಪರಿಕಲ್ಪನೆ ಕ್ಲಿಷ್ಟವಾಗಿದೆ	That concept is complex.
ಅದು ಅಮೂರ್ತ ರೂಪ	That is an abstract form.
ಈ ಚಿಂತನೆ ಅಮೂರ್ತ	This thought is abstract.
ತರ್ಕಬದ್ಧ ಮಾತು ಕೇಳು	Listen to rational talk.
ಅವನ ತರ್ಕಬದ್ಧ ಉತ್ತರ ಸಿಕ್ಕಿತು	His rational answer was received.
ಅವಳ ಅಂತಃಪ್ರಜ್ಞೆ ಸರಿಯಾಗಿತ್ತು	Her intuition was correct.
ಅಂತಃಪ್ರಜ್ಞೆ ನಮಗೆ ದಾರಿ ತೋರುತ್ತದೆ	Intuition shows us the way.
ಅವನು ಸಂದಿಗ್ಧತೆ ಒಳಗಿದ್ದಾನೆ	He is in a dilemma.
ಈ ಸಂದಿಗ್ಧತೆ ಕಷ್ಟವಾಗಿದೆ	This dilemma is difficult.
ಅವನ ಇತ್ಯರ್ಥ ವಿಭಿನ್ನ	His disposition is different.
ನಿನ್ನ ಇತ್ಯರ್ಥ ಚೆನ್ನಾಗಿದೆ	Your disposition is good.
ನನಗೆ ಒಂದು ಅನುಮಾನವಿದೆ	I have a doubt.
ಅವನ ಅನುಮಾನ ದೂರವಾಯಿತು	His doubt was cleared.
ನನಗೆ ಖಚಿತತೆ ಇಲ್ಲ	I have no certainty.
ಈ ಖಚಿತತೆ ಬೇಕು	This certainty is needed.
ಚಿಂತನೆ ಶಾಂತಿ ನೀಡುತ್ತದೆ	Contemplation gives peace.
ಅವನ ಚಿಂತನೆ ಆಳವಾಗಿದೆ	His contemplation is deep.
ಆತ್ಮ ಶಾಂತಿಯಿಂದ ಇರಲಿ	Let the soul be in peace.
ಅವನ ಆತ್ಮ ಶುಭ್ರವಾಗಿದೆ	His soul is pure.
ಮನಸ್ಸು ಶಾಂತವಾಗಿರಲಿ	Let the mind be calm.
ನಿನ್ನ ಮನಸ್ಸು ದೊಡ್ಡದು	Your mind is big.
ಅಸ್ತಿತ್ವ ಒಂದು ರಹಸ್ಯ	Existence is a mystery.
ಅವನ ಅಸ್ತಿತ್ವ ಸಾಬೀತಾಯಿತು	His existence was proven.
ನಿನ್ನ ಉದ್ದೇಶ ಏನು?	What is your purpose?
ಈ ಉದ್ದೇಶ ಒಳ್ಳೆಯದು	This purpose is good.
ಜ್ಞಾನಶಾಸ್ತ್ರ ಒಂದು ಕಲೆ	Epistemology is an art.
ಜ್ಞಾನಶಾಸ್ತ್ರ ಅಧ್ಯಯನ ಮಾಡು	Study epistemology.
ಮುಕ್ತ ಇಚ್ಛೆ ನಮ್ಮದು	Free will is ours.
ಮುಕ್ತ ಇಚ್ಛೆ ಮುಖ್ಯವಾಗಿದೆ	Free will is important.
ನಿರ್ಣಾಯಕತೆ ಒಂದು ಸತ್ಯ	Determinism is a truth.
ಈ ನಿರ್ಣಾಯಕತೆ ವಿಚಿತ್ರ	This determinism is strange.
ಅದೇನೇ ಇದ್ದರೂ ನಾನು ಹೋಗುತ್ತೇನೆ	Nonetheless I will go
ಅದೇನೇ ಇದ್ದರೂ ಅದು ಕಷ್ಟ	Nonetheless it is difficult
ಇದಲ್ಲದೆ ನನಗೆ ಒಂದು ಕೆಲಸವಿದೆ	Furthermore I have one work
ಇದಲ್ಲದೆ ಅವಳು ಬಂದಳು	Furthermore she came
ಮೇಲಾಗಿ ಅವರು ಹೇಳಿದರು	Moreover they said
ಮೇಲಾಗಿ ನಾವು ಓದಿದೆವು	Moreover we read
ಪರಿಣಾಮವಾಗಿ ಮಳೆ ಬಂದಿತು	Consequently it rained
ಪರಿಣಾಮವಾಗಿ ಅವನು ಸೋತನು	Consequently he lost
ಅದರಂತೆ ಮಾಡಿ	Do accordingly
ಅದರಂತೆ ನಡೆಯಿರಿ	Walk accordingly
ಅದೇ ರೀತಿ ಮಾಡಿ	Do similarly
ಅದೇ ರೀತಿ ಬರೆಯಿರಿ	Write similarly
ವ್ಯತಿರಿಕ್ತವಾಗಿ ಅವನು ಯೋಚಿಸಿದನು	Conversely he thought
ವ್ಯತಿರಿಕ್ತವಾಗಿ ಅದು ನಡೆಯಿತು	Conversely it happened
ತರುವಾಯ ನಾವು ಭೇಟಿಯಾದೆವು	Subsequently we met
ತರುವಾಯ ಅವರು ಬಂದರು	Subsequently they came
ಅನಿವಾರ್ಯವಾಗಿ ನಾನು ಹೋದೆನು	Inevitably I went
ವಾದಯೋಗ್ಯವಾಗಿ ಇದು ಉತ್ತಮವಾಗಿದೆ	Arguably this is better
ವಾದಯೋಗ್ಯವಾಗಿ ಅವನು ಗೆದ್ದನು	Arguably he won
ಆದ್ದರಿಂದ ನಾನು ಬಂದೆನು	Therefore I came
ಆದ್ದರಿಂದ ಅವರು ಹೋದರು	Therefore they went
ಆದ್ದರಿಂದ ನೀನು ಓದು	Hence you read
ಆದ್ದರಿಂದ ನಾನು ನಕ್ಕೆನು	Hence I laughed
ಹೀಗಾಗಿ ನಾವು ಗೆದ್ದೆವು	Thus we won
ಹೀಗಾಗಿ ಅವನು ಬಂದನು	Thus he came
ತನ್ಮೂಲಕ ಅವನು ಗೆದ್ದನು	Thereby he won
ತನ್ಮೂಲಕ ನಾವು ಕಲಿತೆವು	Thereby we learned
ಇಲ್ಲದಿದ್ದರೆ ನಾನು ಹೋಗುವೆ	Otherwise I will go
ಇಲ್ಲದಿದ್ದರೆ ಅವರು ಬರಲ್ಲ	Otherwise they won't come
ಅಂತೆಯೇ ನಾನು ಹೇಳಿದೆನು	Likewise I said
ಅಂತೆಯೇ ಅವಳು ಮಾಡಿದೆವು	Likewise she did
ಸಮಾನವಾಗಿ ಹಂಚಿಕೊಡಿ	Distribute equally
ಸಮಾನವಾಗಿ ನೋಡಿ	Look equally
ವಿಶೇಷವಾಗಿ ಇಂದು ಮಳೆಯಾಯಿತು	Especially it rained today
ವಿಶೇಷವಾಗಿ ಅವರು ಬಂದರು	Especially they came
ನಿರ್ದಿಷ್ಟವಾಗಿ ಇದನ್ನು ನೋಡಿ	Look particularly at this
ನಿರ್ದಿಷ್ಟವಾಗಿ ಅದನ್ನು ಹೇಳಿ	Say particularly that
ಗಮನಾರ್ಹವಾಗಿ ಬೆಲೆಗೆಡಿದೆವು	Remarkably prices increased
ಗಮನಾರ್ಹವಾಗಿ ಅವನು ಬೆಳೆದನು	Remarkably he grew
ನಿಸ್ಸಂದೇಹವಾಗಿ ಇದು ನಿಜ	Undoubtedly this is true
ನಿಸ್ಸಂದೇಹವಾಗಿ ಅವರು ಗೆದ್ದರು	Undoubtedly they won
ಸಂಭಾವ್ಯವಾಗಿ ಅವರು ಬರಬಹುದು	Presumably they might come
ಸಂಭಾವ್ಯವಾಗಿ ಇದು ಸಾಧ್ಯ	Presumably this is possible
ಸ್ಪಷ್ಟವಾಗಿ ನನಗೆ ಗೊತ್ತು	Apparently I know
ಸ್ಪಷ್ಟವಾಗಿ ಅವರು ಹೇಳಿದರು	Apparently they said
ತೋರಿಕೆಯಲ್ಲಿ ಇದು ಚೆನ್ನಾಗಿದೆ	Seemingly this is good
ತೋರಿಕೆಯಲ್ಲಿ ಅವನು ಗೆದ್ದನು	Seemingly he won
ಅಂತಿಮವಾಗಿ ನಾವು ಗೆದ್ದೆವು	Ultimately we won
ಅಂತಿಮವಾಗಿ ಅವನು ಬಂದನು	Eventually he came
ಆರಂಭದಲ್ಲಿ ನಾನು ಭಯಪಟ್ಟೆನು	Initially I was afraid
ಆರಂಭದಲ್ಲಿ ಅದು ಕಷ್ಟವಾಗಿತ್ತು	Initially it was difficult
ಪ್ರಾಥಮಿಕವಾಗಿ ನಾವು ಕಲಿತೆವು	Primarily we learned
ಪ್ರಾಥಮಿಕವಾಗಿ ಅವರು ಹೇಳಿದರು	Primarily they said
ಪ್ರತ್ಯೇಕವಾಗಿ ಇದನ್ನು ಇಡಿ	Keep this exclusively
ಪ್ರತ್ಯೇಕವಾಗಿ ಅವರು ಕುಳಿತರು	They sat exclusively
ಹೆಚ್ಚೆಚ್ಚು ಜನರು ಬರುತ್ತಿದ್ದಾರೆ	Increasingly people are coming
ಹೆಚ್ಚೆಚ್ಚು ಬೆಲೆ ಏರುತ್ತಿದೆ	Increasingly prices are rising
ಗಮನಾರ್ಹವಾಗಿ ಬದಲಾಗಿದೆ	Significantly it changed
ಗಮನಾರ್ಹವಾಗಿ ಬೆಳೆಯುತ್ತಿದೆ	Significantly it is growing
ಗಣನೀಯವಾಗಿ ಸಮಯ ಹೋಯಿತು	Considerably time passed
ಗಣನೀಯವಾಗಿ ಲಾಭವಾಯಿತು	Considerably there was profit
ಸ್ವಲ್ಪ ನೀರು ಕೊಡಿ	Give slightly water
ಸ್ವಲ್ಪ ದೂರ ಹೋಗಿ	Go slightly far
ಅಷ್ಟೇನೂ ಬೆಳಕಿದೆ	Barely there is light
ಅಷ್ಟೇನೂ ಸಮಯವಿದೆ	Barely there is time
ವಿರಳವಾಗಿ ಮಳೆ ಬಂದಿತು	Scarcely it rained
ವಿರಳವಾಗಿ ಜನರು ಬಂದರು	Scarcely people came
ಕೇವಲ ಒಂದು ರೂಪಾಯಿ ಇತ್ತು	Merely one rupee was there
ಕೇವಲ ನಾನು ಮಾತ್ರ ಬಂದೆನು	Merely I alone came
ಸಂಪೂರ್ಣವಾಗಿ ನಿಜ ಹೇಳಿ	Tell purely truth
ಸಂಪೂರ್ಣವಾಗಿ ನಾನು ಮರೆತೆನು	Purely I forgot
ಕಟ್ಟುನಿಟ್ಟಾಗಿ ಪಾಲಿಸಿ	Follow strictly
ಕಟ್ಟುನಿಟ್ಟಾಗಿ ಹೇಳಿದನು	He said strictly
ಸ್ಪಷ್ಟವಾಗಿ ಬರೆಯಿರಿ	Write explicitly
ಸ್ಪಷ್ಟವಾಗಿ ಹೇಳಿ	Say explicitly
ಅವನು ಅದನ್ನು ಸೂಚ್ಯವಾಗಿ ಹೇಳಿದನು	He said it implicitly.
ಅವಳು ಸೂಚ್ಯವಾಗಿ ಒಪ್ಪಿಕೊಂಡಳು	She implicitly agreed.
ಅವಳು ಸೂಕ್ಷ್ಮವಾದ ಕೆಲಸ ಮಾಡುತ್ತಾಳೆ	She does meticulous work.
ಇದು ಸೂಕ್ಷ್ಮವಾದ ವಿನ್ಯಾಸ	This is a meticulous design.
ಅವನು ಸಮಗ್ರ ವರದಿಯನ್ನು ನೀಡಿದನು	He gave a comprehensive report.
ಇದು ಸಮಗ್ರ ಯೋಜನೆಯಾಗಿದೆ	This is a comprehensive plan.
ಅವಳು ಕಠಿಣ ತರಬೇತಿ ಪಡೆದಳು	She underwent rigorous training.
ಇದು ಕಠಿಣ ನಿಯಮಗಳು	These are rigorous rules.
ಅಲ್ಲಿ ಗಣನೀಯ ಬದಲಾವಣೆ ಇದೆ	There is a substantial change there.
ಅವನು ಗಣನೀಯ ಮೊತ್ತವನ್ನು ಉಳಿಸಿದನು	He saved a substantial amount.
ಇದು ಸಂಕೀರ್ಣವಾದ ಸಮಸ್ಯೆಯಾಗಿದೆ	This is an intricate problem.
ಅವಳು ಸಂಕೀರ್ಣವಾದ ಕಲೆ ಕಲಿತಳು	She learned an intricate art.
ಅವನ ಮಾತು ಸುಸಂಬದ್ಧವಾಗಿದೆ	His speech is coherent.
ಇದು ಸುಸಂಬದ್ಧವಾದ ವಾದ	This is a coherent argument.
ಆ ಉತ್ತರ ಅಸ್ಪಷ್ಟವಾಗಿದೆ	That answer is ambiguous.
ಅವನ ಮಾತುಗಳು ಅಸ್ಪಷ್ಟವಾಗಿವೆ	His words are ambiguous.
ಅವನಿಗೆ ಆಳವಾದ ಜ್ಞಾನವಿದೆ	He has profound knowledge.
ಇದು ಆಳವಾದ ಚಿಂತನೆ	This is a profound thought.
ಅವಳು ನಿರರ್ಗಳವಾಗಿ ಮಾತನಾಡುತ್ತಾಳೆ	She speaks eloquently.
ಅವನ ಭಾಷಣ ನಿರರ್ಗಳವಾಗಿತ್ತು	His speech was eloquent.
ನಾವು ಪ್ರಾಯೋಗಿಕ ದಾರಿಯನ್ನು ಹುಡುಕಬೇಕು	We must find a pragmatic way.
ಇದು ಪ್ರಾಯೋಗಿಕ ವಿಧಾನ	This is a pragmatic method.
ಅವಳು ಸಂಪೂರ್ಣವಾಗಿ ಪರಿಶೀಲಿಸಿದಳು	She checked thoroughly.
ಅವನು ಸಂಪೂರ್ಣವಾಗಿ ಓದಿದನು	He read thoroughly.
ಇಲ್ಲಿ ವ್ಯಾಪಕ ಜ್ಞಾನವಿದೆ	There is extensive knowledge here.
ಅವನ ವ್ಯಾಪಕ ಅನುಭವವಿದೆ	He has extensive experience.
ಇದು ಅತ್ಯಾಧುನಿಕ ಯಂತ್ರ	This is a sophisticated machine.
ಅವರಲ್ಲಿ ಅತ್ಯಾಧುನಿಕ ತಂತ್ರಜ್ಞಾನವಿದೆ	They have sophisticated technology.
ಅವನಿಗೆ ಬಲವಾದ ಕಾರಣವಿದೆ	He has a compelling reason.
ಇದು ಬಲವಾದ ಪುರಾವೆ	This is compelling evidence.
ಈ ಉತ್ತರ ಮನವರಿಕೆಯಾಗುತ್ತದೆ	This answer is convincing.
ಅವಳು ಮನವೊಲಿಸುವ বক্তೆ	She is a persuasive speaker.
ಇದು ಮನವೊಲಿಸುವ ವಾದ	This is a persuasive argument.
ಅವನು ನಂಬಲರ್ಹ ವ್ಯಕ್ತಿ	He is a credible person.
ಇದು ನಂಬಲರ್ಹ ಮೂಲ	This is a credible source.
ಇದು ತೋರಿಕೆಯ ಕಾರಣ	This is a plausible reason.
ಆ ಕಥೆ ತೋರಿಕೆಯಾಗಿದೆ	That story is plausible.
ಇದು ಕಾರ್ಯಸಾಧ್ಯ ಯೋಜನೆಯಾಗಿದೆ	This is a feasible plan.
ಅದು ಕಾರ್ಯಸಾಧ್ಯ ಕೆಲಸ	That is a feasible task.
ಇದು ಕಾರ್ಯಸಾಧ್ಯ ಮಾರ್ಗ	This is a viable path.
ಈ ವ್ಯವಹಾರ ಕಾರ್ಯಸಾಧ್ಯವಾಗಿದೆ	This business is viable.
ಈ ವಿಷಯ ಚರ್ಚಾಸ್ಪದವಾಗಿದೆ	This topic is debatable.
ಅದು ಚರ್ಚಾಸ್ಪದ ವಿಷಯ	That is a debatable issue.
ಇದು ವಿವಾದಾತ್ಮಕ ವಿಷಯ	This is a contentious issue.
ಅವನು ವಿವಾದಾತ್ಮಕ ಮಾತು ಹೇಳಿದನು	He said a contentious word.
ಇದು ವಿವಾದಾತ್ಮಕ ನಿರ್ಧಾರ	This is a controversial decision.
ಅವಳು ವಿವಾದಾತ್ಮಕ ಲೇಖನ ಬರೆದಳು	She wrote a controversial article.
ಅವಳು ಸೂಕ್ಷ್ಮ ಮನಸ್ಸಿನವಳು	She is a sensitive person.
ಇದು ಸೂಕ್ಷ್ಮ ವಿಷಯ	This is a sensitive matter.
ಇದು ಸೂಕ್ಷ್ಮ ಕೆಲಸ	This is a delicate task.
ಅವಳು ಸೂಕ್ಷ್ಮ ರೇಷ್ಮೆಯನ್ನು ಬಳಸಿದಳು	She used delicate silk.
ಅದೊಂದು ಸೂಕ್ಷ್ಮ ವ್ಯತ್ಯಾಸ	That is a subtle difference.
ಅವಳು ಸೂಕ್ಷ್ಮ ಸಂಕೇತ ನೀಡಿದಳು	She gave a subtle signal.
ಇದು ಸೂಕ್ಷ್ಮವಾದ ವಿಶ್ಲೇಷಣೆ	This is a nuanced analysis.
ಅವಳು ಸೂಕ್ಷ್ಮವಾದ ವ್ಯತ್ಯಾಸ ಗುರುತಿಸಿದಳು	She noticed a nuanced difference.
ಇದು ನಿಖರವಾದ ಉತ್ತರ	This is a precise answer.
ಅವಳು ನಿಖರವಾದ ಸಮಯ ಹೇಳಿದಳು	She told the precise time.
ಅವನ ಮಾಹಿತಿ ನಿಖರವಾಗಿದೆ	His information is accurate.
ಇದು ನಿಖರ ಅಳತೆ	This is an accurate measurement.
ಅವಳು ವಿಶ್ವಾಸಾರ್ಹ ಸ್ನೇಹಿತೆ	She is a
ಅವಳು ಸ್ಥಿರವಾದ ವೇಗದಲ್ಲಿ ಓಡುತ್ತಾಳೆ	She runs at a consistent speed.
ಅವನ ಅಭ್ಯಾಸವು ಸ್ಥಿರವಾದ ಬದಲಾವಣೆ ತಂದಿತು	His practice brought a consistent change.
ನಿಮ್ಮ ಮಾತು ಅಸಮಂಜಸ ಆಗಿದೆ	Your talk is inconsistent.
ಈ ವರದಿ ಅಸಮಂಜಸ ವಿಷಯ ಹೊಂದಿದೆ	This report has inconsistent content.
ಅವನ ತಪ್ಪು ಸ್ಪಷ್ಟವಾಗಿ ಕಾಣುತ್ತದೆ	His mistake is evident.
ಅಲ್ಲಿನ ಬದಲಾವಣೆ ಸ್ಪಷ್ಟವಾಗಿ ತಿಳಿಯುತ್ತದೆ	The change there is evident.
ಅವಳ ಕೋಪವು ಸ್ಪಷ್ಟ	Her anger is apparent.
ಈ ವಿಷಯವು ಈಗ ಸ್ಪಷ್ಟ	This matter is apparent now.
ಪ್ರೀತಿ ಒಂದು ಅಮೂರ್ತ ಭಾವನೆ	Love is an abstract emotion.
ಅವಳು ಅಮೂರ್ತ ಕಲೆ ಮಾಡುತ್ತಾಳೆ	She does abstract art.
ಇದು ಕಾಂಕ್ರೀಟ್ ಮನೆ	This is a concrete house.
ಅವರು ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ಮಾಡಿದರು	They made a concrete road.
ಅವನು ಸ್ಪಷ್ಟ ಸೂಚನೆ ನೀಡಿದನು	He gave an explicit instruction.
ನನಗೆ ಸ್ಪಷ್ಟ ಉತ್ತರ ಬೇಕು	I want an explicit answer.
ಅವಳ ನಗುವು ಸೂಚ್ಯ ಪ್ರೀತಿ	Her smile is implicit love.
ಅಲ್ಲಿ ಸೂಚ್ಯ ಅರ್ಥವಿದೆ	There is an implicit meaning there.
ಅಲ್ಲಿ ಪ್ರಧಾನವಾದ ಕಾರಣವಿದೆ	There is a predominant reason there.
ಇದು ಇಲ್ಲಿನ ಪ್ರಧಾನವಾದ ಸಮಸ್ಯೆ	This is the predominant problem here.
ಅವರು ಹೊಸ ವಾದಿಸುತ್ತಾರೆ	They contend new things.
ಎಲ್ಲರೂ ವಾದಿಸುತ್ತಾರೆ	Everyone contends.
ಅವರು ಇದನ್ನು ಪ್ರತಿಪಾದಿಸುತ್ತಾರೆ	They assert this.
ಎಲ್ಲರೂ ಪ್ರತಿಪಾದಿಸುತ್ತಾರೆ	Everyone asserts.
ಅವರು ಸತ್ಯವನ್ನು ಅಲ್ಲಗಳೆಯುತ್ತಾರೆ	They refute the truth.
ಎಲ್ಲರೂ ಅದನ್ನು ಅಲ್ಲಗಳೆಯುತ್ತಾರೆ	Everyone refutes that.
ಇದನ್ನು ರುಜುವಾತು ಮಾಡಿ	Substantiate this.
ಆ ಪುರಾವೆ ರುಜುವಾತು ಮಾಡುತ್ತದೆ	That evidence substantiates.
ಸತ್ಯವನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಿ	Accept the truth.
ತಪ್ಪುಗಳನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಿ	Accept the mistakes.
ಒಂದು ಷರತ್ತು ವಿಧಿಸಿ	Stipulate one condition.
ಅವರು ಷರತ್ತು ವಿಧಿಸಿ ಹೇಳಿದರು	They said stipulate a condition.
ಇದನ್ನು ಊಹಿಸಿ	Hypothesize this.
ಅವರು ಹೊಸದಾಗಿ ಊಹಿಸಿ	They hypothesize anew.
ಅವರು ಗುಣಕ್ಕೆ ಒತ್ತು ನೀಡುತ್ತವೆ	They emphasize the quality.
ಪುಸ್ತಕಗಳು ವಿಷಯಕ್ಕೆ ಒತ್ತು ನೀಡುತ್ತವೆ	Books emphasize the subject.
ಇದನ್ನು ಸ್ಪಷ್ಟಪಡಿಸಿ	Clarify this.
ಅವರು ವಿಷಯವನ್ನು ಸ್ಪಷ್ಟಪಡಿಸಿ	They clarify the matter.
ಅವರು ವ್ಯವಸ್ಥೆಯನ್ನು ನಿರ್ವಹಿಸುತ್ತವೆ	They maintain the system.
ಯಂತ್ರಗಳು ಕೆಲಸವನ್ನು ನಿರ್ವಹಿಸುತ್ತವೆ	Machines maintain the work.
ಅವರು ಸತ್ಯದ ಪರ ವಾದಿಸುತ್ತಾರೆ	They argue for the truth.
ಎಲ್ಲರೂ ಇಲ್ಲಿ ವಾದಿಸುತ್ತಾರೆ	Everyone argues here.
ಅವರು ಹೊಸ ಯೋಜನೆ ಪ್ರಸ್ತಾಪಿಸುತ್ತಾರೆ	They propose a new plan.
ಅವರು ಇದನ್ನು ಪ್ರಸ್ತಾಪಿಸುತ್ತಾರೆ	They propose this.
ಅವರು ದಾರಿ ಸೂಚಿಸುತ್ತಾರೆ	They suggest a way.
ಅವರು ಹೊಸತನ್ನು ಸೂಚಿಸುತ್ತಾರೆ	They suggest something new.
ಅವರು ಜಯದ ಬಗ್ಗೆ ಹೇಳಿಕೊಳ್ಳುತ್ತಾರೆ	They claim victory.
ಅವರು ಇದನ್ನು ಹೇಳಿಕೊಳ್ಳುತ್ತಾರೆ	They claim this.
ಅವರು ಹಕ್ಕನ್ನು ರಕ್ಷಿಸಲು ಬಂದರು	They came to defend the right.
ನಾನು ನಿಮ್ಮನ್ನು ರಕ್ಷಿಸಲು ಬಯಸುತ್ತೇನೆ	I want to defend you.
ಅವರು ನನಗೆ ಬೆಂಬಲ ನೀಡಿದರು	They gave me support.
ನಮಗೆ ನಿಮ್ಮ ಬೆಂಬಲ ಬೇಕು	We need your support.
ಅವರು ಯೋಜನೆಯನ್ನು ವಿರೋಧಿಸುತ್ತಾರೆ	They oppose the plan.
ಎಲ್ಲರೂ ಇದನ್ನು ವಿರೋಧಿಸುತ್ತಾರೆ	Everyone opposes this.
ಅದು ಒಂದು ದೊಡ್ಡ ಸವಾಲು	That is a big challenge.
ನನಗೆ ಒಂದು ಸವಾಲು ನೀಡಿ	Give me a challenge.
ನನಗಿರುವ ಅನುಮಾನ ದೊಡ್ಡದು	The doubt I have is big.
ನಿಮಗೆ ಅನುಮಾನ ಇದೆಯೇ	Do you have a doubt?
ಇದು ದೊಡ್ಡ ವಿವಾದ	This is a big dispute.
ಅವರು ವಿವಾದ ಮಾಡಿದರು	They disputed.
ಅದು ಮಾತಿಗೆ ವ್ಯತಿರಿಕ್ತ	That is contradictory to the words.
ಅವರು ಹೇಳಿದ್ದು ವ್ಯತಿರಿಕ್ತ	What they said is contradictory.
ಅವಸರವಾಗಿ ಅದನ್ನು ತಿರಸ್ಕರಿಸಿ	Reject it hastily.
ಅವರು ಆ ಪ್ರಸ್ತಾಪವನ್ನು ತಿರಸ್ಕರಿಸಿ	They reject that proposal.
ಅದನ್ನು ದಯವಿಟ್ಟು ಸ್ವೀಕರಿಸಿ	Please accept it.
ಅವರು ಉಡುಗ禮ವನ್ನು ಸ್ವೀಕರಿಸಿ	They accept the gift.
ತಪ್ಪನ್ನು ಅಂಗೀಕರಿಸು	Acknowledge the mistake.
ಅವನು ಸತ್ಯವನ್ನು ಅಂಗೀಕರಿಸು	He acknowledge the truth.
ತಪ್ಪನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಿ	Admit the mistake.
ನಿಜವನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಿ	Admit the truth.
ಅವರು ಹೀಗೆ ತೀರ್ಮಾನಿಸುತ್ತಾರೆ	They conclude like this.
ಅವರು ಕೊನೆಯಲ್ಲಿ ತೀರ್ಮಾನಿಸುತ್ತಾರೆ	They conclude at the end.
ಅದನ್ನು ನೋಡಿ ಊಹಿಸಿ	Look at it and infer.
ಅವರು ಸರಿಯಾಗಿ ಊಹಿಸಿ	They infer correctly.
ಈ ಮಾತುಗಳು ಏನನ್ನು ಸೂಚಿಸುತ್ತವೆ	What do these words imply?
ಅವರ ನಗು ಏನನ್ನು ಸೂಚಿಸುತ್ತವೆ	What does their smile imply?
ಅವರು ಸರಿಯಾಗಿ ನಿರ್ಣಯಿಸಿ	They deduce correctly.
ಅವರು ಕಾರಣವನ್ನು ನಿರ್ಣಯಿಸಿ	They deduce the reason.
ಅದನ್ನು ಉದಾಹರಣೆಯ ಮೂಲಕ ವಿವರಿಸಲು ಪ್ರಯತ್ನಿಸಿ	Try to illustrate with an example.
