#NAME?	#اسم؟
(1) (Japanese) maple	(1) (اليابانية) القيقب
buta no niku wo tabemasu.	بوتا نو نيكو وو تابيماسو.
buta wa hayaku arukimasu.	بوتا وا هاياكو أروكيماسو.
byouin de hatarakimasu	بيوين دي هاتاراكيماسو
byouin ni ikimashita	بيوين ني إيكيماشيتا
byouin ni ikimasu.	بيوين ني إيكيماسو.
byouin ni tsurete itte kudasai.	byouin ni tsurete itte kudasai.
byouin wa doko desu ka.	بيوين وا دوكو ديسو كا.
byouki no tame ni, shigoto wo yasumimashita	بيوكي نو تامي ني، شيجوتو وو ياسوميماشيتا
can + base verb for ability or permission. Negative: can't (cannot).	can + الفعل الأساسي للقدرة أو الإذن. سلبي: لا أستطيع (لا أستطيع).
can / can't — ability	يستطيع / لا يستطيع - القدرة
can / could — ability & permission	يمكن / يمكن - القدرة والإذن
chaaJaa wo wasuremashita.	chaaJaa wo Wasuremashita.
chekkuauto wa nanji desu ka.	chekkuauto wa nanji desu ka.
chekkuin wo onegaishimasu.	chekkuin wo onegaiشيماسو.
chichi no kuruma wa akai desu	شيشي نو كوروما وا أكاي ديسو
chichi wa daigaku de hataraite imasu	شيشي وا ديغاكو دي هاتارايت إيماسو
chichi wa se ga takakunai desu.	شيشي وا سي جا تاكاكوناي ديسو.
chichi wa shigoto wo shite imasu.	شيشي وا شيجوتو وو شيتي إيماسو.
chiisai mise de kaimashita.	تشيساي ميس دي كيماشيتا.
chikatetsu ga benri desu.	تشيكاتيتسو جا بينري ديسو.
chizu wo misete moraemasu ka.	Chizu wo Misete Moraemasu ka.
chizu wo moraemasu ka.	تشيزو وو موراميسو كا.
chotto matte kudasai	شوتو ماتي كوداساي
chotto matte kudasai.	شوتو ماتي كوداساي.
chotto ookii desu.	chotto okii desu.
choudai suru	تشوداي سورو
chourei bokat	chorei bokat
chuumon suru	تشومون سورو
comparatives & superlatives — -er / -est / more / most	المقارنة وصيغ التفضيل -er/-est/more/most
comparatives — -er / more	المقارنات — -إيه / أكثر
conditionals — if... then...	الشرطية - إذا ... ثم ...
could / would / may — polite requests	يمكن / قد / قد - طلبات مهذبة
counters — counting things	عدادات - عد الأشياء
daidokoro de ryouri wo shimasu.	ديوكورو دي ريوري وو شيماسو.
daidokoro ni reizouko ga arimasu.	ديدوكورو ني ريزوكو جا أريماسو.
daidokoro wa semai desu.	ديدوكورو وا سيماي ديسو.
daidou shou'i	ديدو شوي
daigaku de kenkyuu shimasu	دايجاكو دي كينكيو شيماسو
daigakusei desu.	daigakusei desu.
daijoubu desu	دايجوبو ديسو
daijoubu desu ka	دايجوبو ديسو كا
daijoubu desu ka.	دايجوبو ديسو كا.
daijoubu desu.	دايجوبو ديسو.
dainingu ruumu	dainingu ruumu
daisuki desu	دايسوكي ديسو
daisuki desu.	دايسوكي ديسو.
daitai sen en desu.	دايتاي سين أون ديسو.
danjo wo towazu, sanka dekimasu	دانجو وو توازو، سانكا ديكيماسو
dansu wo odorimashou.	دانسو وو أودوريماشو.
dare ga kimashita ka	يجرؤ جا كيماشيتا كا
dare ga kimashita ka.	يجرؤ جا كيماشيتا كا.
dare ga kono keeki o tsukurimashita ka	يجرؤ على كونو كيكي أو تسوكوريماشيتا كا
dare to ryokou shimasu ka	يجرؤ على ريوكو شيماسو كا
dare to shaberimashita ka	يجرؤ على shaberimashita كا
dareka ni denwa shite kudasai.	داريكا ني دينوا شيت كوداساي.
daremo inai heya e hairimashita	Daremo Inai Heya E Hairimashita
definite article	مقالة محددة
denki ga tsuite imasu	denki ga tsuite imasu
denki ga tsukimasen.	دنكي جا تسوكيماسين.
denki wo kesu	دينكي وو كيسو
denki wo tsukeru	دينكي وو تسوكيرو
densha de ikimashou	دينشا دي إيكيماشو
densha de ikimasu	دينشا دي إيكيماسو
densha de kaisha ni ikimasu	دينشا دي كايشا ني إيكيماسو
densha de kaisha ni ikimasu.	دينشا دي كايشا ني إيكيماسو.
densha ga okurete imasu.	densha ga okurete imasu.
densha ni okuremashita	densha ni okuremashita
densha no naka de hon wo yomimasu.	دينشا نو ناكا دي هون وو يوميماسو.
densha wa basu yori hayai desu	دينشا وا باسو يوري هاياي ديسو
densha wa hayai desu.	دينشا وا هاياي ديسو.
denshi renji	دينشي رينجي
denwa bangou o oshiete kudasai	دينوا بانغو أو أوشيتي كوداساي
denwa bangou wo oshiete kudasai.	دينوا بانغو وو أوشيتي كوداساي.
denwa ga kikoemasen.	denwa ga kikoemasen.
denwa ga natte imasu.	denwa ga natte imasu.
denwa shite kudasai	denwa shite kudasai
denwa shite kudasai.	denwa shite kudasai.
denwa suru	denwa suru
denwa to meeru de tsutaemasu	denwa إلى meeru de tsutaemasu
denwa wo kakemasu.	دينوا وو كاكيماسو.
denwa wo kakeru	دينوا وو كاكيرو
denwa wo kiru	دينوا وو كيرو
denwabangou wo kiite mo ii desu ka.	denwabangou wo kiite mo ii desu ka.
depaato wa doko desu ka.	depaato wa doko desu ka.
dewa, sayounara.	ديوا سايونارا.
dezaato wa arimasu ka.	dezaato wa arimasu ka.
do / does / did — the helper verb	يفعل / يفعل / فعل - الفعل المساعد
do / does — asking questions	افعل / يفعل - طرح الأسئلة
doa o shimemasu	دعاء يا شيماسو
doa o shimete kudasai	دعاء يا شيميت كوداساي
doa wo akemashou ka	دعاء وو أكيماشو كا
doa wo shimeru	دعاء وو شيميرو
doa wo shimete kudasai.	دعاء وو شيميت كوداساي.
dochira e ikimasu ka	dochira e ikimasu ka
dochira ga ii desu ka	dochira ga ii desu ka
dochira ga suki desu ka	dochira ga suki desu ka
dochira ka to ieba	دوشيرا كا إلى إيبا
dochira kara desu ka	dochira كارا ديسو كا
doko de shusshin desu ka	دوكو دي شوشين ديسو كا
doko desu ka.	دوكو ديسو كا.
doko e ikimashita ka	دوكو إي إيكيماشيتا كا
doko kara kimashita ka	دوكو كارا كيماشيتا كا
doko ni ikimasu ka.	دوكو ني إيكيماسو كا.
doko ni sunde imasu ka.	دوكو ني سوندي إيماسو كا.
doko no kuni no hito desu ka	دوكو نو كوني لا هيتو ديسو كا
doko no shusshin desu ka.	دوكو نو شوشين ديسو كا.
dokoro ka	دوكورو كا
donna ongaku ga suki desu ka.	دونا أونجاكو جا سوكي ديسو كا.
dore ga anata no hon desu ka	دوري جا أناتا نو هون ديسو كا
dore ga ichiban suki desu ka	دوري جا إيشيبان سوكي ديسو كا
dore ga ichiban yasui desu ka	دوري جا إيشيبان ياسوي ديسو كا
dore to dore o kurabemasu ka	دوري إلى دوري أو كورابيماسو كا
dou desu ka.	دو ديسو كا.
dou itashimashite	dou itashimashite
dou itashimashite.	dou itashimashite.
dou omoimasu ka.	دو أومويماسو كا.
dou sureba ii desu ka.	دو سوريبا الثاني ديسو كا.
doubutsuen ni zou ga imasu.	doubutsuen ni zou ga imasu.
douzo yoroshiku	دوزو يوروشيكو
e + d (live→lived)	ه + د (يعيش → عاش)
e o ichimai kakimashita	إي أو إيشيماي كاكيماشيتا
e o kakimasu	إي أو كاكيماسو
e o kakitai desu	e o kakitai desu
e wo kaku	إي وو كاكو
egao no kao ga suki desu.	egao no kao ga suki desu.
eieitiiemu wa doko desu ka.	eieitiiemu wa doko desu ka.
eiga kantoku	eiga kantoku
eiga o mimashou	إيجا أو ميماشو
eiga o mimasu	إيجا أو ميماسو
eiga o mitai desu	إيجا أو ميتاي ديسو
eiga wo mi ni ikimasen ka.	إيغا وو مي ني إيكيماسين كا.
eiga wo mimasu.	إيغا وو ميماسو.
eiga wo miru	إيغا وو ميرو
eigakan de eiga wo mimashita.	eigakan de eiga wo mimashita.
eigo de hanasemasu ka	إيغو دي هاناسيماسو كا
eigo ga hanasemasen	eigo ga hanasemasen
eigo ga wakarimasu ka.	eigo ga wakarimasu ka.
eigo ga yomemasu	eigo ga yomemasu
eigo wa nihongo yori yasashii desu	eigo wa nihongo yori yasashii desu
eki de densha wo machimasu.	إيكي دي دينشا وو ماتشيماسو.
eki de tomodachi ni aimashita	eki de tomodachi ni aimashita
eki de tomodachi o machimasu	eki de tomodachi أو machimasu
eki e mukaimasu	إيكي إي موكايماسو
eki made aruite ikimasu	إيكي صنع أرويت إيكيماسو
eki ni densha ga tomatte imasu	eki ni densha ga tomatte imasu
eki ni ikimasu	إيكي ني إيكيماسو
eki ni tsukimashita.	إيكي ني تسوكيماشيتا.
eki no chikaku ni hoteru ga arimasu	إيكي نو تشيكاكو ني هوتيرو جا أريماسو
eki no mae de aimashou.	eki no mae de aimashou.
eki wa doko desu ka.	إيكي وا دوكو ديسو كا.
eki wa koko kara chikai desu.	إيكي وا كوكو كارا تشيكاي ديسو.
ekusukyuuzu mii	ekusukyuuzu mii
emerarudo guriin	اميرارودو جوريين
en:	ar:
enjinia desu.	enjinia desu.
enough + noun. Negative form: not + adj + enough (not old enough).	كافية + اسم. صيغة النفي: not + adj + كافية (ليست كبيرة بما يكفي).
enpitsu o yonhon kudasai	إنبيتسو أو يونهون كوداساي
epA1-a	epA1-أ
epA1-b	epA1-ب
epA1-c	epA1-ج
epA1-d	epA1-د
epA1-e	epA1-e
epA1-f	epA1-و
epA1-g	epA1-ز
epA1-h	epA1-ح
epA1-i	epA1-i
epA1-j	epA1-ي
epA2-a	epA2-أ
epA2-b	epA2-ب
epA2-c	epA2-ج
epA2-d	epA2-د
epA2-e	epA2-e
epA2-f	epA2-f
epA2-g	epA2-ز
epA2-h	epA2-ح
epA2-i	epA2-i
epA2-j	epA2-ي
epB1-a	epB1-أ
epB1-b	epB1-ب
epB1-c	epB1-ج
epB1-d	epB1-د
epB1-e	epB1-ه
epB1-f	epB1-و
epB1-g	epB1-ز
epB1-h	epB1-ح
epB1-i	epB1-i
epB1-j	epB1-ي
epB2-a	epB2-أ
epB2-b	epB2-ب
epB2-c	epB2-ج
epB2-d	epB2-د
epB2-e	epB2-ه
epB2-f	epB2-و
epB2-g	epB2-ز
epB2-h	epB2-ح
epB2-i	epB2-i
epB2-j	epB2-ي
epC1-a	epC1-أ
epC1-b	epC1-ب
epC1-c	epC1-ج
epC1-d	epC1-د
epC1-e	epC1-e
epC1-f	epC1-و
epC1-g	epC1-ز
epC1-h	epC1-ح
epC2-a	epC2-أ
epC2-b	epC2-ب
epC2-c	epC2-ج
epC2-d	epC2-د
epC2-e	epC2-e
epC2-f	epC2-f
epC2-g	epC2-ز
es after s/sh/ch/x (boxes, watches)	es بعد s/sh/ch/x (الصناديق والساعات)
esa wo yaru	عيسى وو يارو
faa zaa	فا زا
fast / early	سريع / مبكر
five children	خمسة أطفال
foo su	فو سو
for + a period (for three years); since + a starting point (since 2020). Used with present perfect.	لمدة + (لمدة ثلاث سنوات)؛ منذ + نقطة البداية (منذ 2020). تستخدم مع المضارع التام .
for / since — how long	لـ / منذ - إلى متى
fourth sign of Chinese zodiac (The Hare 5am-7am east February)	العلامة الرابعة من الأبراج الصينية (الأرنب من 5 صباحًا حتى 7 صباحًا شرق فبراير)
fudan wa nanji ni okimasu ka.	فودان وا نانجي ني أوكيماسو كا.
fui ni	فوي ني
fuku wo araimasu.	فوكو وو أريماسو.
fuku wo kimasu.	فوكو وو كيماسو.
furo wo wakasu	فورو وو واكاسو
furui machi ga suki desu.	فوروي ماتشي جا سوكي ديسو.
furusato ni kaeritai desu	furusato ni kaeritai desu
futatsu de ikura desu ka.	فوتاتسو دي إيكورا ديسو كا.
futou fukutsu	فوتو فوكوتسو
future continuous — will be doing	المستقبل المستمر - سوف تفعل
future perfect — will have done	المستقبل المثالي - سوف يكون قد فعل
fuutou o juumai kudasai	fuutou o juumai kudasai
fuyu ni mikan wo tabemasu.	فويو ني ميكان وو تابيماسو.
fuyu ni natte kimashita ne	فويو ني ناتي كيماشيتا ني
fuyu no yama wa totemo kirei desu	فويو نو ياما وا توتيمو كيري ديسو
fuyu wa hi ga mijikai desu.	Fuyu wa hi ga mijikai desu.
fuyu wa samui desu.	فويو وا ساموي ديسو.
ga hoshii desu	جا هوشي ديسو
gakkou de nihongo o oshiemasu	جاكو دي نيهونغو أو أوشيماسو
gakkou e iku	gakkou e iku
gakkou e okurete ikimasu	gakkou e okurete ikimasu
gakkou ni ikimasu	جاكو ني إيكيماسو
gakkou ni ikimasu.	جاكو ني إيكيماسو.
gakkou no sensei ga kimashita	جاكو نو سينسي جا كيماشيتا
gakkou no sensei wa yasashii desu.	جاكو لا سينسي وا ياساشي ديسو.
gakkou wa eki no chikaku desu	gakkou wa eki no chikaku desu
gakkou wa nanji kara desu ka.	جاكو وا نانجي كارا ديسو كا.
gakkou wa nanji ni hajimarimasu ka.	جاكو وا نانجي ني هاجيماريماسو كا.
gakkou wa yasumi deshita	جاكو وا ياسومي ديشيتا
gakusei no toki, nihon ni sunde imashita	جاكوسي نو توكي، نيهون ني سوندي إيماشيتا
gakusei wa gakkou de benkyou shimasu.	جاكوسي وا جاكو دي بنكيو شيماسو.
ganbatte kudasai	جانباتي كوداساي
gasorin wo irete kudasai.	جاسورين وو إيريتي كوداساي.
geemu bakari shite imasu	جيمو باكاري شيتي إيماسو
genki desu	جينكي ديسو
genki desu, arigatou.	جينكي ديسو، أريغاتو.
genki ippai desu.	جينكي إيباي ديسو.
genkin de haraimasu.	جينكين دي هاريماسو.
getsuyoubi kara kin'youbi made desu	getsuyoubi kara kin'youbi صنع desu
getsuyoubi ni benkyou shimasu	getsuyoubi ni benkyou SHIMASU
getsuyoubi ni kaigi ga arimasu.	getsuyoubi ni kaigi ga arimasu.
getsuyoubi ni shigoto ga hajimarimasu.	getsuyoubi ni shigoto ga hajimarimasu.
getsuyoubi wa isogashii desu.	getsuyoubi wa isogashii desu.
gin'iro	جينيرو
ginkou de okane wo oroshimasu.	جينكو دي أوكاني وو أوروشيماسو.
ginkou de oroshimasu.	جينكو دي أوروشيماسو.
ginkou ni ikimasu.	جينكو ني إيكيماسو.
ginkou wa doko desu ka.	جينكو وا دوكو ديسو كا.
ginkou wa eki no tonari desu	جينكو وا إيكي نو توناري ديسو
ginkou wa eki no tonari ni arimasu	جينكو وا إيكي نو توناري ني أريماسو
ginkou wa goji ni shimarimasu.	جينكو وا غوجي ني شيماريماسو.
ginkou wa nanji ni akimasu ka.	جينكو وا نانجي ني أكيماسو كا.
gitaa ga hikemasu	gitaa ga hitmasu
go out	اخرج
goaisatsu moushiagemasu	goaisatsu moushiagemasu
goannai ni naru	غواناي ني نارو
goannai suru	goannai suru
gochisousama deshita	جوتشيسوساما ديشيتا
gochuumon wa	gochuumon وا
gofumei na ten	gofumei على عشرة
gogo sanji	جوجو سانجي
gogo sanji ni aimashou	جوجو سانجي ني اماشو
gohan o nihai kudasai	غوهان أو نيهاي كوداساي
gohan o tabetara, dekakemasu	غوهان أو تابيتارا، ديكاكيماسو
gohan o tsukurimasu	غوهان أو تسوكوريماسو
gohan o tsukutte imasu	غوهان أو تسوكوتي إيماسو
gohan wa mou tabemashita.	غوهان وا مو تابيماشيتا.
gohan wo mou ippai kudasai.	غوهان وو مو إيباي كوداساي.
gohan wo tabemasu.	غوهان وو تابيماسو.
gohan wo tabenagara hanasanaide kudasai	غوهان وو تابيناجارا هاناسانايد كوداساي
gohoukoku ni naru	gohoukoku ني نارو
gohoukoku suru	gohoukoku سورو
goichidoku kudasai	goichidoku kudasai
goichidou sama	جويشيدو سما
going to = plans and evidence; will = decisions made now, predictions and promises. I'll help you.	الذهاب إلى = الخطط والأدلة؛ سوف = القرارات المتخذة الآن، والتنبؤات والوعود. سأساعدك.
going to — future plans	الذهاب إلى — الخطط المستقبلية
going to — plans & intentions	الذهاب إلى - الخطط والنوايا
gokakunin kudasai	جوكاكونين كوداساي
gokeiken ni narimasu	gokeiken ni narimasu
gokentou kudasai	gokentou كوداساي
gokouran kudasai	gokoran كوداساي
gomeiwaku wo okake shimasu	جوميواكو وو أوكاكي شيماسو
gomi wo dashite kudasai.	جومي وو داشيت كوداساي.
gomi wo suteru	جومي وو سوتيرو
goran itadaku	جوران ايتاداكو
goran kudasai	جوران كوداساي
goran ni naru	جوران ني نارو
gorenraku ni naru	جورينراكو ني نارو
gorenraku suru	جورينراكو سورو
gori muchuu	جوري موتشو
gosanka ni naru	جوسانكا ني نارو
gosashuu kudasai	gosashuu kudasai
gosen en desu.	gosen en desu.
gosetsumei ni naru	gosetsumei ni naru
gosetsumei suru	gosetsumei suru
goshoukai ni naru	goshoukai ني نارو
goshoukai suru	goshoukai سورو
goshusseki ni naru	goshusseki ني نارو
gosokurou itadaku	gosokurou itadaku
gosoudan suru	جوسودان سورو
gotaiou itadaku	gotaiou itadaku
goyoui suru	goyoui suru
goyousha kudasai	جويوشا كوداساي
gozen kuji	جوزين كوجي
guddo rakku	جودو راكو
gurandofaa zaa	gurandofaa zaa
gyouza wo tabetai desu.	gyouza wo tabetai desu.
gyuunyuu de koohii o tsukurimasu	gyuunyuu de koohii أو تسوكوريماسو
gyuunyuu o katte kite kudasai	gyuunyuu o katte kite kudasai
ha ga itai	ها جا إيتاي
ha ga itai desu.	ها جا إيتاي ديسو.
ha wo migaku	ها وو ميجاكو
habu a guddo dei	habu a guddo dei
hachiji ni asagohan o tabemasu	hachiji ni asagohan o tabemasu
hachiji ni ie wo demasu.	hachiji ni ie wo demasu.
haha ni tegami wo kaite agemasu	هاها ني تيجامي وو كايت أجيماسو
haha no tsukutta ryouri ga daisuki desu	هاها نو تسكوتا ريوري جا دايسوكي ديسو
haha to kaimono ni ikimashita	هاها إلى كايمونو ني إيكيماشيتا
haha wa genki desu	هاها وا جينكي ديسو
haha wa ryouri ga jouzu desu.	هاها وا ريوري جا جوزو ديسو.
haha wa yasashii desu.	هاها وا ياساشي ديسو.
hai sou desu	هاي سو ديسو
hai, ashita koremasu	هاي، أشيتا كوريماسو
hai, oyogemasu	مرحبًا، أويوجيماسو
hai, wakarimashita	هاي واكاريماشيتا
haiken suru	هايكن سورو
haishaku suru	هايشاكو سورو
haisui no jin	هايسوي نو جين
haitte mo ii desu ka	هايتي مو الثاني ديسو كا
hajime ni	هاجيمي ني
hajimemashite. doko kara kimashita ka.	hajimemashite. دوكو كارا كيماشيتا كا.
hajimemashite. watashi wa maiku desu.	hajimemashite. واتاشي وا مايكو ديسو.
hajimemashite. yoroshiku onegai shimasu.	hajimemashite. يوروشيكو أونيجاي شيماسو.
hana ga sakimashita	هانا جا ساكيماشيتا
hana ga sakimashita.	هانا جا ساكيماشيتا.
hana ni mizu wo agemasu.	هانا ني ميزو وو أجيماسو.
hana to ongaku ga suki desu	هانا إلى أونجاكو جا سوكي ديسو
handan suru	هاندان سورو
hanjikan ato desu.	hanjikan ato desu.
hankou suru	هانكو سورو
happii baasudee	happii baasudee
happii nyuu iyaa	happii nyuu iyaa
hare nochi ame	هير نوتشي آمي
haru ni naru to atatakaku narimasu.	هارو ني نارو إلى أتاتاكاكو ناريماسو.
hasami de kami o kirimasu	هاسامي دي كامي أو كيريماسو
hashitte imasu	hashitte imasu
hau zu itto goingu	هاو زو إيتو ذاهب
hauaa yuu	هاوا يوو
have / has — possession	لديك / لديها - حيازة
have to + base verb (he/she/it: has to). Negative: mustn't (= not allowed), don't have to (= not necessary).	يجب أن + الفعل الأساسي (هو / هي / هو: يجب أن). سلبي: لا يجب (= غير مسموح)، لا يجب (= غير ضروري).
hayaku nereba, hayaku okiraremasu	هاياكو نيريبا، هاياكو أوكيراريماسو
hayaku netai desu	hayaku netai desu
hayaku nete kudasai	hayaku nete kudasai
he/she/it is. Contractions: I'm, you're, she's. Negative: am not, isn't, aren't.	هو / هي / هو. التقلصات: أنا، أنت، هي. سلبي: لست، لست، لست كذلك.
hebi wa kowai desu.	هيبي وا كواي ديسو.
hebi wa nagai desu.	حبي و ناجاي ديسو.
heya ni hairimasu.	هيا ني هيرماسو.
heya no kii wo kudasai.	هيا نو كيي وو كوداساي.
heya wa kirei desu.	هيا وا كيري ديسو.
heya wo kaete mo ii desu ka.	Heya wo kaete mo ii desu ka.
heya wo kirei ni shite kudasai.	هيا وو كيري ني شيتي كوداساي.
heya wo souji shimasu.	هيا وو سوجي شيماسو.
hi ga tatsu	مرحبا جا تاتسو
hidari e magatte kudasai	هيداري إي ماجاتي كوداساي
hidari ni magatte kudasai.	هيداري ني ماجاتي كوداساي.
hiite wa	هايتي وا
hikouki de nihon ni ikimasu.	هيكوكي دي نيهون ني إيكيماسو.
hikouki no chiketto wo kaimashita.	هيكوكي نو شيكيتو وو كايماشيتا.
hikouki wa sora wo tonde imasu.	هيكوكي وا سورا وو توندي إيماسو.
hima to wa ie, mainichi nete iru wake ni wa ikimasen	Hima to wa ie, mainichi nete iru Wake ni wa ikimasen
hiru gohan wo tabemasu.	هيرو جوهان وو تابيماسو.
hiru ni kouen ni ikimasu.	هيرو ني كوين ني إيكيماسو.
hiru wa atsui desu.	هيرو وا اتسوي ديسو.
hirugohan o tabe ni ikimashou	هيروغهان أو تاب ني إيكيماشو
hirugohan wa itsumo hayame desu.	هيروغوهان وا إيتسومو هايامي ديسو.
hiruyasumi ni tomodachi to asobimasu.	hiruyasumi ni tomodachi إلى asobimasu.
historic ruins (remains relics)	الآثار التاريخية (بقايا الآثار)
hito ga futari kimashita	هيتو جا فوتاري كيماشيتا
hitokoto de ieba	هيتوكوتو دي إيبا
hitori de yama e ikimashita	هيتوري دي ياما إيكيماشيتا
hitsuji ga ippiki imasu.	hitsuji ga ippiki imasu.
hitsuji no ke wa fuwafuwa desu.	hitsuji no ke wa fuwafuwa desu.
hitsuji wa shiroi desu.	هيتسوجي وا شيروي ديسو.
hon ga arimasu	هون جا أريماسو
hon ga hoshii desu	هون جا هوشي ديسو
hon o issatsu kaimashita	هون أو إيساتسو كاياشيتا
hon o yomimasu	هون يا يوميماسو
hon o yonde imasu	هون يا يوندي إيماسو
hon o yonde, repooto o kakimasu	عزيزي يا هناك، أعدك يا كاكيماسو
hon to pen o kaimashita	هون إلى القلم يا kaimashita
hon wo kashimashita.	هون وو كاشيماشيتا.
hon wo yomimasu.	هون وو يوميماسو.
hon wo yomu	هون وو يومو
hon wo yonde shimaimashita	هون وو يوندي شيمايماشيتا
honmatsu tentou	هونموتسو تينتو
hontou desu ka	هونتو ديسو كا
hoshi ga kagayaite imasu.	هوشي جا كاجايايت إيماسو.
hoshi wo mite negai wo kakemasu.	هوشي وو ميت نيغاي وو كاكيماسو.
hoteru ni tomarimasu	hoteru ni tomarimasu
hoteru no hito	hoteru لا هيتو
hotto suru	هوتو سورو
hyaku en desu.	هياكو أون ديسو.
hyaku made kazoeraremasu.	هياكو صنع كازويراريماسو.
hyappatsu hyakuchuu	هياباتسو هياكوتشو
hyotto suru to	هيوتو سورو ل
ichi kara juu made kazoete kudasai.	صنع إيتشي كارا جو كازوتي كوداساي.
ichi, ni, san.	إيتشي، ني، سان.
ichi, ni, san…	إيتشي، ني، سان...
ichiban chikaku	إيشيبان شيكاكو
ichiban suki na no wa raamen desu	إيشيبان سوكي نا نو وا رامن ديسو
ichiban suki na tabemono wa nan desu ka	ichiban suki na tabemono wa nan desu ka
ichiban suki na tabemono wa nani desu ka.	ichiban suki na tabemono wa nani desu ka.
ichiban suki na yume wa nan desu ka	إيشيبان سوكي نا يومي وا نان ديسو كا
ichigo ga suki desu.	إيتشيغو جا سوكي ديسو.
ichigo ichie	إيتشيغو إيتشي
ichigo no keeki wo tabemashita.	إيتشيغو نو كيكي وو تابيماشيتا.
ichigo wa akai desu.	إيتشيغو وا أكاي ديسو.
ichijitsu senshuu	إيتشيجيتسو سينشو
ichimou dajin	إيشيمو داجين
ie de gohan wo tabemasu.	أي دي غوهان وو تابيماسو.
ie ni kaerimasu	أي ني كاريماسو
ie ni kaerimasu.	أي ني كاريماسو.
ie no chikaku ni kouen ga arimasu.	أي لا تشيكاكو ني كوين جا أريماسو.
ie no mae ni kuruma ga tomatte imasu	أي لا ماي ني كوروما جا تومات إيماسو
ie no naka	أي لا ناكا
if + past, would + verb.\nTIP: the if-clause can come first or last. When it comes first, put a comma after it.	إذا + ماضي، سيكون + فعل.\nنصيحة: يمكن أن تأتي جملة if أولاً أو أخيرًا. عندما يأتي أولا، ضع فاصلة بعده.
if + present, will + verb	إذا + حاضر، سوف + فعل
igai ni	إيجاي ني
ii aidea desu ne.	ثانيا مساعدة ديسو ني.
ii desu ka	الثاني ديسو كا
ii desu ne.	ثانيا desu ne.
ii nyuusu o kikimashita	ii نيوسو أو كيكيماشيتا
ii to omoimasu.	الثاني إلى أومويماسو.
iie, mada desu	أي مادا ديسو
iie, motte imasen	أي موت إيماسن
ikki ichiyuu	ikki ichiyuu
ikkou ni	ikko ni
ikkyo ryou toku	ikkyo ريو توكو
ikura desu ka	إيكورا ديسو كا
ikura desu ka.	إيكورا ديسو كا.
ima doko ni sunde imasu ka.	إيما دوكو ني سوندي إيماسو كا.
ima goji desu.	إيما غوجي ديسو.
ima goji han desu	إيما غوجي هان ديسو
ima gozen kuji desu.	أنا جوزين كوجي ديسو.
ima isogashii desu.	Ima isogashii desu.
ima nanji	إيما نانجي
ima nanji desu ka	إيما نانجي ديسو كا
ima nanji desu ka, tokei wo mite kudasai.	ima nanji desu ka، tokei wo mite kudasai.
ima nanji desu ka.	إيما نانجي ديسو كا.
ima nannen desu ka	إيما نانن ديسو كا
ima shawaa o abite imasu	أنا شاوا أو أبيت إيماسو
imada ni	عمادا ني
imaginary situations — 'If I were...'	مواقف خيالية - "لو كنت..."
imouto ga imasu.	imouto ga imasu.
imouto to asobimasu.	إيموتو إلى أسوبيماسو.
imouto wa kawaii desu.	imouto wa kawaii desu.
imouto wa odori ga suki desu.	imouto wa odori ga suki desu.
in / on / at — prepositions of place & time	in / on / at - حروف الجر للمكان والزمان
in / on / at — prepositions of time & place	in / on / at - حروف الجر للزمان والمكان
in light of, in terms of, with regard to, on behalf of, in accordance with.	في ضوء، فيما يتعلق، نيابة عن، وفقا ل.
indefinite article	مقالة غير محددة
indo jin desu	إندو جين ديسو
indo kara kimashita.	إندو كارا كيماشيتا.
indo no tabemono wa karai desu	إندو نو تابيمونو وا كاراي ديسو
infinitive marker	علامة المصدر
intaanetto de shirabemasu.	إنتانيتو دي شيرابيماسو.
inu ga imasu	إينو جا إيماسو
inu ga nihiki imasu	إينو جا نيهيكي إيماسو
inu to sanpo ni ikimasu.	اينو إلى سانبو ني إيكيماسو.
inu to sanpo shimasu	اينو إلى سانبو شيماسو
inu wa kawaii desu	اينو وا كاواي ديسو
inu wo katte imasu.	إينو وو كاتي إيماسو.
iraira suru	إيريرا سورو
irimasu ka	إيريماسو كا
irregulars (child→children, man→men, foot→feet).	غير النظامية (الطفل → الأطفال، الرجل → الرجال، القدم → القدمين).
irregulars (go→went, eat→ate, see→saw, have→had).	غير النظامية (اذهب → ذهب، أكل → أكل، انظر → رأى، → كان).
isha ni mite moraimashita.	العشاء ني العث موريماشيتا.
isha ni mite moraimasu.	العشاء ني العث مورايماسو.
isha toshite aru majiki koui desu	العشاء توشيت أرو ماجيكي كوي ديسو
ishin denshin	ايشين دينشين
isogashikereba, ikimasen	إيزوغاشيكيريبا، إيكيماسين
isogeba, maniaimasu yo	إيزوجيبا، مانيايماسو يو
isseki nichou	isseki nicho
issho ni gohan wo tabemashou.	issho ni gohan wo tabemashou.
issho ni kaerimashou	issho ni kaerimashou
issho ni shashin wo torimashita.	issho ni shashin wo torimashita.
issho ni tabemasen ka	issho ni tabemasen ka
issho ni tabemashou	issho ni tabemashou
issho ni tabemashou ka	issho ni tabemashou ka
isu ga nikyaku arimasu	isu ga nikyaku arimasu
isu ni suwatte imasu	isu ni suwatte imasu
itai toki wa isha ni ikimasu.	إيتاي توكي وا إيشا ني إيكيماسو.
itsu demo ii desu.	itu التجريبي الثاني desu.
itsu hima desu ka.	إيتسو هيما ديسو كا.
itsu nihon ni ikimasu ka.	إيتسو نيهون ني إيكيماسو كا.
