#NAME?	#NAME?
(1) (Japanese) maple	(1) (Japanischer) Ahorn
Salt water from the sea stung.	Salzwasser aus dem Meer schmerzte.
Saturday is my favorite day.	Samstag ist mein Lieblingstag.
Save your money for later.	Sparen Sie Ihr Geld für später.
Say hello to your mother.	Sag deiner Mutter Hallo.
Say hi to your sister.	Sag deiner Schwester Hallo.
Say it one more time.	Sag es noch einmal.
School & study	Schule & Studium
School & work	Schule & Arbeit
School, hospital, bank, station — find your way around.	Schule, Krankenhaus, Bank, Bahnhof – finden Sie sich zurecht.
School, tests, studying	Schule, Prüfungen, Lernen
Science & research	Wissenschaft und Forschung
Scientists can synthesize this protein.	Wissenschaftler können dieses Protein synthetisieren.
Scientists hypothesize about the origin.	Wissenschaftler vermuten den Ursprung.
Scientists postulate a new theory.	Wissenschaftler postulieren eine neue Theorie.
Scrub the washbasin today.	Schrubben Sie noch heute das Waschbecken.
Second conditional — if + past, would	Zweite Bedingung – if + past, would
See you again tomorrow.	Wir sehen uns morgen wieder.
See you next Thursday.	Wir sehen uns nächsten Donnerstag.
See you on Monday morning.	Wir sehen uns am Montagmorgen.
See you on Wednesday morning.	Wir sehen uns am Mittwochmorgen.
See you tomorrow afternoon.	Bis morgen Nachmittag.
See you tomorrow night.	Bis morgen Abend.
Self-Introduction	Selbstvorstellung
Send me a quick message.	Schicken Sie mir eine kurze Nachricht.
Shall we dance together?	Sollen wir zusammen tanzen?
She also speaks French.	Sie spricht auch Französisch.
She arrived out of the blue.	Sie kam aus heiterem Himmel.
She asked several questions.	Sie stellte mehrere Fragen.
She bought a new electric bike.	Sie kaufte ein neues Elektrofahrrad.
She bought a new red swimsuit.	Sie kaufte einen neuen roten Badeanzug.
She bought a new wardrobe.	Sie kaufte einen neuen Kleiderschrank.
She bought new running shoes.	Sie kaufte neue Laufschuhe.
She bought twelve red roses.	Sie kaufte zwölf rote Rosen.
She called him twice.	Sie rief ihn zweimal an.
She called me after work.	Sie rief mich nach der Arbeit an.
She calls me every week.	Sie ruft mich jede Woche an.
She came up with an idea.	Sie hatte eine Idee.
She can read very fast	Sie kann sehr schnell lesen
She changed her diet to feel better.	Sie stellte ihre Ernährung um, um sich besser zu fühlen.
She comes home at six.	Sie kommt um sechs nach Hause.
She continued to assert her innocence.	Sie beteuerte weiterhin ihre Unschuld.
She cooked ramen for dinner	Sie kochte Ramen zum Abendessen
She cracked an egg into the bowl.	Sie schlug ein Ei in die Schüssel.
She creates abstract sculptures.	Sie schafft abstrakte Skulpturen.
She cried because she lost it.	Sie weinte, weil sie es verloren hatte.
She does a lot of research.	Sie recherchiert viel.
She drives an electric car.	Sie fährt ein Elektroauto.
She earns a high annual salary.	Sie verdient ein hohes Jahresgehalt.
She failed and subsequently tried again.	Sie scheiterte und versuchte es anschließend erneut.
She failed, consequently she retook it.	Sie scheiterte, also holte sie sich den Titel zurück.
She felt a profound sense of loss	Sie verspürte ein tiefes Gefühl des Verlustes
She felt nervous during the interview.	Während des Interviews war sie nervös.
She felt scared in the dark.	Sie hatte im Dunkeln Angst.
She finally got a promotion	Endlich wurde sie befördert
She finished the work XKEYX.	Sie beendete die Arbeit XKEYX.
She found a smooth river stone.	Sie fand einen glatten Flussstein.
She gave an eloquent speech today.	Sie hat heute eine eloquente Rede gehalten.
She gave an unequivocal command.	Sie gab einen eindeutigen Befehl.
She gave the book to me.	Sie gab mir das Buch.
She gets along with her daughter-in-law.	Sie versteht sich mit ihrer Schwiegertochter.
She got a new phone.	Sie hat ein neues Telefon bekommen.
She grew up as an only child.	Sie wuchs als Einzelkind auf.
She has a blue eye.	Sie hat ein blaues Auge.
She has a degree in history.	Sie hat einen Abschluss in Geschichte.
She has a keen perception of detail.	Sie hat ein ausgeprägtes Gespür für Details.
She has a long neck.	Sie hat einen langen Hals.
She has a lot of confidence.	Sie hat viel Selbstvertrauen.
She has a lot of knowledge.	Sie hat viel Wissen.
She has a medical practice.	Sie hat eine Arztpraxis.
She has a new car.	Sie hat ein neues Auto.
She has a propensity for risk	Sie ist risikofreudig
She has a small nose.	Sie hat eine kleine Nase.
She has a sore toe.	Sie hat einen schmerzenden Zeh.
She has a strong personality.	Sie hat eine starke Persönlichkeit.
She has a very balanced perspective.	Sie hat eine sehr ausgewogene Perspektive.
She has a very bubbly personality.	Sie hat eine sehr lebhafte Persönlichkeit.
She has a very healthy lifestyle.	Sie hat einen sehr gesunden Lebensstil.
She has finished her work.	Sie hat ihre Arbeit beendet.
She has long brown hair.	Sie hat lange braune Haare.
She has two dogs.	Sie hat zwei Hunde.
She has very long hair.	Sie hat sehr lange Haare.
She held the baby in her arm.	Sie hielt das Baby in ihrem Arm.
She is a best-selling author.	Sie ist eine Bestsellerautorin.
She is a brilliant research scientist.	Sie ist eine brillante Wissenschaftlerin.
She is a corporate lawyer.	Sie ist Unternehmensanwältin.
She is a distant relative of mine.	Sie ist eine entfernte Verwandte von mir.
She is a generous person.	Sie ist eine großzügige Person.
She is a great manager.	Sie ist eine großartige Managerin.
She is a guest in our house.	Sie ist Gast in unserem Haus.
She is a hardworking medical student.	Sie ist eine fleißige Medizinstudentin.
She is a high school teacher.	Sie ist Gymnasiallehrerin.
She is a hospital volunteer.	Sie ist ehrenamtlich im Krankenhaus tätig.
She is a loving grandmother.	Sie ist eine liebevolle Großmutter.
She is a professional Olympic athlete.	Sie ist eine professionelle olympische Athletin.
She is a professional singer.	Sie ist eine professionelle Sängerin.
She is a professional wedding photographer.	Sie ist eine professionelle Hochzeitsfotografin.
She is a qualified doctor.	Sie ist eine qualifizierte Ärztin.
She is a registered nurse.	Sie ist ausgebildete Krankenschwester.
She is a spoiled granddaughter.	Sie ist eine verwöhnte Enkelin.
She is a strong advocate for kids.	Sie ist eine starke Verfechterin der Kinder.
She is a talented artist.	Sie ist eine talentierte Künstlerin.
She is a talented oil painter.	Sie ist eine talentierte Ölmalerin.
She is a talented stage actor.	Sie ist eine talentierte Bühnenschauspielerin.
She is a talented young programmer	Sie ist eine talentierte junge Programmiererin
She is a teacher.	Sie ist Lehrerin.
She is a trusted colleague.	Sie ist eine vertrauenswürdige Kollegin.
She is a university professor.	Sie ist Universitätsprofessorin.
She is a very honest character.	Sie ist eine sehr ehrliche Persönlichkeit.
She is a well-known politician.	Sie ist eine bekannte Politikerin.
She is always happy.	Sie ist immer glücklich.
She is an office worker here.	Sie ist hier Büroangestellte.
She is an only child.	Sie ist ein Einzelkind.
She is behind in her work.	Sie ist mit ihrer Arbeit im Rückstand.
She is changing her career path.	Sie ändert ihren beruflichen Weg.
She is excited about her job.	Sie ist begeistert von ihrem Job.
She is going to travel.	Sie wird reisen.
She is in a great mood.	Sie ist in bester Stimmung.
She is just a tourist here.	Sie ist hier nur eine Touristin.
She is kind; by the same token, she is firm.	Sie ist nett; aus dem gleichen Grund ist sie standhaft.
She is meticulous about her work.	Sie ist akribisch bei ihrer Arbeit.
She is my best friend.	Sie ist meine beste Freundin.
She is my business partner.	Sie ist meine Geschäftspartnerin.
She is my father's sister and aunt.	Sie ist die Schwester und Tante meines Vaters.
She is my favorite female cousin.	Sie ist meine Lieblingscousine.
She is my older sister.	Sie ist meine ältere Schwester.
She is my sister.	Sie ist meine Schwester.
She is on the verge of crying.	Sie ist kurz davor zu weinen.
She is painting the fence white.	Sie streicht den Zaun weiß.
She is sleeping.	Sie schläft.
She is someone whom I trust.	Sie ist jemand, dem ich vertraue.
She is studying French at college.	Sie studiert Französisch am College.
She is studying at the university.	Sie studiert an der Universität.
She is studying international immigration patterns.	Sie untersucht internationale Einwanderungsmuster.
She is the best in the class.	Sie ist die Klassenbeste.
She is the kindest person I know.	Sie ist die netteste Person, die ich kenne.
She is the only child.	Sie ist das einzige Kind.
She is the only daughter.	Sie ist die einzige Tochter.
She is the soccer coach.	Sie ist die Fußballtrainerin.
She is the youngest of three siblings.	Sie ist die jüngste von drei Geschwistern.
She is thirteen years old.	Sie ist dreizehn Jahre alt.
She is training as a flight attendant.	Sie macht eine Ausbildung zur Flugbegleiterin.
She is very good at dancing.	Sie kann sehr gut tanzen.
She is wearing a long skirt.	Sie trägt einen langen Rock.
She is wearing small pearl earrings.	Sie trägt kleine Perlenohrringe.
She jumped over the wall.	Sie sprang über die Mauer.
She keeps putting off the doctor	Sie schiebt den Arzt immer wieder hinaus
She knows how to swim.	Sie kann schwimmen.
She led the cleaning campaign.	Sie leitete die Reinigungskampagne.
She left her handbag on the bus.	Sie ließ ihre Handtasche im Bus liegen.
She left without saying goodbye.	Sie ging, ohne sich zu verabschieden.
She likes to sing.	Sie singt gerne.
She lives XKEYX the market.	Sie lebt XKEYX den Markt.
She looked XKEYX in the photo.	Sie sah auf dem Foto wie XKEYX aus.
She looked angry during the meeting.	Sie sah während des Treffens wütend aus.
She looked very worried today.	Sie sah heute sehr besorgt aus.
She looks very healthy and fit.	Sie sieht sehr gesund und fit aus.
She lost consciousness for a moment.	Sie verlor für einen Moment das Bewusstsein.
She loves classical music.	Sie liebt klassische Musik.
She loves her only grandchild.	Sie liebt ihr einziges Enkelkind.
She loves reading romantic poetry.	Sie liebt es, romantische Gedichte zu lesen.
She loves singing in the choir.	Sie liebt es, im Chor zu singen.
She made a bold claim.	Sie stellte eine mutige Behauptung auf.
She made a cake for us.	Sie hat einen Kuchen für uns gebacken.
She opened a small French bakery.	Sie eröffnete eine kleine französische Bäckerei.
She opened her black umbrella.	Sie öffnete ihren schwarzen Regenschirm.
She painted her bedroom blue.	Sie hat ihr Schlafzimmer blau gestrichen.
She picked a yellow flower.	Sie pflückte eine gelbe Blume.
She posted it on social media.	Sie hat es in den sozialen Medien gepostet.
She quit her job last month.	Sie hat letzten Monat ihren Job gekündigt.
She said she was tired.	Sie sagte, sie sei müde.
She sang and danced.	Sie sang und tanzte.
She sat among her friends.	Sie saß unter ihren Freunden.
She saw the movie last night.	Sie hat den Film gestern Abend gesehen.
She says hello to everyone.	Sie grüßt alle.
She sings very well.	Sie singt sehr gut.
She smiled XKEYX she was happy.	Sie lächelte XKEYX, sie war glücklich.
She smiled, and he similarly grinned.	Sie lächelte und er grinste ebenfalls.
She speaks French and, in addition, Spanish.	Sie spricht Französisch und zusätzlich Spanisch.
She spends her weekends reading	Ihre Wochenenden verbringt sie mit Lesen
She started her own business.	Sie gründete ihr eigenes Unternehmen.
She stood beside her brother.	Sie stand neben ihrem Bruder.
She studied English.	Sie hat Englisch studiert.
She studied hard; as a result, she passed.	Sie lernte fleißig; Infolgedessen hat sie bestanden.
She studies corporate finance.	Sie studiert Unternehmensfinanzierung.
She tapped him on the shoulder.	Sie klopfte ihm auf die Schulter.
She thinks you are right.	Sie denkt, dass du Recht hast.
She told her the news.	Sie erzählte ihr die Neuigkeiten.
She took my book by mistake.	Sie hat aus Versehen mein Buch mitgenommen.
She took the XKEYX place.	Sie nahm den XKEYX-Platz ein.
She used to live here.	Sie lebte früher hier.
She values honesty as a virtue.	Sie schätzt Ehrlichkeit als eine Tugend.
She walked across the road.	Sie ging über die Straße.
She walked towards the door.	Sie ging zur Tür.
She walks her dog every day.	Sie geht jeden Tag mit ihrem Hund spazieren.
She wants to be a musician.	Sie möchte Musikerin werden.
She wants to be an architect.	Sie möchte Architektin werden.
She wants to go home.	Sie will nach Hause.
She wants to study abroad next year.	Sie möchte nächstes Jahr im Ausland studieren.
She wants to travel.	Sie möchte reisen.
She was cooking dinner.	Sie kochte das Abendessen.
She was the most helpful.	Sie war am hilfsbereitesten.
She waved bye to us.	Sie winkte uns zum Abschied zu.
She waved goodbye to me.	Sie winkte mir zum Abschied zu.
She wears a gold necklace.	Sie trägt eine goldene Halskette.
She wears a gold wedding ring.	Sie trägt einen goldenen Ehering.
She wears glasses for reading.	Zum Lesen trägt sie eine Brille.
She whispered something in my ear.	Sie flüsterte mir etwas ins Ohr.
She will XKEYX the first item on the list.	Sie wird das erste Element auf der Liste XKEYXen.
She will be here soon.	Sie wird bald hier sein.
She will come tomorrow.	Sie wird morgen kommen.
She will contend for the gold medal.	Sie wird um die Goldmedaille kämpfen.
She will oversee the new project.	Sie wird das neue Projekt betreuen.
She will teach English next year.	Sie wird nächstes Jahr Englisch unterrichten.
She won a million dollars.	Sie hat eine Million Dollar gewonnen.
She wore a beautiful red dress.	Sie trug ein wunderschönes rotes Kleid.
She wore a blue summer dress.	Sie trug ein blaues Sommerkleid.
She wore a ring on her finger.	Sie trug einen Ring am Finger.
She wore a silk kimono.	Sie trug einen Seidenkimono.
She wore a white blouse.	Sie trug eine weiße Bluse.
She wore red high heels.	Sie trug rote High Heels.
She works as a news reporter.	Sie arbeitet als Nachrichtenreporterin.
She works at a school.	Sie arbeitet an einer Schule.
She works at the hospital.	Sie arbeitet im Krankenhaus.
She works at the local police station.	Sie arbeitet auf der örtlichen Polizeistation.
She works in a quiet office.	Sie arbeitet in einem ruhigen Büro.
She wrote a historical novel.	Sie schrieb einen historischen Roman.
She wrote an article for the paper.	Sie schrieb einen Artikel für die Zeitung.
She's sick, hence the absence.	Sie ist krank, daher die Abwesenheit.
Shopping	Einkaufen
Short words take -er (big → bigger), long words take 'more' (expensive → more expensive). Use than: X is bigger than Y.	Kurze Wörter brauchen -er (groß → größer), lange Wörter brauchen „mehr“ (teuer → teurer). Verwenden Sie als: X ist größer als Y.
Short words take -est (biggest), long words take 'most' (most expensive). Use the: the biggest city.	Kurze Wörter benötigen „-est“ (am größten), lange Wörter „most“ (am teuersten). Nutzen Sie: die größte Stadt.
Shorten clauses with -ing (active) or -ed (passive): Walking home, I saw a rainbow. (= While I was walking home…)	Sätze mit -ing (aktiv) oder -ed (passiv) kürzen: Als ich nach Hause ging, sah ich einen Regenbogen. (= Während ich nach Hause ging…)
Should I call them back?	Soll ich sie zurückrufen?
Show me XKEYX example, please.	Zeigen Sie mir bitte ein XKEYX-Beispiel.
Show me your ticket, please.	Zeigen Sie mir bitte Ihr Ticket.
Show who owns something: my book, your bag, his car, her house.	Zeigen Sie, wem etwas gehört: mein Buch, Ihre Tasche, sein Auto, ihr Haus.
Show your passport at the gate.	Zeigen Sie Ihren Reisepass am Gate vor.
Sign the form with a pen.	Unterschreiben Sie das Formular mit einem Stift.
Similarly, we must consider the cost.	Ebenso müssen wir die Kosten berücksichtigen.
Sit between us.	Setz dich zwischen uns.
Sit down, please.	Setzen Sie sich bitte.
Slice the watermelon into cubes.	Die Wassermelone in Würfel schneiden.
Small businesses struggle to make profit	Kleine Unternehmen haben Schwierigkeiten, Gewinne zu erzielen
Smartphones are ubiquitous these days.	Smartphones sind heutzutage allgegenwärtig.
Smoking damages your lungs.	Rauchen schädigt Ihre Lunge.
Social media can be very distracting.	Soziale Medien können sehr ablenkend sein.
Social media is a global phenomenon.	Social Media ist ein globales Phänomen.
Society & issues	Gesellschaft & Themen
Softening strong claims, essential in academic writing: it could be argued, it seems, tends to, arguably.	Starke Behauptungen abmildern, was beim wissenschaftlichen Schreiben unerlässlich ist: Man könnte argumentieren, es scheint, tendiert wohl dazu.
Solar energy is getting cheaper.	Solarenergie wird immer günstiger.
Some like heat; conversely, others hate it.	Manche mögen Hitze; umgekehrt hassen andere es.
Some people are waiting.	Einige Leute warten.
Some verbs take -ing (enjoy, finish, mind); others take to + verb (want, decide, hope). I enjoy reading. I want to read.	Einige Verben nehmen -ing (genießen, beenden, denken); andere nehmen to + Verb (wollen, entscheiden, hoffen). Ich lese gerne. Ich möchte lesen.
Someone is knocking at the front door.	Jemand klopft an die Haustür.
Something is in my eye.	Etwas ist in meinem Auge.
Sometimes I feel sad.	Manchmal bin ich traurig.
Sometimes he is late.	Manchmal kommt er zu spät.
Sorry, I didn't see you.	Entschuldigung, ich habe dich nicht gesehen.
Sovereignty is key to independence.	Souveränität ist der Schlüssel zur Unabhängigkeit.
Spring, summer, autumn, winter — and the forecast.	Frühling, Sommer, Herbst, Winter – und die Prognose.
Stand back from the platform edge.	Treten Sie von der Plattformkante zurück.
Stand by the door.	Stell dich an die Tür.
Stay active by walking every day.	Bleiben Sie aktiv, indem Sie jeden Tag spazieren gehen.
Stay near the exit.	Bleiben Sie in der Nähe des Ausgangs.
Stay on the main road.	Bleiben Sie auf der Hauptstraße.
Stay within the marked area.	Bleiben Sie innerhalb des markierten Bereichs.
Stop being so stubborn about it.	Hören Sie auf, dabei so stur zu sein.
Stop singing in the shower!	Hör auf, unter der Dusche zu singen!
Stop telling boring stories.	Hören Sie auf, langweilige Geschichten zu erzählen.
Stop the blood with a bandage.	Stoppen Sie das Blut mit einem Verband.
Stop wasting the water.	Verschwenden Sie kein Wasser mehr.
Stress can exacerbate the pain.	Stress kann die Schmerzen verstärken.
Study the prevalence of the disease.	Untersuchen Sie die Prävalenz der Krankheit.
Subjunctive — 'I suggest that he be…'	Konjunktiv – „Ich schlage vor, dass er…“
Success came at the expense of sleep.	Der Erfolg ging auf Kosten des Schlafes.
Such a lovely day!	Was für ein schöner Tag!
Sunday is my favorite day.	Sonntag ist mein Lieblingstag.
Superlatives — the -est / most	Superlative – das -est / am meisten
Survival Kit	Überlebensset
Sustainability is key for our future.	Nachhaltigkeit ist der Schlüssel für unsere Zukunft.
Take a bath before dinner.	Nehmen Sie vor dem Abendessen ein Bad.
Take a deep breath into your lungs.	Atme tief in deine Lungen ein.
Take a fruit, for instance, an apple.	Nehmen Sie eine Frucht, zum Beispiel einen Apfel.
Take a seat in this chair.	Nehmen Sie auf diesem Stuhl Platz.
Take his stories with a pinch of salt.	Nehmen Sie seine Geschichten mit einer Prise Salz.
Take off your shoes inside.	Ziehen Sie drinnen Ihre Schuhe aus.
Take the elevator to the fifth floor.	Fahren Sie mit dem Aufzug in die fünfte Etage.
Take your medicine after dinner.	Nehmen Sie Ihr Arzneimittel nach dem Abendessen ein.
Take your umbrella with you.	Nehmen Sie Ihren Regenschirm mit.
Talk about the people closest to you.	Sprechen Sie über die Menschen, die Ihnen am nächsten stehen.
Talk about your family with the humble forms.	Sprechen Sie mit den bescheidenen Formen über Ihre Familie.
Talk to your store manager.	Sprechen Sie mit Ihrem Filialleiter.
Teaching kids requires a lot of patience.	Kinder zu unterrichten erfordert viel Geduld.
Technology	Technologie
Tell me a story about childhood.	Erzähl mir eine Geschichte aus der Kindheit.
Tell me about your day.	Erzähl mir von deinem Tag.
Tell me if you need help.	Sagen Sie mir, wenn Sie Hilfe benötigen.
Tell me more about it.	Erzähl mir mehr darüber.
Tell me why you left.	Sag mir, warum du gegangen bist.
Temperatures fluctuate during the spring.	Im Frühling schwanken die Temperaturen.
Test your hypothesis now.	Testen Sie jetzt Ihre Hypothese.
Thank you for your generous donation.	Vielen Dank für Ihre großzügige Spende.
Thank you for your generous gift.	Vielen Dank für Ihr großzügiges Geschenk.
Thank you for your help.	Ich danke Ihnen für Ihre Hilfe.
Thanks a lot!	Vielen Dank!
Thanks, I really appreciate it.	Danke, ich weiß das wirklich zu schätzen.
That bear is very large.	Dieser Bär ist sehr groß.
That bird sings every morning.	Dieser Vogel singt jeden Morgen.
That fashion trend is over.	Dieser Modetrend ist vorbei.
That goat is very stubborn.	Diese Ziege ist sehr stur.
That happened completely out of the blue.	Das geschah völlig aus heiterem Himmel.
That is a big house.	Das ist ein großes Haus.
That is a classic logical paradox.	Das ist ein klassisches logisches Paradoxon.
That is a great idea.	Das ist eine tolle Idee.
That is a high wall.	Das ist eine hohe Mauer.
That is a long story.	Das ist eine lange Geschichte.
That is a major issue.	Das ist ein großes Problem.
That is a misleading headline.	Das ist eine irreführende Schlagzeile.
That is a moot point now.	Das ist jetzt ein strittiger Punkt.
That is a pencil.	Das ist ein Bleistift.
That is a really cool jacket.	Das ist eine wirklich coole Jacke.
That is a significant amount of money.	Das ist eine beträchtliche Summe Geld.
That is a strange notion.	Das ist eine seltsame Vorstellung.
That is a very bold assumption.	Das ist eine sehr kühne Annahme.
That is a very sad story.	Das ist eine sehr traurige Geschichte.
That is a wild theory.	Das ist eine wilde Theorie.
That is an interesting point of view.	Das ist ein interessanter Standpunkt.
That is enough food for us.	Das ist genug Nahrung für uns.
That is my house.	Das ist mein Haus.
That is outside my jurisdiction.	Das liegt außerhalb meines Zuständigkeitsbereichs.
That is the crux of the matter.	Das ist der Kern der Sache.
That is the least of my worries.	Das ist meine geringste Sorge.
That lecture was so boring.	Der Vortrag war so langweilig.
That movie was very scary.	Dieser Film war sehr gruselig.
That over there is a car.	Da drüben steht ein Auto.
That owl has very large eyes.	Diese Eule hat sehr große Augen.
That political doctrine is outdated now.	Diese politische Doktrin ist mittlerweile überholt.
That politician makes a lot of promises.	Dieser Politiker macht viele Versprechungen.
That sculpture is made of bronze.	Diese Skulptur ist aus Bronze.
That sheep looks lost.	Das Schaf sieht verloren aus.
That skirt looks great on you.	Der Rock steht dir großartig.
That tower is way too high.	Der Turm ist viel zu hoch.
That tradition is very old.	Diese Tradition ist sehr alt.
That tree grows very fast.	Dieser Baum wächst sehr schnell.
That turtle moves very slowly.	Diese Schildkröte bewegt sich sehr langsam.
That was a delicious meal.	Das war ein köstliches Essen.
That was a good idea.	Das war eine gute Idee.
That was a really XKEYX moment.	Das war wirklich ein XKEYX-Moment.
That was a very bad idea.	Das war eine sehr schlechte Idee.
That whale is swimming away.	Der Wal schwimmt davon.
That would be very helpful.	Das wäre sehr hilfreich.
The Sahara is a vast desert.	Die Sahara ist eine riesige Wüste.
The afternoon sun is very hot.	Die Nachmittagssonne ist sehr heiß.
The air feels very humid.	Die Luft fühlt sich sehr feucht an.
The airplane is taking off now.	Das Flugzeug hebt jetzt ab.
The airplane landed on time.	Das Flugzeug landete pünktlich.
The airport was crowded today.	Der Flughafen war heute überfüllt.
The angle is forty-five degrees.	Der Winkel beträgt fünfundvierzig Grad.
The ant colony is huge.	Die Ameisenkolonie ist riesig.
The apple is very juicy.	Der Apfel ist sehr saftig.
The arcade has many old games.	In der Spielhalle gibt es viele alte Spiele.
The architect designed the new library.	Der Architekt entwarf die neue Bibliothek.
The art exhibition opens today.	Die Kunstausstellung wird heute eröffnet.
The art gallery is open today.	Die Kunstgalerie ist heute geöffnet.
The artist was very meticulous.	Der Künstler war sehr akribisch.
The astronaut floated in space.	Der Astronaut schwebte im Weltraum.
The astronaut landed on the moon.	Der Astronaut landete auf dem Mond.
The athlete trained every single morning.	Der Athlet trainierte jeden Morgen.
The author signed my copy.	Der Autor hat mein Exemplar signiert.
The baby has a high fever.	Das Baby hat hohes Fieber.
The baby is hungry now.	Das Baby hat jetzt Hunger.
The baby is in the bath.	Das Baby liegt in der Badewanne.
The baby is learning to walk.	Das Baby lernt laufen.
The baby is sleeping soundly.	Das Baby schläft tief und fest.
The baker makes fresh sourdough.	Der Bäcker stellt frischen Sauerteig her.
The bakery smells like cinnamon.	Die Bäckerei riecht nach Zimt.
The bank is closed on Sundays.	Sonntags ist die Bank geschlossen.
The bathroom floor is wet.	Der Badezimmerboden ist nass.
The battery is very low.	Die Batterie ist sehr schwach.
The bell began to ring loudly.	Die Glocke begann laut zu läuten.
The bird flew high.	Der Vogel flog hoch.
The blizzard stopped the traffic.	Der Schneesturm brachte den Verkehr zum Erliegen.
The blood analysis came back negative.	Die Blutanalyse fiel negativ aus.
The blue bag is mine.	Die blaue Tasche gehört mir.
The blue bird flew away.	Der blaue Vogel flog davon.
The boat is on the lake.	Das Boot liegt auf dem See.
The boat moved towards the shore.	Das Boot bewegte sich in Richtung Ufer.
The body	Der Körper
The body needs plenty of water.	Der Körper braucht viel Wasser.
The book that I bought is interesting.	Das Buch, das ich gekauft habe, ist interessant.
The book was written by him.	Das Buch wurde von ihm geschrieben.
The bottle cap is too tight.	Der Flaschenverschluss sitzt zu fest.
The bridge goes across the river.	Die Brücke führt über den Fluss.
The bridge is closed for repairs.	Die Brücke ist wegen Reparaturarbeiten geschlossen.
The budget is finally balanced.	Der Haushalt ist endlich ausgeglichen.
The builder is arriving tomorrow.	Der Bauunternehmer kommt morgen.
The building blocks of advanced essays.	Die Bausteine ​​für fortgeschrittene Aufsätze.
The bus is running late.	Der Bus hat Verspätung.
The bus station is very crowded.	Der Busbahnhof ist sehr voll.
The butcher shop closes at five.	Die Metzgerei schließt um fünf.
The butter is in the fridge.	Die Butter ist im Kühlschrank.
The butterfly flew away quickly.	Der Schmetterling flog schnell davon.
The cake consists of flour and eggs.	Der Kuchen besteht aus Mehl und Eiern.
The cake is cut into four pieces.	Der Kuchen wird in vier Stücke geschnitten.
The cake was eaten.	Der Kuchen wurde gegessen.
The car is behind the house.	Das Auto steht hinter dem Haus.
The car is leaking oil.	Das Auto verliert Öl.
The cat is in the tree.	Die Katze ist im Baum.
The cat is sleeping on the sofa.	Die Katze schläft auf dem Sofa.
The cat jumped into the box.	Die Katze sprang in die Kiste.
The cat jumped off the balcony.	Die Katze sprang vom Balkon.
The cat jumped over it.	Die Katze sprang darüber.
The ceiling is very high here.	Die Decke ist hier sehr hoch.
The charity accepted the clothing donation.	Die Wohltätigkeitsorganisation nahm die Kleiderspende entgegen.
The chef cooked a great meal.	Der Koch hat ein tolles Essen zubereitet.
The chef created a culinary masterpiece.	Der Küchenchef hat ein kulinarisches Meisterwerk geschaffen.
The chicken is crossing the road.	Das Huhn überquert die Straße.
The child is eleven years old.	Das Kind ist elf Jahre alt.
The child is playing with toys.	Das Kind spielt mit Spielzeug.
The child's behaviour improved.	Das Verhalten des Kindes verbesserte sich.
The children's room is a mess.	Im Kinderzimmer herrscht Chaos.
The choice is yours.	Die Wahl liegt bei Ihnen.
The citizens voted in a referendum.	Die Bürger stimmten in einem Referendum ab.
The city is full of tourists.	Die Stadt ist voller Touristen.
The city is seeing rapid development.	Die Stadt erlebt eine rasante Entwicklung.
The city's population is growing.	Die Bevölkerung der Stadt wächst.
The class is held online.	Der Kurs findet online statt.
The class starts at nine.	Der Unterricht beginnt um neun.
The climate is getting warmer.	Das Klima wird wärmer.
The climbers climbed the rock wall.	Die Kletterer erklommen die Felswand.
The clock tower is very old.	Der Glockenturm ist sehr alt.
The coffee is too hot.	Der Kaffee ist zu heiß.
The cold air will precipitate rain.	Die kalte Luft wird Regen auslösen.
The cold wind bit my cheeks.	Der kalte Wind biss mir in die Wangen.
The color of the car is red.	Die Farbe des Autos ist rot.
The company focuses on environmental sustainability.	Das Unternehmen konzentriert sich auf ökologische Nachhaltigkeit.
The company implemented a strict policy.	Das Unternehmen hat eine strenge Richtlinie eingeführt.
The company is hiring new staff.	Das Unternehmen stellt neues Personal ein.
The company made a huge profit	Das Unternehmen machte einen riesigen Gewinn
The company offered her a promotion	Das Unternehmen bot ihr eine Beförderung an
The conclusion was quite surprising.	Das Fazit war ziemlich überraschend.
The constitution protects our basic rights.	Die Verfassung schützt unsere Grundrechte.
The convenience store is open twenty-four hours.	Der Supermarkt ist rund um die Uhr geöffnet.
The cost increase was negligible.	Der Kostenanstieg war vernachlässigbar.
The country is known for its mountains.	Das Land ist für seine Berge bekannt.
The court has legal jurisdiction.	Die gesetzliche Zuständigkeit liegt beim Gericht.
The cow is eating the grass.	Die Kuh frisst das Gras.
The criteria for selection are very strict.	Die Auswahlkriterien sind sehr streng.
The crocodile has very sharp teeth.	Das Krokodil hat sehr scharfe Zähne.
The data shows a clear trend.	Die Daten zeigen einen klaren Trend.
The deadline is tomorrow at noon.	Der Abgabetermin ist morgen Mittag.
The dentist cleaned my teeth.	Der Zahnarzt hat meine Zähne gereinigt.
The department store is having a sale.	Das Kaufhaus hat einen Ausverkauf.
The dew is on the grass.	Der Tau liegt auf dem Gras.
The difference is negligible.	Der Unterschied ist vernachlässigbar.
The dinner smelled delicious.	Das Abendessen duftete köstlich.
The discovery changed science forever.	Die Entdeckung veränderte die Wissenschaft für immer.
The doctor gave me some medicine.	Der Arzt gab mir Medikamente.
The dog chewed a bone.	Der Hund hat einen Knochen gekaut.
The dog licked my tongue.	Der Hund leckte meine Zunge.
