#NAME?	#NAME?
(1) (Japanese) maple	(1) (ಜಪಾನೀಸ್) ಮೇಪಲ್
USAGE: had + past participle (V3) = the earlier of two past events: 'before X happened, Y had already happened'.\nWHEN: Ordering past events: When I arrived, the movie had already started. She had finished her homework before dinner.\nFORM: had + V3 (had gone, had seen). Negative: hadn't + V3. Question: Had you ~?\nTIP: You only need it when the order of two past actions matters. If the sequence is clear from 'before/after', simple past is often fine: After I ate, I slept.	ಬಳಕೆ: had + past participle (V3) = ಎರಡು ಹಿಂದಿನ ಘಟನೆಗಳ ಹಿಂದಿನದು: 'X ಸಂಭವಿಸುವ ಮೊದಲು, Y ಈಗಾಗಲೇ ಸಂಭವಿಸಿದೆ'.\nಯಾವಾಗ: ಹಿಂದಿನ ಘಟನೆಗಳನ್ನು ಆದೇಶಿಸುವುದು: ನಾನು ಬಂದಾಗ, ಚಲನಚಿತ್ರವು ಈಗಾಗಲೇ ಪ್ರಾರಂಭವಾಯಿತು. ಊಟಕ್ಕೂ ಮುನ್ನವೇ ಮನೆಕೆಲಸ ಮುಗಿಸಿದ್ದಳು.\nಫಾರ್ಮ್: ಹೊಂದಿತ್ತು + ವಿ 3 (ಹೋಗಿದ್ದೆ, ನೋಡಿದೆ). ಋಣಾತ್ಮಕ: ಹೊಂದಿರಲಿಲ್ಲ + V3. ಪ್ರಶ್ನೆ: ನೀವು ~ ಹೊಂದಿದ್ದೀರಾ?\nಸಲಹೆ: ಎರಡು ಹಿಂದಿನ ಕ್ರಿಯೆಗಳ ಕ್ರಮವು ಮುಖ್ಯವಾದಾಗ ಮಾತ್ರ ನಿಮಗೆ ಅಗತ್ಯವಿರುತ್ತದೆ. ಅನುಕ್ರಮವು 'ಮೊದಲು/ನಂತರ'ದಿಂದ ಸ್ಪಷ್ಟವಾಗಿದ್ದರೆ, ಸರಳವಾದ ಭೂತಕಾಲವು ಸಾಮಾನ್ಯವಾಗಿ ಉತ್ತಮವಾಗಿರುತ್ತದೆ: ನಾನು ತಿಂದ ನಂತರ, ನಾನು ಮಲಗಿದೆ.
USAGE: will + verb = future: predictions, promises, and decisions made at the moment of speaking.\nWHEN: Instant decisions (I'll take it!), promises (I will help you), predictions (It will rain tomorrow), offers (I'll open the door).\nFORM: will + base verb. Contraction: I'll, she'll, we'll. Negative: won't. Question: Will you ~?\nTIP: Use will for 'at the moment' decisions; use going to for pre-arranged plans. Both are correct — the difference is how decided the plan is.	ಬಳಕೆ: ತಿನ್ನುವೆ + ಕ್ರಿಯಾಪದ = ಭವಿಷ್ಯ: ಭವಿಷ್ಯವಾಣಿಗಳು, ಭರವಸೆಗಳು ಮತ್ತು ಮಾತನಾಡುವ ಕ್ಷಣದಲ್ಲಿ ಮಾಡಿದ ನಿರ್ಧಾರಗಳು.\nಯಾವಾಗ: ತ್ವರಿತ ನಿರ್ಧಾರಗಳು (ನಾನು ಅದನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತೇನೆ!), ಭರವಸೆಗಳು (ನಾನು ನಿಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತೇನೆ), ಭವಿಷ್ಯವಾಣಿಗಳು (ನಾಳೆ ಮಳೆಯಾಗುತ್ತದೆ), ಕೊಡುಗೆಗಳು (ನಾನು ಬಾಗಿಲು ತೆರೆಯುತ್ತೇನೆ).\nಫಾರ್ಮ್: ವಿಲ್ + ಮೂಲ ಕ್ರಿಯಾಪದ. ಸಂಕೋಚನ: ನಾನು, ಅವಳು, ನಾವು ಮಾಡುತ್ತೇವೆ. ಋಣಾತ್ಮಕ: ಆಗುವುದಿಲ್ಲ. ಪ್ರಶ್ನೆ: ನೀವು ~?\nಸಲಹೆ: 'ಈ ಕ್ಷಣದಲ್ಲಿ' ನಿರ್ಧಾರಗಳಿಗಾಗಿ ಇಚ್ಛೆಯನ್ನು ಬಳಸಿ; ಪೂರ್ವ-ಯೋಜಿತ ಯೋಜನೆಗಳಿಗೆ ಹೋಗುವುದನ್ನು ಬಳಸಿ. ಎರಡೂ ಸರಿಯಾಗಿವೆ - ಯೋಜನೆಯನ್ನು ಹೇಗೆ ನಿರ್ಧರಿಸಲಾಗಿದೆ ಎಂಬುದು ವ್ಯತ್ಯಾಸವಾಗಿದೆ.
USAGE: could, would, and may make requests softer and more polite than can. May is the most formal; could is the most common.\nWHEN: Could you open the door? Would you help me? May I come in? Also for offers: Could I get you some coffee?\nFORM: Could/Would + you + verb? | May + I + verb? They are all followed by the base verb.\nTIP: The politeness scale: Can (informal) → Could/Would (polite) → May (very formal). Add 'please' for extra politeness.	ಬಳಕೆ: ವಿನಂತಿಗಳನ್ನು ಮಾಡಬಹುದಾಗಿರುತ್ತದೆ, ಮಾಡಬಹುದಾಗಿರುತ್ತದೆ ಮತ್ತು ವಿನಂತಿಗಳನ್ನು ಮಾಡುವುದಕ್ಕಿಂತ ಮೃದು ಮತ್ತು ಹೆಚ್ಚು ಸಭ್ಯವಾಗಿರಬಹುದು. ಮೇ ಅತ್ಯಂತ ಔಪಚಾರಿಕವಾಗಿದೆ; ಸಾಧ್ಯವಾಗುವುದು ಅತ್ಯಂತ ಸಾಮಾನ್ಯವಾಗಿದೆ.\nಯಾವಾಗ: ನೀವು ಬಾಗಿಲು ತೆರೆಯಬಹುದೇ? ನೀವು ನನಗೆ ಸಹಾಯ ಮಾಡುತ್ತೀರಾ? ನಾನು ಒಳಗೆ ಬರಬಹುದೇ? ಆಫರ್‌ಗಳಿಗೂ ಸಹ: ನಾನು ನಿಮಗೆ ಕಾಫಿ ಕೊಡಬಹುದೇ?\nಫಾರ್ಮ್: Could/Would + you + verb? | ಮೇ + ನಾನು + ಕ್ರಿಯಾಪದ? ಅವೆಲ್ಲವನ್ನೂ ಮೂಲ ಕ್ರಿಯಾಪದದಿಂದ ಅನುಸರಿಸಲಾಗುತ್ತದೆ.\nಸಲಹೆ: ಸಭ್ಯತೆಯ ಪ್ರಮಾಣ: ಮಾಡಬಹುದು (ಅನೌಪಚಾರಿಕ) → ಸಾಧ್ಯವೋ/ಬಯಸುವನೋ (ಸಭ್ಯ) → ಮೇ (ಬಹಳ ಔಪಚಾರಿಕ). ಹೆಚ್ಚುವರಿ ಸಭ್ಯತೆಗಾಗಿ 'ದಯವಿಟ್ಟು' ಸೇರಿಸಿ.
USAGE: must + verb (strong, often personal obligation): I must study. have to (everyday external obligation): I have to go.\nWHEN: Rules: You must wear a helmet. Duties: She has to work tomorrow. Strong advice: You must see this movie!\nFORM: must + base verb | have to + base verb (he/she/it: has to). Negative: mustn't (= not allowed), don't have to (= not necessary).\nTIP: Big difference: mustn't = forbidden (You mustn't smoke here), don't have to = no obligation (You don't have to come). For the past, use had to: I had to leave early.	ಬಳಕೆ: ಮಾಡಬೇಕು + ಕ್ರಿಯಾಪದ (ಬಲವಾದ, ಸಾಮಾನ್ಯವಾಗಿ ವೈಯಕ್ತಿಕ ಬಾಧ್ಯತೆ): ನಾನು ಅಧ್ಯಯನ ಮಾಡಬೇಕು. ಮಾಡಬೇಕು (ದೈನಂದಿನ ಬಾಹ್ಯ ಬಾಧ್ಯತೆ): ನಾನು ಹೋಗಬೇಕು.\nಯಾವಾಗ: ನಿಯಮಗಳು: ನೀವು ಹೆಲ್ಮೆಟ್ ಧರಿಸಬೇಕು. ಕರ್ತವ್ಯಗಳು: ಅವಳು ನಾಳೆ ಕೆಲಸ ಮಾಡಬೇಕು. ಬಲವಾದ ಸಲಹೆ: ನೀವು ಈ ಚಲನಚಿತ್ರವನ್ನು ನೋಡಲೇಬೇಕು!\nಫಾರ್ಮ್: ಮಾಡಬೇಕು + ಮೂಲ ಕ್ರಿಯಾಪದ | ಹೊಂದಿವೆ + ಮೂಲ ಕ್ರಿಯಾಪದ (ಅವನು/ಅವಳು/ಇದು: ಮಾಡಬೇಕು). ಋಣಾತ್ಮಕ: ಮಾಡಬಾರದು (= ಅನುಮತಿಸಲಾಗುವುದಿಲ್ಲ), ಮಾಡಬೇಕಾಗಿಲ್ಲ (= ಅಗತ್ಯವಿಲ್ಲ).\nಸಲಹೆ: ದೊಡ್ಡ ವ್ಯತ್ಯಾಸ: ಮಾಡಬಾರದು = ನಿಷೇಧಿಸಲಾಗಿದೆ (ನೀವು ಇಲ್ಲಿ ಧೂಮಪಾನ ಮಾಡಬಾರದು), ಮಾಡಬೇಕಾಗಿಲ್ಲ = ಯಾವುದೇ ಬಾಧ್ಯತೆ ಇಲ್ಲ (ನೀವು ಬರಬೇಕಾಗಿಲ್ಲ). ಹಿಂದೆ, ಬಳಕೆ ಮಾಡಬೇಕಾಗಿತ್ತು: ನಾನು ಬೇಗನೆ ಹೊರಡಬೇಕಾಗಿತ್ತು.
USAGE: should + verb = advice or recommendation: 'it's a good idea to ~'.\nWHEN: Giving advice: You should rest. Asking for advice: What should I do? Recommendations: You should try the ramen.\nFORM: should + base verb. Negative: shouldn't + verb (You shouldn't worry). Question: Should I ~? / Should we ~?\nTIP: should is softer than must — it's advice, not obligation. Compare: You must go (no choice) vs You should go (recommended).	ಬಳಕೆ: ಮಾಡಬೇಕು + ಕ್ರಿಯಾಪದ = ಸಲಹೆ ಅಥವಾ ಶಿಫಾರಸು: 'ಇದು ಒಳ್ಳೆಯದು ~'.\nಯಾವಾಗ: ಸಲಹೆ ನೀಡುವುದು: ನೀವು ವಿಶ್ರಾಂತಿ ಪಡೆಯಬೇಕು. ಸಲಹೆ ಕೇಳುವುದು: ನಾನು ಏನು ಮಾಡಬೇಕು? ಶಿಫಾರಸುಗಳು: ನೀವು ರಾಮೆನ್ ಅನ್ನು ಪ್ರಯತ್ನಿಸಬೇಕು.\nಫಾರ್ಮ್: ಮಾಡಬೇಕು + ಮೂಲ ಕ್ರಿಯಾಪದ. ಋಣಾತ್ಮಕ: ಮಾಡಬಾರದು + ಕ್ರಿಯಾಪದ (ನೀವು ಚಿಂತಿಸಬಾರದು). ಪ್ರಶ್ನೆ: ನಾನು ~ ಮಾಡಬೇಕೇ? / ನಾವು ~?\nಸಲಹೆ: ಅಗತ್ಯಕ್ಕಿಂತ ಮೃದುವಾಗಿರಬೇಕು - ಇದು ಸಲಹೆ, ಬಾಧ್ಯತೆಯಲ್ಲ. ಹೋಲಿಸಿ: ನೀವು ಹೋಗಬೇಕು (ಯಾವುದೇ ಆಯ್ಕೆಯಿಲ್ಲ) ವಿರುದ್ಧ ನೀವು ಹೋಗಬೇಕು (ಶಿಫಾರಸು ಮಾಡಲಾಗಿದೆ).
USAGE: Superlatives = the highest degree: short words take -est (biggest), long words take most (most beautiful). Always with 'the'.\nWHEN: Comparing 3+ things: She is the tallest in her class, This is the most interesting book I've read.\nFORM: the + short adj + est | the + most + long adj. Spelling: big→biggest, easy→easiest. Irregular: good→best, bad→worst, far→farthest.\nTIP: Use 'in' + group (the tallest in the class) or 'of' + group (the best of all). Don't forget 'the' — it's required.	ಬಳಕೆ: ಅತ್ಯುನ್ನತ ಪದಗಳು = ಅತ್ಯುನ್ನತ ಪದವಿ: ಚಿಕ್ಕ ಪದಗಳು -est (ದೊಡ್ಡದು), ದೀರ್ಘ ಪದಗಳು ಹೆಚ್ಚು ತೆಗೆದುಕೊಳ್ಳುತ್ತವೆ (ಅತ್ಯಂತ ಸುಂದರ). ಯಾವಾಗಲೂ 'ದ' ಜೊತೆ.\nಯಾವಾಗ: 3+ ವಿಷಯಗಳನ್ನು ಹೋಲಿಸುವುದು: ಅವಳು ತನ್ನ ತರಗತಿಯಲ್ಲಿ ಅತಿ ಎತ್ತರದವಳು, ಇದು ನಾನು ಓದಿದ ಅತ್ಯಂತ ಆಸಕ್ತಿದಾಯಕ ಪುಸ್ತಕವಾಗಿದೆ.\nಫಾರ್ಮ್: ದಿ + ಶಾರ್ಟ್ adj + est | the + most + long adj. ಕಾಗುಣಿತ: ದೊಡ್ಡದು→ದೊಡ್ಡದು, ಸುಲಭ→ಸುಲಭ. ಅನಿಯಮಿತ: ಒಳ್ಳೆಯದು→ಉತ್ತಮ, ಕೆಟ್ಟದು→ಕೆಟ್ಟ, ದೂರ→ದೂರ.\nಸಲಹೆ: 'ಇನ್' + ಗ್ರೂಪ್ (ವರ್ಗದಲ್ಲಿ ಅತಿ ಎತ್ತರದ) ಅಥವಾ 'ಆಫ್' + ಗ್ರೂಪ್ (ಎಲ್ಲಕ್ಕಿಂತ ಉತ್ತಮ) ಬಳಸಿ. 'ದಿ' ಅನ್ನು ಮರೆಯಬೇಡಿ - ಇದು ಅಗತ್ಯವಿದೆ.
USAGE: If-sentences show conditions and results. There are several types for real and unreal situations.\nWHEN: 1st (real/future): If it rains, I will stay home. 2nd (hypothetical now): If I were rich, I would travel. 3rd (past, unreal): If I had known, I would have come.\nFORM: 1st: if + present, will + verb. 2nd: if + past, would + verb (were for all persons). 3rd: if + had + V3, would have + V3.\nTIP: The order can flip: I will stay home if it rains. Note 'I were' (not 'I was') in the 2nd conditional. The 3rd conditional = regrets about the past.	ಬಳಕೆ: ವೇಳೆ-ವಾಕ್ಯಗಳು ಷರತ್ತುಗಳು ಮತ್ತು ಫಲಿತಾಂಶಗಳನ್ನು ತೋರಿಸುತ್ತವೆ. ನೈಜ ಮತ್ತು ಅವಾಸ್ತವ ಸಂದರ್ಭಗಳಲ್ಲಿ ಹಲವಾರು ವಿಧಗಳಿವೆ.\nಯಾವಾಗ: 1 ನೇ (ನೈಜ/ಭವಿಷ್ಯ): ಮಳೆಯಾದರೆ, ನಾನು ಮನೆಯಲ್ಲಿಯೇ ಇರುತ್ತೇನೆ. 2 ನೇ (ಈಗ ಕಾಲ್ಪನಿಕ): ನಾನು ಶ್ರೀಮಂತನಾಗಿದ್ದರೆ, ನಾನು ಪ್ರಯಾಣಿಸುತ್ತಿದ್ದೆ. 3 ನೇ (ಹಿಂದಿನ, ಅವಾಸ್ತವ): ನನಗೆ ತಿಳಿದಿದ್ದರೆ, ನಾನು ಬರುತ್ತಿದ್ದೆ.\nಫಾರ್ಮ್: 1 ನೇ: ವೇಳೆ + ಪ್ರಸ್ತುತ, ವಿಲ್ + ಕ್ರಿಯಾಪದ. 2 ನೇ: if + past, would + ಕ್ರಿಯಾಪದ (ಎಲ್ಲಾ ವ್ಯಕ್ತಿಗಳಿಗೆ ಇದ್ದವು). 3 ನೇ: + ಹೊಂದಿದ್ದರೆ + V3, + V3 ಅನ್ನು ಹೊಂದಿರುತ್ತದೆ.\nಸಲಹೆ: ಆರ್ಡರ್ ಫ್ಲಿಪ್ ಆಗಬಹುದು: ಮಳೆ ಬಂದರೆ ನಾನು ಮನೆಯಲ್ಲಿಯೇ ಇರುತ್ತೇನೆ. 2 ನೇ ಷರತ್ತುಗಳಲ್ಲಿ 'I was' ('I was' ಅಲ್ಲ) ಎಂಬುದನ್ನು ಗಮನಿಸಿ. 3 ನೇ ಷರತ್ತು = ಹಿಂದಿನ ಬಗ್ಗೆ ವಿಷಾದ.
USAGE: Passive voice: be + past participle (V3). It focuses on the action or the receiver, not the doer: The cake was eaten.\nWHEN: When the doer is unknown or unimportant: My bike was stolen. When focusing on the receiver: The report was finished yesterday. By + doer: The cake was eaten by the dog.\nFORM: be (in any tense) + V3: is eaten, was eaten, will be eaten, has been eaten. Negative/Question: standard be rules.\nTIP: Only transitive verbs (with an object) can be passive. Don't overuse it — active voice is usually clearer and more natural in English.	ಬಳಕೆ: ನಿಷ್ಕ್ರಿಯ ಧ್ವನಿ: be + ಪಾಸ್ಟ್ ಪಾರ್ಟಿಸಿಪಲ್ (V3). ಇದು ಕ್ರಿಯೆ ಅಥವಾ ಸ್ವೀಕರಿಸುವವರ ಮೇಲೆ ಕೇಂದ್ರೀಕರಿಸುತ್ತದೆ, ಮಾಡುವವರಲ್ಲ: ಕೇಕ್ ಅನ್ನು ತಿನ್ನಲಾಗಿದೆ.\nಯಾವಾಗ: ಮಾಡುವವರು ಅಜ್ಞಾತರಾಗಿದ್ದಾಗ ಅಥವಾ ಅಪ್ರಸ್ತುತರಾದಾಗ: ನನ್ನ ಬೈಕು ಕಳ್ಳತನವಾಗಿದೆ. ರಿಸೀವರ್ ಮೇಲೆ ಕೇಂದ್ರೀಕರಿಸಿದಾಗ: ನಿನ್ನೆ ವರದಿ ಮುಗಿದಿದೆ. ಮೂಲಕ + ಮಾಡುವವರು: ಕೇಕ್ ಅನ್ನು ನಾಯಿ ತಿಂದಿದೆ.\nಫಾರ್ಮ್: ಬಿ (ಯಾವುದೇ ಉದ್ವಿಗ್ನದಲ್ಲಿ) + ವಿ3: ತಿನ್ನಲಾಗಿದೆ, ತಿನ್ನಲಾಗಿದೆ, ತಿನ್ನಲಾಗುತ್ತದೆ, ತಿನ್ನಲಾಗಿದೆ. ಋಣಾತ್ಮಕ/ಪ್ರಶ್ನೆ: ಪ್ರಮಾಣಿತ ನಿಯಮಗಳು.\nಸಲಹೆ: ಕೇವಲ ಟ್ರಾನ್ಸಿಟಿವ್ ಕ್ರಿಯಾಪದಗಳು (ವಸ್ತುವಿನೊಂದಿಗೆ) ನಿಷ್ಕ್ರಿಯವಾಗಿರಬಹುದು. ಅದನ್ನು ಅತಿಯಾಗಿ ಬಳಸಬೇಡಿ — ಸಕ್ರಿಯ ಧ್ವನಿಯು ಇಂಗ್ಲಿಷ್‌ನಲ್ಲಿ ಸಾಮಾನ್ಯವಾಗಿ ಸ್ಪಷ್ಟವಾಗಿರುತ್ತದೆ ಮತ್ತು ಹೆಚ್ಚು ನೈಸರ್ಗಿಕವಾಗಿರುತ್ತದೆ.
USAGE: Reported speech tells what someone said without quoting: She said (that) she was tired.\nWHEN: Reporting statements: He said he was busy. Reporting questions: She asked if I was free. Reporting commands: He told me to wait.\nFORM: Tense shifts back one: am→was, will→would, can→could, have→had. 'that' is optional. Pronouns and time words also shift (today→that day, here→there).\nTIP: Direct quote: She said, 'I am tired' → Reported: She said she was tired. If the reporting verb is present (says), the tense doesn't shift: She says she is tired.	ಬಳಕೆ: ವರದಿ ಮಾಡಲಾದ ಭಾಷಣವು ಉಲ್ಲೇಖಿಸದೆ ಯಾರೋ ಹೇಳಿದ್ದನ್ನು ಹೇಳುತ್ತದೆ: ಅವಳು ಹೇಳಿದಳು (ಅದು) ಅವಳು ದಣಿದಿದ್ದಾಳೆ.\nಯಾವಾಗ: ಹೇಳಿಕೆಗಳನ್ನು ವರದಿ ಮಾಡುವುದು: ಅವರು ಕಾರ್ಯನಿರತರಾಗಿದ್ದಾರೆ ಎಂದು ಹೇಳಿದರು. ವರದಿ ಮಾಡುವ ಪ್ರಶ್ನೆಗಳು: ನಾನು ಸ್ವತಂತ್ರಳೇ ಎಂದು ಅವಳು ಕೇಳಿದಳು. ವರದಿ ಮಾಡುವ ಆಜ್ಞೆಗಳು: ಅವರು ನನಗೆ ಕಾಯಲು ಹೇಳಿದರು.\nಫಾರ್ಮ್: ಉದ್ವಿಗ್ನ ಬದಲಾವಣೆಗಳು ಒಂದು ಹಿಂದಕ್ಕೆ: am→ was, will→would, can→could, have→had. 'ಅದು' ಐಚ್ಛಿಕ. ಸರ್ವನಾಮಗಳು ಮತ್ತು ಸಮಯದ ಪದಗಳು ಸಹ ಬದಲಾಗುತ್ತವೆ (ಇಂದು→ಆ ದಿನ, ಇಲ್ಲಿ→ಅಲ್ಲಿ).\nಸಲಹೆ: ನೇರ ಉಲ್ಲೇಖ: ಅವಳು ಹೇಳಿದಳು, 'ನಾನು ದಣಿದಿದ್ದೇನೆ' → ವರದಿಯಾಗಿದೆ: ಅವಳು ದಣಿದಿರುವುದಾಗಿ ಹೇಳಿದಳು. ವರದಿ ಮಾಡುವ ಕ್ರಿಯಾಪದವು ಇದ್ದರೆ (ಹೇಳುತ್ತದೆ), ಉದ್ವಿಗ್ನತೆಯು ಬದಲಾಗುವುದಿಲ್ಲ: ಅವಳು ದಣಿದಿದ್ದಾಳೆ ಎಂದು ಹೇಳುತ್ತಾಳೆ.
USAGE: Some verbs are followed by a gerund (-ing), others by an infinitive (to + verb): I enjoy reading, I want to go.\nWHEN: Gerund after: enjoy, finish, mind, suggest, avoid, keep. Infinitive after: want, decide, hope, plan, need, learn. Both with similar meaning: begin, start, like, love. Meaning changes: stop, remember, try.\nFORM: verb + -ing | verb + to + base. As subject: Swimming is fun. After prepositions: I'm good at cooking.\nTIP: Meaning-change verbs matter: remember doing (past memory) vs remember to do (not forget), stop smoking (quit) vs stop to smoke (pause).	ಬಳಕೆ: ಕೆಲವು ಕ್ರಿಯಾಪದಗಳನ್ನು ಗೆರಂಡ್ (-ಇಂಗ್) ಅನುಸರಿಸುತ್ತದೆ, ಇತರವು ಇನ್ಫಿನಿಟಿವ್ (ಗೆ + ಕ್ರಿಯಾಪದ): ನಾನು ಓದುವುದನ್ನು ಆನಂದಿಸುತ್ತೇನೆ, ನಾನು ಹೋಗಲು ಬಯಸುತ್ತೇನೆ.\nಯಾವಾಗ: ಗೆರುಂಡ್ ನಂತರ: ಆನಂದಿಸಿ, ಮುಗಿಸಿ, ಮನಸ್ಸು, ಸಲಹೆ, ತಪ್ಪಿಸಿ, ಇರಿಸಿಕೊಳ್ಳಿ. ಅನಂತರದ ನಂತರ: ಬೇಕು, ನಿರ್ಧರಿಸಿ, ಭರವಸೆ, ಯೋಜನೆ, ಅಗತ್ಯ, ಕಲಿಯಿರಿ. ಎರಡೂ ಒಂದೇ ಅರ್ಥದೊಂದಿಗೆ: ಪ್ರಾರಂಭಿಸಿ, ಪ್ರಾರಂಭಿಸಿ, ಇಷ್ಟ, ಪ್ರೀತಿ. ಅರ್ಥ ಬದಲಾವಣೆಗಳು: ನಿಲ್ಲಿಸಿ, ನೆನಪಿಡಿ, ಪ್ರಯತ್ನಿಸಿ.\nಫಾರ್ಮ್: ಕ್ರಿಯಾಪದ + -ಇಂಗ್ | ಕ್ರಿಯಾಪದ + ಗೆ + ಬೇಸ್. ವಿಷಯವಾಗಿ: ಈಜು ವಿನೋದವಾಗಿದೆ. ಪೂರ್ವಭಾವಿಗಳ ನಂತರ: ನಾನು ಅಡುಗೆಯಲ್ಲಿ ಚೆನ್ನಾಗಿದ್ದೇನೆ.\nಸಲಹೆ: ಅರ್ಥ-ಬದಲಾವಣೆ ಕ್ರಿಯಾಪದಗಳು ಮುಖ್ಯ: ಮಾಡುವುದನ್ನು ನೆನಪಿಸಿಕೊಳ್ಳಿ (ಹಿಂದಿನ ಸ್ಮರಣೆ) vs ಮಾಡಲು ಮರೆಯದಿರಿ (ಮರೆತಿಲ್ಲ), ಧೂಮಪಾನವನ್ನು ನಿಲ್ಲಿಸಿ (ಬಿಟ್ಟು) ಮತ್ತು ಧೂಮಪಾನವನ್ನು ನಿಲ್ಲಿಸಿ (ವಿರಾಮ).
USAGE: too + adjective = more than needed (negative): too hot, too expensive. adjective + enough = sufficient: old enough, big enough.\nWHEN: Problems and limits: The soup is too salty. Sufficiency: He is tall enough to reach the shelf. With nouns: too much sugar, enough time.\nFORM: too + adj | adj + enough | too much/many + noun | enough + noun. Negative form: not + adj + enough (not old enough).\nTIP: Word order differs: too comes BEFORE the adjective, enough comes AFTER. For nouns: enough time (before the noun) but big enough (after the adjective).	ಬಳಕೆ: ತುಂಬಾ + ವಿಶೇಷಣ = ಅಗತ್ಯಕ್ಕಿಂತ ಹೆಚ್ಚು (ನಕಾರಾತ್ಮಕ): ತುಂಬಾ ಬಿಸಿ, ತುಂಬಾ ದುಬಾರಿ. ವಿಶೇಷಣ + ಸಾಕಷ್ಟು = ಸಾಕಷ್ಟು: ಸಾಕಷ್ಟು ಹಳೆಯದು, ಸಾಕಷ್ಟು ದೊಡ್ಡದು.\nಯಾವಾಗ: ಸಮಸ್ಯೆಗಳು ಮತ್ತು ಮಿತಿಗಳು: ಸೂಪ್ ತುಂಬಾ ಉಪ್ಪು. ಸಾಕು: ಅವನು ಶೆಲ್ಫ್ ಅನ್ನು ತಲುಪುವಷ್ಟು ಎತ್ತರವನ್ನು ಹೊಂದಿದ್ದಾನೆ. ನಾಮಪದಗಳೊಂದಿಗೆ: ಹೆಚ್ಚು ಸಕ್ಕರೆ, ಸಾಕಷ್ಟು ಸಮಯ.\nಫಾರ್ಮ್: ತುಂಬಾ + adj | adj + ಸಾಕಷ್ಟು | ತುಂಬಾ/ಹಲವು + ನಾಮಪದ | ಸಾಕಷ್ಟು + ನಾಮಪದ. ಋಣಾತ್ಮಕ ರೂಪ: ಅಲ್ಲ + adj + ಸಾಕಷ್ಟು (ಸಾಕಷ್ಟು ಹಳೆಯದಲ್ಲ).\nಸಲಹೆ: ಪದದ ಕ್ರಮವು ಭಿನ್ನವಾಗಿರುತ್ತದೆ: ವಿಶೇಷಣಕ್ಕಿಂತ ಮುಂಚೆಯೂ ಬರುತ್ತದೆ, ನಂತರ ಸಾಕಷ್ಟು ಬರುತ್ತದೆ. ನಾಮಪದಗಳಿಗೆ: ಸಾಕಷ್ಟು ಸಮಯ (ನಾಮಪದದ ಮೊದಲು) ಆದರೆ ಸಾಕಷ್ಟು ದೊಡ್ಡದು (ವಿಶೇಷಣ ನಂತರ).
USAGE: used to + verb = a past habit or state that no longer happens: I used to play soccer.\nWHEN: Past routines and states now gone: I used to live in Osaka, She used to be shy, We used to eat out every Sunday.\nFORM: used to + base verb. Negative: didn't use to (I didn't use to like coffee). Question: Did you use to ~?\nTIP: Distinguish: be used to + -ing = accustomed to (I'm used to getting up early) — different meaning, different form. In questions/negatives, 'used' becomes 'use'.	ಬಳಕೆ: ಬಳಸಿದ + ಕ್ರಿಯಾಪದ = ಹಿಂದಿನ ಅಭ್ಯಾಸ ಅಥವಾ ಇನ್ನು ಮುಂದೆ ಸಂಭವಿಸದ ಸ್ಥಿತಿ: ನಾನು ಸಾಕರ್ ಆಡುತ್ತಿದ್ದೆ.\nಯಾವಾಗ: ಹಿಂದಿನ ದಿನಚರಿಗಳು ಮತ್ತು ಸ್ಥಿತಿಗಳು ಈಗ ಹೋಗಿವೆ: ನಾನು ಒಸಾಕಾದಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದೆ, ಅವಳು ನಾಚಿಕೆಪಡುತ್ತಿದ್ದಳು, ನಾವು ಪ್ರತಿ ಭಾನುವಾರ ಹೊರಗೆ ತಿನ್ನುತ್ತಿದ್ದೆವು.\nಫಾರ್ಮ್: + ಮೂಲ ಕ್ರಿಯಾಪದಕ್ಕೆ ಬಳಸಲಾಗುತ್ತದೆ. ಋಣಾತ್ಮಕ: ಬಳಸಲಿಲ್ಲ (ನಾನು ಕಾಫಿ ಇಷ್ಟಪಡಲು ಬಳಸಲಿಲ್ಲ). ಪ್ರಶ್ನೆ: ನೀವು ~ ಅನ್ನು ಬಳಸಿದ್ದೀರಾ?\nಸಲಹೆ: ಪ್ರತ್ಯೇಕಿಸಿ: + -ing = ಒಗ್ಗಿಕೊಂಡಿರುವುದು (ನಾನು ಬೇಗನೆ ಎದ್ದೇಳಲು ಅಭ್ಯಾಸ ಮಾಡಿದ್ದೇನೆ) — ವಿಭಿನ್ನ ಅರ್ಥ, ವಿಭಿನ್ನ ರೂಪ. ಪ್ರಶ್ನೆಗಳು/ಋಣಾತ್ಮಕತೆಗಳಲ್ಲಿ, 'ಬಳಸಿದ' 'ಬಳಕೆ' ಆಗುತ್ತದೆ.
