वाह!	Wow!
फिर मैं उससे उसके बारे में कल पूछूँगा।	I will ask him about it tomorrow, then.
मैं अपना कर्ज़ जल्द-से-जल्द चुकताऊँगा।	I will pay my debt as soon as possible.
मेरे पिता मेरे विदेश जाने से राज़ी थे।	My father consented to my going abroad.
यह महाशय बहुत जाने-माने पियानिस्ट हैं।	The gentleman is a very famous pianist.
इन दोनो में से ज़्यादा महंगा कौनसा है?	Which is the more expensive of the two?
तुम्हारी जुर्रत कैसे हुई यह बोलने की?!	You've got a nerve to say such a thing!
तुम्हें कॉनसर्ट की टिकटें कैसे मिलीं?	How did you get tickets for the concert?
मैं निराश था कि तुमने फ़ोन नहीं किया।	I was disappointed that you didn't call.
मैं तुम्हें एक-दो दिन में जवाब दूँगा।	I'll give you an answer in a day or two.
दिन ढल रहा है। तुम्हें घर जाना चाहिए।	It's getting dark. You'd better go home.
उसे टीवी पर टेनिस देखना बहुत पसंद है।	She loves watching tennis matches on TV.
म्युज़ियम में ज़िन्दा जानवर नहीं हैं।	There are no live animals in the museum.
मुझे तुमसे किसी बारे में बात करनी है।	There's something we need to talk about.
तुम्हें दोपहर में क्या करने का मन है?	What do you want to do in the afternoon?
तुम्हारी घड़ी अब क्या समय बता रही है?	What time does your watch say it is now?
टीचर ने कहा, "बस आज के लिए इतना ही।"	The teacher said, "That's all for today."
मानो या न मानो, उसके तीन बच्चे हैं।	Believe it or not, she has three children.
टॉम इस साल क्रिसमस पर घर नहीं आएगा।	Tom won't be home for Christmas this year.
वहाँ पर खड़े हुए वे मेरे पिता हैं।	The man who is standing there is my father.
हवा बीजों को दूर-दूर तक लेजाती है।	The wind carries seeds for great distances.
बच्चा की नींद आधी रात में खुल गई।	The baby woke up in the middle of the night.
इस वॉशिंग मशीन में कुछ खराबी है।	Something is wrong with this washing machine.
उस खबर ने गाँव में दहशत फैला दी।	The news caused alarm throughout the village.
टॉम दीवार के दूसरी तरफ खड़ा है।	Tom is standing on the other side of the wall.
उसने पार्सल को परसों भेजा था।	He sent out the parcel the day before yesterday.
मुझे समझ में नहीं आ रहा था कि उससे क्या कहूँ।	I didn't know what to say to him.
मुझे अगले साल विदेश जाकर पढ़ाई करने का मन है।	I want to study abroad next year.
मेरे बॉस ने मुझसे पिछले रविवार को काम करवाया।	My boss made me work last Sunday.
क्या आपको कम्प्यूटर का इस्तेमाल करना आता है?	Do you know how to use a computer?
उन्होंने टॉम का आदेश मानने से इंकार कर दिया।	They refused to obey Tom's orders.
तुम्हें क्या लगता है? खिड़की किसने तोड़ी है?	Who do you think broke the window?
मैंने अपनी मम्मी को बर्तन धोने में मदद करी।	I helped my mother wash the dishes.
अगर मैं अभी नहीं करूँगा तो कभी नहीं करूँगा।	If I don't do it now, I never will.
तुम यहाँ आ ही गए हो तो मेरी मदद कर सकते हो।	Since you're here, you can help me.
टॉम ने खुद को जल्दी उठने के लिए मजबूर किया।	Tom forced himself to get up early.
टॉम ने मुझे उसके लिए कुछ खाना लाने को कहा।	Tom asked me to bring him some food.
टॉम अभी तक नहीं जानता कि ऐसा कैसे करना है।	Tom doesn't yet know how to do that.
मुझे यह बताओ, कि टॉम ऐसा कर क्यों रहा है।	I want to know why Tom is doing this.
मैंने उनको बोला दूसरी टिकट भेजने के लिए।	I told them to send me another ticket.
मुझे यकीन है कि वह जल्द ही वापस आ जाएगी।	I'm sure that she will come back soon.
मेरे अंकल क्रिकेट के शौकिया खिलाड़ी हैं।	My uncle is an amateur cricket player.
मेरे मामा क्रिकेट के शौकिया खिलाड़ी हैं।	My uncle is an amateur cricket player.
मेरे चाचा क्रिकेट के शौकिया खिलाड़ी हैं।	My uncle is an amateur cricket player.
मैं इस शोर को और बर्दाश्त नहीं कर सकती।	I can't put up with this noise anymore.
उसने अपने आप से कहा: "मैं बहुत खुश हूँ"	She said to herself, "I am very happy."
मुझे भरोसा है कि वह अपना वादा निभाएगा।	I am confident he will keep his promise.
मुझे बाहर जाने से घर में रहना पसंद है।	I would rather stay at home than go out.
मैंने ही टॉम को गाड़ी चलाना सिखाया थी।	I'm the one who taught Tom how to drive.
बिगड़े हुए बच्चों को खुश नहीं कर सकते।	There is no satisfying spoiled children.
टॉम के आने से पहले तुम क्या कर रहे थे?	What were you doing before Tom got here?
मैं आपके अच्छेपन को कभी नहीं भूलूँगा।	I'll never forget how kind you have been.
मेरा भाई अक्सर पूरी रात जागे रहता था।	My brother would often stay up all night.
मैं तभी से उसकी देखभाल करता आया हूँ।	I have been taking care of him ever since.
लगातार तीन दिनों से बारिश हो रही है।	It has been raining for three days on end.
कि वह अम्रीका जाएगा, यह तो पक्का है।	It is definite that he will go to America.
वह इस तरह की बात पर गुस्सा क्यों है?	Why is he angry about something like that?
मेरा पार्टी में आना ज़रूरी है क्या?	Is it necessary for me to attend the party?
कल जिसने खिड़की तोड़ी थी वह टॉम था।	It was Tom that broke the window yesterday.
मुझसे आपको यह संदेश देने के लिए बताया गया था।	I was asked to give you a message.
आजकल कोई भी भूत-प्रेत में विश्वास नहीं करता।	Nowadays nobody believes in ghosts.
उसके बात करने के तरीके पर मुझे खींज आती है।	Her way of talking got on my nerves.
मेरे पापा आमतौर पर छः बजे घर लौटकर आते हैं।	My father usually comes home at six.
मेरे पापा बिजली की कम्पनी में काम करते हैं।	My father works for a power company.
उसको लगता है कि उसका बेटा अभी भी ज़िंदा है।	She believes her son is still alive.
कल रात टॉम की चाकू मारकर हत्या कर दी गई थी।	Tom was stabbed to death last night.
मुझे शास्त्रीय संगीत सुनने का शौक नहीं है।	Classical music is not my cup of tea.
मैं उस गाड़ी की रफ़तार देखकर हैरान रह गया।	I was amazed at the speed of the car.
वह अपने सारे घरवालों की नकल उतार सकता है।	He can imitate the rest of the family.
मेरे ताऊजी क्रिकेट के शौकिया खिलाड़ी हैं।	My uncle is an amateur cricket player.
उसकी दादी ने उसे पाल-पोस कर बड़ा किया था।	She was brought up by her grandmother.
उसकी नानी ने उसे पाल-पोस कर बड़ा किया था।	She was brought up by her grandmother.
मुझे कैंचियों के अलावा और कुछ नहीं मिला।	I found nothing but a pair of scissors.
अगर आपके पास समय हो तो हमसे मिलने आईएगा।	If you have time, please drop in on us.
इन दो भाषाओं में बहुत सारी समानताएं हैं।	The two languages have a lot in common.
भारत में कई लोग गाय को पूज्य मानते हैं।	Cows are sacred to many people in India.
वह उस दरवाज़े से धीरे से कमरे में घुसा।	He entered the room slowly by that door.
तुम्हें आज सुबह भूकम्प महसूस हुआ क्या?	Did you feel the earthquake this morning?
मेरा आज अंग्रेज़ी पढ़ने का मन नहीं है।	I don't feel like studying English today.
हमारे लिए उसका घर ढूँढना आसान नहीं था।	It was not easy for us to find his house.
इस परिस्थिति में कठोर कदम उठाने होंगे।	The situation calls for drastic measures.
मुझे नीला वाला पसंद है, कितने का है?	I like the blue one. How much does it cost?
मुझे नीली वाली पसंद है, कितने की है?	I like the blue one. How much does it cost?
डॉक्टर ने उसे सिगरेट कम पीने को कहा।	The doctor told him to cut down on smoking.
हमने मामले की हर पहलू से छानबीन करी।	We investigated the matter from all angles.
फ़ोटोकॉपियर में कागज़ खतम हो गया है।	We've run out of paper for the photocopier.
उसका कलाकार बनने का सपना सच हो गया।	He realized his dream of becoming an artist.
भारत में कल एक बड़ा भूकम्प हुआ था।	A big earthquake occurred in India yesterday.
मुझे उसकी लिखी हुई एक चिट्ठी मिली।	I received a letter which was written by her.
जो भी रेस जीतेगा ईनाम उसी का होगा।	Whoever wins the race will receive the prize.
उसके साथ रास्ते पर कुछ हुआ होगा।	Something must have happened to him on the way.
तुम्हें पक्का मालूम है कि वह समय पर आ रही है?	Are you sure of her coming on time?
मुझे इस गर्मी में पढ़ाई करना अच्छा नहीं लगता।	I don't like studying in this heat.
वह लड़की नहीं चाहती थी कि वह लड़का विदेश जाए।	She didn't want him to go overseas.
क्या तुम कह रहे हो कि मेरी जान ख़तरे में है?	Are you saying my life is in danger?
यह टोपी उस ब्राऊन ड्रेस के साथ जचती नहीं है।	This hat does match the brown dress.
मेरे लिए एक और गरम तौलिया ला सकते हैं क्या?	Could you bring me another hot towel?
वह इटली के एक छोटे से गाँव में पैदा हुआ था।	He was born in a small town in Italy.
हम सब तुम्हारी सेहत के लिए बहुत परेशान हैं।	We are all anxious about your health.
पापा कभी-कभी मुझे दफ़्तर ले जाया करते थे।	Father sometimes took me to his office.
उसने अपनी गाड़ी बिना हिचकिचाहट हे बेच दी।	He sold his own car without hesitation.
इस ड्रेस को कितनी जल्दी तैयार कर सकते हो?	How soon can you have this dress ready?
तुम्हें क्लब के नियमों का पालन करना होगा।	You must observe the rules of the club.
उसे अपने सामान की कीमतें कम करनीं पड़ीं।	He had to reduce the price of his wares.
मुझे बताओ तुम किस चीज़ की आशा कर रहे हो।	Tell me what you are looking forward to.
पुलिस अफ़सर ने चोर को हिरासत में लेलिया।	The police officer arrested the burglar.
टॉम ने पूरी पुस्तक तीन घंटों में पढ़ ली।	Tom read the entire book in three hours.
कोई भी सुशील इनसान सड़क पर थूकेगा नहीं।	A gentleman would not spit on the street.
उसने चुनाव में अपने विरोधी को हरा दिया।	He defeated his opponent in the election.
वह हमारी उम्मीदों को पूरा नहीं कर पाया।	He failed to come up to our expectations.
वह भारत और चीन दोनो में बहुत मशहूर है।	She is well known in both India and China.
उसकी निराशा सभी आसानी से दिख सकते थे।	His disappointment was obvious to everyone.
मुझे परिस्तिथि के बदतर होने का डर है।	I am afraid of the situation getting worse.
आपको आपकी सगाई पर बहुत बहुत बधाईंयाँ।	Let me congratulate you on your engagement.
कुछ अपराधों की कोई सीमा नहीं होती है।	Some crimes have no statute of limitations.
कुछ लोग संविधान को सुधारना चाहते हैं।	Some people want to amend the constitution.
दुनिया और-भी-और तेज़ी से बदल रही है।	The world is changing more and more quickly.
जाने से पहले आग को बुझाना मत भूलना।	Be sure to put out the fire before you leave.
मुझे तुम्हें स्टेशन तक पहुँचाने दो।	Let me give you a lift as far as the station.
मैं दस डॉलर से ज़्यादा नहीं खर्चना चाहता हूँ।	I don't want to spend more than $10.
किसी को भी उसके निर्दोष होने का यकीन नहीं है।	No one believes that he is innocent.
वह तो ऐसे बात करती है जैसे उसे सब कुछ पता हो।	She talks as if she knew everything.
मुझे उस घर को न खरीदने का पछतावा हो रहा है।	I regret not having bought that house.
चाहे सुनने में जितना भी अजीब लगे, यह सच है।	Strange as it may sound, this is true.
मैं कुछ समय से वैसा करने के लिए तैयार हूं।	I've been ready to do that for a while.
तुम्हारे इगज़ैम के रिज़ल्ट बहुत अच्छे हैं।	Your examination results are excellent.
वह हमेशा अपने बॉस की शिकायत करता रहता है।	He is always complaining about his boss.
मुझे चॉकलेट और आइसक्रीम की लत लगी हुई है।	I'm addicted to chocolate and ice cream.
हमें अगले हफ़्ते ड्राईव पर लेजाओगे क्या?	Will you take us for a drive next Sunday?
मैं इस शोर को और बर्दाश्त नहीं कर सकता।	I can't put up with that noise any longer.
मुझे चीनी-वाला चीज़ें नहीं खानी चाहिएँ।	I shouldn't eat food that has sugar in it.
उन दो मंदिरों में तोदाइजी बड़ा वाला है।	Toudaiji is the bigger of the two temples.
मैंने रहने की बजाय जाने का इरादा किया।	I chose to leave instead of staying behind.
उसको बहुत सारे अंग्रेज़ी शब्द आते हैं।	She has a rich vocabulary of English words.
डॉक्टर ने उसको छुट्टी लेने की सलाह दी।	The doctor advised that she take a holiday.
मुझे तुमको यह बात समझाना नामुमकिन है।	It's impossible for me to explain it to you.
वह अपना काम खतम करते ही घर चला गया।	As soon as he finished his work, he went home.
मुझे अपना नाम और फ़ोन नम्बर बताईये।	Please tell me your name and telephone number.
वह पुलिस अफ़सर को देखते ही भाग गया।	The instant he saw the policeman, he ran away.
उसको उसके जुर्म पर बिलकुल भी पछतावा नहीं था।	He exhibited no remorse for his crime.
तुम्हारे लिए डॉक्टर को देखने जाना ज़रूरी है।	It is necessary that you see a doctor.
हमारी पिछली मुलाक़ात से अब दस साल हो गए हैं।	It's been ten years since we last met.
उसने मुझसे कहा कि उसे कुत्ता पालने का मन था।	She told me that she wanted a pet dog.
वह खाना न तो आदमी न जानवर को खिलाने लायक था।	The food was not fit for man or beast.
हमने फिरसे करने की कोशिश की, पर नहीं कर पाए।	We tried it again, but couldn't do it.
मुझे तुम्हारे बेगुनाह होने पर पूरा यकीन है।	I am fully convinced of your innocence.
मेरी उसके साथ पहली मुलाकात लंदन में हुई थी।	I met her in London for the first time.
माँ ने उसके लिए एक सुन्दर सी गुड़िया खरीदी।	Mother bought a beautiful doll for her.
हमे एक-दूसरे को समझने की कोशिश करनी चाहिए।	We should try to understand one another.
तुम "चित भी मेरी पट भी मेरी" नहीं कर सकते।	You can't eat your cake and have it too.
टॉम और मैं तुमसे कहीं ज़्यादा ताकतवर हैं।	Tom and I are much stronger than you are.
वह थोड़ी ताज़ा हवा खाने के लिए बाहर गया।	He went outside for a breath of fresh air.
क्या यह वह ऐनक है जिसे आप ढूँढ रहे थे ?	Are these the glasses you were looking for?
सरकार शिक्षा को सुधारने मे लगी हुई है।	The government has been reforming education.
वह खेत पर सुबह से शाम तक काम करता है।	He works on the farm from morning till night.
जब मैं वहाँ पहुँचा, वे जाने वाले थे।	They were about to leave when I arrived there.
स्टेशन इन दो नगरों के बीच स्थित है।	The station is located between these two towns.
मुझे लगा कि वह काम खतम कर चुका था।	I thought that he had already finished the work.
कल पार्क में एक भी बच्चा नहीं था।	There weren't any children in the park yesterday.
उसकी नाकामयाबी से मेरा कोई लेना-देना नहीं है।	His failure has nothing to do with me.
टॉम यहाँ का अब तक का सबसे समझदार व्यक्ति है।	Tom is by far the smartest person here.
कर्मचारियों को अपने बाल छोटे कटाने होते हैं।	Workers must have their hair cut short.
मैंने पिछले सोमवार से तीन किताबें पढ़ी हैं।	I've read three books since last Monday.
उसने उनको क़ैदियों को छोड़ने का आदेश दिया।	He ordered them to release the prisoners.
जापान तेल के लिए दूसरे देशों पर निर्भर है।	Japan depends on other countries for oil.
मुझसे यह शोर और बर्दाश्त नहीं किया जाएगा।	I can't put up with that noise any longer.
मैं सोच रहा हूँ कि नौकरी लूँ या नहीं लूँ।	I'm wondering whether to take on that job.
वह भारत और चीन दोनो में बहुत प्रसिद्ध है।	She is well known in both India and China.
वह ऐक्सीडेंट उसकी लापरवाही की वजह से हुआ।	That accident was due to his carelessness.
वे हर साल और ज़्यादा गरीब हुए जा रहे थे।	From year to year they were growing poorer.
जापान में स्कूल अप्रैल में शुरू होता है।	In Japan a new school year starts in April.
टॉम और मेरी हमारा प्लैन जानना चाहते हैं।	Tom and Mary want to know what our plan is.
मेरी सोच तुम्हारी सोच से बिलकुल अलग है।	My opinion is entirely different from yours.
मोर की पूंछ के पंख रंग-बिरंगी होते हैं।	The male peacock has colorful tail feathers.
मैं घर पहुँचते ही तुम्हें फ़ोन करूँगी।	I will give you a call as soon as I get home.
हमने मान लिया था कि वह हमारे साथ आएगा।	We took it for granted that he would join us.
मेरा कल मेरे भाई के साथ झगड़ा हुआ था।	I had a fight with my older brother yesterday.
मेरी कल मेरे भाई के साथ लड़ाई हुई थी।	I had a fight with my older brother yesterday.
यह लिफ़्ट छटी मंज़िल तक ही जाती है।	This elevator does not go above the sixth floor.
"आप कहाँ रहते हैं?" "मैं टोक्यो में रहता हूँ"	"Where do you live?" "I live in Tokyo."
वह अपने कर्मचारियों के साथ अच्छे से निभता है।	He is getting along with his employees.
मैं पता लगाऊँगा कि यह दिवाई कैसे काम करती है।	I will find out how the medicine works.
मैं अपनी मम्मी के लिए तोह्फ़ा ढूँढ रहा हूँ।	I am looking for a present for my mother.
तुम्हें अपनी बीमार माँ का ख़याल रखना चाहिए।	You should take care of your sick mother.
यह वही किताब है जिसे मैं पढ़ना चाहता था।	This is the very book that I wanted to read.
एयरपोर्ट के रास्ते पर गाड़ी खराब हो गई।	The car broke down on the way to the airport.
मैं नहीं चाहता कि कोई भी ग़लतफ़ैमी हो।	I don't want there to be any misunderstanding.
पिछले तीन घंटों से क्या कर रहे हो तुम?	What have you been doing the past three hours?
गर्मी में आइसक्रीम से बेहतर कुछ नहीं।	Nothing is better than ice cream in the summer.
उसके दिए गए कारण को समझना मुश्किल है।	The reason which he gave is hard to understand.
हज़ारों विदेशी हर साल जापान जाते हैं।	Thousands of foreigners visit Japan every year.
टॉम की जेब में उस समय पचास डॉलर थें।	Tom had fifty dollars in his pocket at the time.
वे जल्द-से-जल्द शादी करना चाहते थे।	They wanted to get married as soon as they could.
यह सिद्धांत मेरे समझने से बाहर है।	This theory is too difficult for me to comprehend.
वह एक महान कवि ही नहीं बल्कि एक डॉक्टर भी थे।	He was a great poet as well as a doctor.
मुझे अपने पिता की ग़रीबी पर शर्म नहीं आती है।	I'm not ashamed of my father being poor.
उसे शायद अपनी नौकरी अगले महीने छोड़नी पड़ेगी।	She may have to quit her job next month.
नए ब्रिज को इन्द्रधनुष ब्रिज का नाम दिया गया।	The new bridge was named Rainbow Bridge.
अगर तुम कानून तोड़ोगे तो तुम्हें सज़ा मिलेगी।	You'll be punished if you break the law.
डब्बा इतना भारी था कि मैं उसे हिला नहीं सका।	The box was so heavy I could not move it.
वे इंग्लैंड के एक छोटे से गाँव में रहते हैं।	They live in a little village in England.
मुझे नहीं लगता कि तुम इसे ठीक से कर रहे हो।	I don't think you're doing that correctly.
वह बूढ़ा किसान उसको बहुत पैसे नहीं देता था।	The old farmer did not pay him much money.
तुम्हें खिड़कियाँ बंद करने की नहीं सूझी?	Did it not occur to you to close the windows?
पुलीसवाले ने आदमी को दरवाज़ा खोलते देखा।	The policeman observed the man open the door.
वह आसानी से मान जाने वाला आदमी नहीं है।	He is not the sort of guy who gives in easily.
वह अपनी तस्वीर जो भी चाहे उसको दे देगी।	She will give her picture to whoever wants it.
मुझे नहीं लगता कि टॉम मैरी को देखना चाहता है।	I don't think that Tom wants to see Mary.
म्युज़ियम सोमवार से शुक्रवार तक खुला रहता है।	The museum is open from Monday to Friday.
वह हमेशा यहाँ पाँच से छः बजे के बीच होता है।	He is always here between 5 and 6 o'clock.
जापानी दिन में कम-से-कम एक बार चावल खाते है।	The Japanese eat rice at least once a day.
अगर कल बारिश हुई तो तुम घर में रहोगे क्या?	If it rains tomorrow, will you stay at home?
माँ हाथ पकड़कर अपने बच्चे को ले जा रही है।	The mother is leading her child by the hand.
उसे अपनी उम्र के बारे में सोचना चाहिए था।	He ought to have made allowances for his age.
उसने मेज़ पर रखे हुए कपों में कॉफ़ी डाली।	She poured coffee into the cups on the table.
फ़ैक्टरी में काम अगले महीने से रुक जाएगा।	The factory will cease operations next month.
मुझसे कोई भी सवाल पूछने में न हिचकिचाएँ।	Please don't hesitate to ask me any questions.
टॉम ने अभी तक किसी से आंख नहीं मिलाई है।	Tom still hasn't made eye contact with anyone.
तुम दो तीन दिनों में फिरसे ठीक हो जाओगे।	You'll be all right again in a couple of days.
तुम दो तीन दिनों में फिरसे ठीक हो जाओगी।	You'll be all right again in a couple of days.
हमें अपने दोस्तों से मदद माँगनी पड़ेगी।	We will have to call on our friends to help us.
मैं उसकी अचानक मौत की खबर से चौंक गया।	I was surprised at the news of his sudden death.
वे टैक्स सुधार क़ानून के पक्ष में हैं।	They are in favor of the reform of the tax laws.
वह चिट्ठी पढ़ने के समय दुखी लग रही थी।	When she was reading the letter, she looked sad.
जंगल में रहते समय उसे मलेरिया हो गया।	He contracted malaria while living in the jungle.
वे ऐसे खाते रहे जैसे कुछ हुआ ही न हो।	They continued eating as if nothing had happened.
मुझे नहीं पता वह मेरे साथ वहाँ जाएगी कि नहीं।	I don't know if she will go there with me.
मैं यह मुश्किल काम उसके लिए छोड़ना चाहता हूँ।	I want to leave this difficult job to her.
तुम टीवी देखने में काफ़ी समय बरबाद कर रहे हो।	You're spending too much time watching TV.
तुम ब्रिज पर खड़े हुए आदमी को जानते हो क्या?	Do you know the man standing on the bridge?
उन्होंने पुस्तकालय को बहुत सारी किताबें दीं।	They furnished the library with many books.
टॉम मेरे साथ ऑस्ट्रेलिया नहीं जाना चाहता था।	Tom didn't want to go to Australia with me.
वह अंग्रेज़ी नागरिक है पर भारत में रहता है।	He is a British citizen, but lives in India.
चोर ने पुलिस को उसको पकड़ने के लिए गाली दी।	The thief cursed the police for finding him.
उसने अपनी सिगरेट पीने की बुरी आदत छोड़ दी।	He broke himself of the bad habit of smoking.
सही और ग़लत में अंतर करना मुश्किल होता है।	To distinguish right from wrong is difficult.
तुम आमतौर पर रोज़ सुबह कितने बजे उठते हो?	What time do you usually get up every morning?
आपको अभी अपनी राय बनाने की जरूरत नहीं है।	You don't have to make up your mind right now.
आपको कुछ नए प्रॉडक्ट्स दिखाना चाहते हैं।	We have some new products we'd like you to see.
ग्यारह बज चुके हैं। मुझे चलना चाहिए।	It's already eleven o'clock. I must be leaving now.
बैट और बॉल दोनो कल एकसाथ चोरी हो गए।	The bat was stolen yesterday, along with the balls.
उसे पैसे चुराने के लिए गिरफ़्तार कर लिया गया।	He was arrested because he stole the money.
यह कविता सबसे पहले फ़्रानसीसी में लिखी गई थी।	This poem was originally written in French.
मेरी पार्टी में जो भी आना चाहता है आ सकता है।	Whoever wants to come to my party may come.
मैं रोज़ाना कम से कम तीन बार मंजन करती हूँ ।	I brush my teeth at least three times a day.
मुझे नहीं पता वह लंदन के लिए रवाना कब होएगी।	I don't know when she will leave for London.
बच्चों ने एक-दूसरे की नकल करने की कोशिश करी।	The children tried to imitate their teacher.
तुम यहाँ सारे के सारे पेड़ काट डालोगे क्या?	Are you going to cut down all the trees here?
वह टेस्ट के नतीजे को जानने के लिए बेचैन है।	He is anxious to know the result of the test.
क्लासरूम में घुसते समय अपनी टोपी उतारा करो।	Take off your hat when you enter a classroom.
यह वह गाँव है जहाँ मेरे पिताजी पैदा हुए थे।	This is the village where my father was born.
उस किताब को पुस्तकालय को लौटाना मत भूलना।	Don't forget to return the book to the library.
वह इस क्लब का सदस्य पाँच साल पहले बना था।	He became a member of this club five years ago.
तैवान में रहते समय मेरी उससे दोस्ती हुई।	I became friends with him while I was in Taiwan.
मेरे ख़याल से वह कभी भी वापस नहीं आएगा।	I am of the opinion that he will never come back.
कल रविवार था, तो मैं पूरे दिन सोते रहा।	I slept all day yesterday, because it was Sunday.
मैंने दोपहरभर अपने दोस्तों से गप मारी।	I spent the whole afternoon chatting with friends.
लंदन के लोगों को इस ब्रिज पर गर्व है।	The people of London are very proud of this bridge.
मैं आपकी अच्छाई को कभी नहीं भूलूँगा।	I will never forget your kindness so long as I live.
बहतर होगा कि तुम उससे सलाह न माँगो।	It would be better for you not to ask him for advice.
मेरे लिए छः बजे से पहले उठना बहुत मुश्किल है।	It is difficult for me to get up before six.
मेरे पिता अपने शौक पर बहुत समय खर्च करते हैं।	My father spends a lot of time on his hobby.
मेरे माता-पिता अभी-अभी स्टेशन पर पहुँचें हैं।	My parents have just arrived at the station.
उसने किसी भी मौके को हाथ से जाने नहीं दिया।	He took advantage of every opportunity he had.
यह पैसा ज़रूरतमंदों में बाँट देना चाहिए।	The money should be distributed to those in need.
भारत विश्व में सातवाँ सबसे बड़ा देश है।	India is the seventh largest country in the world.
मेरी दो बहनें हैं और दोनो की शादी हो चुकी है।	I have two sisters, both of whom are married.
इस बारिश में बाहर जाना एकदम सवाल के बाहर है।	Going out in this rain is out of the question.
तुम्हें अभी अपनी राय बनाने की जरूरत नहीं है।	You don't have to make up your mind right now.
हमारे पास सोचने के लिए बहुत सारी बातें हैं।	There are lots of things for us to think about.
मुझे एक दिन में काम खतम करना नामुमकिन लगा।	I found it impossible to do the work in one day.
तुम्हारे लिए वहाँ तुरन्त जाना अनिवार्य है।	It is necessary for you to go there immediately.
डॉक्टर ने उससे कहा कि उसे आराम लेना चाहिए।	The doctor told her that she should take a rest.
दवा तस्कर हवाई अड्डे पर गिरफ्तार किया गया था।	The drug smuggler was arrested at the airport.
मुझे नहीं लगता कि टॉम टेस्ट में पास होगा।	I have a gut feeling that Tom won't pass the test.
सब कुछ समझाने के लिए मुझे अरसा लग जाएगा।	It would take forever for me to explain everything.
हमे अंदर जाने से पहले जूते उतारने होंगे।	We will have to take off our shoes before going in.
मुझे यह तस्वीर जल्द-से-जल्द बनवानी है।	I want this photograph developed as soon as possible.
उसने मुझे चिट्ठी का जवाब न देने के लिए डाँटा।	She reproached me for not answering the letter.
मुझे ठीक से नहीं पता वह क्या करने वाली है।	I do not know for certain what she is going to do.
मुझे लगता है कि यहाँ कुछ ग़लतफ़ैमी हुई है।	I think there has been some misunderstanding here.
मेरी माँ अक्सर लोगों के नाम भूलती रहती है।	My mother is constantly forgetting people's names.
लंदन दुनिया के सबसे बड़े शहरों में से एक है।	London is one of the largest cities in the world.
मैं काम पर जाने के बजाय सारे दिन घर पर रहा।	I stayed at home all day instead of going to work.
और इंतेज़ार करना समय की सरासर बर्बादी होगी।	It's an absolute waste of time to wait any longer.
एड्स के फैलाव की तेज़ गति बहुत भयानक है।	The speed of the spread of AIDS is horrifyingly fast.
इस नदी में बहुत कम मछलियाँ पकड़ीं गईं।	The number of fish caught in this river was very small.
कल का मौसम कैसा होगा कहना मुश्किल है।	It's hard to say what the weather will be like tomorrow.
उसको यकीन है कि वह परीक्षा में पास हो जाएगा।	He is confident that he will pass the examination.
मैं हैरान था कि वह सवाल का जवाब नहीं दे पाई।	To my surprise, she could not answer the question.
हम स्टेशन पर तब पहुँचे जब ट्रेन चल पड़ी थी।	We arrived at the station as the train was leaving.
अबसे आपकी हिफ़ाज़त के लिए हम ज़िम्मेदार हैं।	We are responsible for your protection from now on.
कुछ दिन पहले उसकी माँ हस्पताल में चल बसीं।	The other day her mother passed away in the hospital.
मरीज़ आँखें बंद कर बिस्टर पर लेटा हुआ था।	The patient was lying in the bed with his eyes closed.
हम रोज़ एक-दूसरे से फ़ोन पर बात करते हैं।	We communicate with each other by telephone every day.
तुम इन दो तस्वीरों में अंतर बता सकते हो?	Can you tell the difference between these two pictures?
मतलबी इनसान केवल अपने बारे में ही सोचता है।	A selfish man thinks of nothing but his own feelings.
मैं बारिश में फंस गया था और तर-तर भीग गया।	I was caught in a shower and was drenched to the skin.
उसकी मदद के बिना तुम नहीं कर पाते।	If it had not been for her help, you would never have done it.
बाग के सारे फूल पानी की कमी की वजह से मर गए।	All the flowers in the garden died for lack of water.
जो पैसे भर चुकें हैं, उनके नाम काट दो।	Cross off the names of the people who have paid their dues.
गाड़ी में आसानी से पहाड़ चढ़ने लायक जान है।	This car has enough power to go up the mountain easily.
